center_ps,rho_mean_g_cm3,PE_mean_eV_atom,T_mean_K
4.550000000000000000e+01,1.981084739999999567e+00,-4.746511463541667197e+00,3.024159634999999753e+02
4.650000000000000000e+01,1.946604784999999893e+00,-4.745533971354166880e+00,2.990208994999999845e+02
4.750000000000000000e+01,1.927338014999999682e+00,-4.743413195312499830e+00,3.050367485000000443e+02
4.850000000000000000e+01,1.912251454999999822e+00,-4.745550776041667085e+00,3.033051320000000146e+02
4.950000000000000000e+01,1.905921290000000212e+00,-4.744066536458332983e+00,3.094402279999999905e+02
5.050000000000000000e+01,1.956304584999999818e+00,-4.747814471354167232e+00,2.973605820000000222e+02
5.150000000000000000e+01,1.963364149999999864e+00,-4.747501328124999809e+00,2.915095655000000647e+02
5.250000000000000000e+01,1.898824549999999833e+00,-4.746848885416667052e+00,2.948433759999999779e+02
5.350000000000000000e+01,1.931276819999999672e+00,-4.745273596354167012e+00,3.034234534999999937e+02
5.450000000000000000e+01,1.927681259999999508e+00,-4.746070471354166820e+00,3.013536314999999490e+02
