stage_time_ps,Li_A2,Zr_A2,O_A2,Cl_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000071054e-02,7.052840628647404353e-01,6.009941335786001676e-02,1.577519631924539645e-01,2.218685327283976549e-01
9.999999999999964473e-02,1.706431806859085132e+00,1.562637941823546150e-01,2.620486675056909465e-01,6.089328874423332039e-01
1.500000000000003553e-01,2.724304230367009971e+00,2.647302776900622434e-01,3.326668337873393000e-01,9.992069202475670764e-01
2.000000000000010658e-01,4.682957382594797657e+00,4.012634613789129445e-01,5.294832317099066321e-01,1.236023362820359184e+00
2.500000000000000000e-01,5.268347045205405976e+00,4.939573392932524176e-01,7.045734253048704376e-01,1.546412993671491209e+00
3.000000000000007105e-01,5.125091102746439198e+00,5.261096056179889180e-01,7.285862412923099773e-01,1.887653543534593803e+00
3.499999999999996447e-01,6.327827466691140934e+00,6.182885690909899479e-01,8.253422881190458638e-01,2.256049925216671692e+00
4.000000000000003553e-01,7.476898375335010449e+00,7.348062850908027022e-01,8.238016078730282521e-01,2.568247759765567739e+00
4.500000000000010658e-01,8.144065668513466250e+00,7.800889717055282668e-01,9.492129228636216887e-01,2.833402273508014435e+00
5.000000000000000000e-01,8.375088051667898270e+00,7.533756044769038818e-01,1.075348191180957480e+00,3.014872177178850698e+00
5.500000000000007105e-01,9.349909045474738889e+00,7.301434272078686227e-01,1.019771041346896334e+00,3.207614574144139308e+00
5.999999999999996447e-01,1.000751212348427188e+01,7.464379907394449454e-01,1.111730936522787649e+00,3.454989295935621207e+00
6.500000000000003553e-01,1.066602528553946883e+01,8.878737292932243896e-01,1.097957883031094761e+00,3.767512178427042890e+00
7.000000000000010658e-01,1.185176337604980468e+01,1.062633487294789569e+00,1.338378462653577960e+00,4.060597232727016781e+00
7.500000000000000000e-01,1.253421112784362101e+01,1.221854350265358713e+00,1.481361662232817622e+00,4.427271158596873590e+00
8.000000000000007105e-01,1.359468629494603498e+01,1.387623726349721975e+00,1.471357341764762516e+00,4.729797545058314512e+00
