time_ps,initial_peak_intensity_retention
5.000000000000000000e+01,5.949849862811285722e-02
5.025000000000000000e+01,4.847256581571585815e-02
5.050000000000000000e+01,7.048275437881817984e-02
5.075000000000000000e+01,6.957922711624479895e-02
5.100000000000000000e+01,7.030505103190989868e-02
5.125000000000000000e+01,5.337177262162105806e-02
5.150000000000000000e+01,4.295567798288588146e-02
5.175000000000000000e+01,3.417684392013057432e-02
5.200000000000000000e+01,3.686732360012105747e-02
5.225000000000000000e+01,5.430040758582641708e-02
5.250000000000000000e+01,7.251034422403790369e-02
5.275000000000000000e+01,7.874934235700303820e-02
5.300000000000000000e+01,9.417721248673534273e-02
5.325000000000000000e+01,7.895867422301039440e-02
5.350000000000000000e+01,6.570387787903586574e-02
5.375000000000000000e+01,6.025783451969717042e-02
5.400000000000000000e+01,7.312277555752298708e-02
5.425000000000000000e+01,3.808334590939739528e-02
5.450000000000000000e+01,4.399735434877030671e-02
5.475000000000000000e+01,4.212265021826177430e-02
5.500000000000000000e+01,4.431650006912450646e-02
