step,time_ps,atoms,T_K,PE_eV,KE_eV,Etot_eV,P_bar,V_A3,rho_g_cm3,Lx_A,Ly_A,Lz_A,Fmax_component_eV_A
0.000000000000000000e+00,0.000000000000000000e+00,1.920000000000000000e+02,1.500000000000000000e+03,-9.092291199999999662e+02,3.703303199999999862e+01,-8.721960900000000265e+02,1.201901300000000083e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,2.194509099999999904e-03
1.000000000000000000e+02,5.000000000000000278e-02,1.920000000000000000e+02,7.919714900000000171e+02,-8.904246100000000297e+02,1.955273700000000048e+01,-8.708718800000000329e+02,7.733073599999999715e+03,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,2.777334999999999887e+00
2.000000000000000000e+02,1.000000000000000056e-01,1.920000000000000000e+02,7.994769300000000385e+02,-8.877254500000000235e+02,1.973803600000000102e+01,-8.679874099999999544e+02,1.896904100000000108e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.583932599999999802e+00
3.000000000000000000e+02,1.499999999999999944e-01,1.920000000000000000e+02,8.591156600000000481e+02,-8.859005600000000413e+02,2.121043799999999990e+01,-8.646901199999999790e+02,1.094102200000000084e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.495550800000000180e+00
4.000000000000000000e+02,2.000000000000000111e-01,1.920000000000000000e+02,9.566901699999999664e+02,-8.843199499999999489e+02,2.361942499999999967e+01,-8.607005199999999832e+02,1.642027699999999822e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.183533600000000074e+00
5.000000000000000000e+02,2.500000000000000000e-01,1.920000000000000000e+02,1.052172000000000025e+03,-8.820665800000000445e+02,2.597674599999999856e+01,-8.560898300000000063e+02,1.573396999999999935e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,4.280666199999999755e+00
6.000000000000000000e+02,2.999999999999999889e-01,1.920000000000000000e+02,1.138983999999999924e+03,-8.794394200000000410e+02,2.812002000000000024e+01,-8.513193999999999733e+02,1.894715399999999863e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,5.116926499999999933e+00
7.000000000000000000e+02,3.499999999999999778e-01,1.920000000000000000e+02,1.350914099999999962e+03,-8.795449800000000096e+02,3.335229499999999803e+01,-8.461926899999999705e+02,2.025519199999999910e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,3.752344499999999972e+00
8.000000000000000000e+02,4.000000000000000222e-01,1.920000000000000000e+02,1.264064399999999978e+03,-8.728469599999999673e+02,3.120809099999999958e+01,-8.416388699999999972e+02,2.210910399999999936e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,4.561987600000000143e+00
9.000000000000000000e+02,4.500000000000000111e-01,1.920000000000000000e+02,1.371586700000000064e+03,-8.708170999999999822e+02,3.386267600000000044e+01,-8.369544300000000021e+02,1.613777800000000025e+04,5.227176900000000387e+03,2.132909900000000025e+00,2.490935400000000044e+01,2.181529899999999955e+01,9.619301899999999961e+00,4.207011900000000360e+00
