time_ps,initial_peak_intensity_retention
5.000000000000000000e+01,8.277674049680443236e-02
5.025000000000000000e+01,7.250307170224067066e-02
5.050000000000000000e+01,7.111526942197676782e-02
5.075000000000000000e+01,7.364782810944313363e-02
5.100000000000000000e+01,7.505087233836069127e-02
5.125000000000000000e+01,6.838181879196342239e-02
5.150000000000000000e+01,7.827548703380592110e-02
5.175000000000000000e+01,7.455202253376530530e-02
5.200000000000000000e+01,7.256777471826708625e-02
5.225000000000000000e+01,9.400477604416675181e-02
5.250000000000000000e+01,8.240277063907498756e-02
5.275000000000000000e+01,7.658995921731272249e-02
5.300000000000000000e+01,7.281789683940777247e-02
5.325000000000000000e+01,6.182349013414199096e-02
5.350000000000000000e+01,7.624283449685576031e-02
5.375000000000000000e+01,7.750461122781464318e-02
5.400000000000000000e+01,7.438706952800561156e-02
5.425000000000000000e+01,7.804423481325055423e-02
5.450000000000000000e+01,8.443414922257315436e-02
5.475000000000000000e+01,8.171898632403444551e-02
5.500000000000000000e+01,6.933959757293081672e-02
