pair_index,cutoff_A,CN,probability
0.000000000000000000e+00,3.200000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000178e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000178e+00,2.000000000000000000e+00,6.802721088435373896e-03
0.000000000000000000e+00,3.200000000000000178e+00,3.000000000000000000e+00,1.575963718820861670e-01
0.000000000000000000e+00,3.200000000000000178e+00,4.000000000000000000e+00,7.086167800453514465e-01
0.000000000000000000e+00,3.200000000000000178e+00,5.000000000000000000e+00,1.269841269841269771e-01
0.000000000000000000e+00,3.200000000000000178e+00,6.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000178e+00,7.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000178e+00,8.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000178e+00,9.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000178e+00,1.000000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000178e+00,1.100000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,3.200000000000000178e+00,1.200000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00,0.000000000000000000e+00,9.523809523809523281e-01
1.000000000000000000e+00,2.700000000000000178e+00,1.000000000000000000e+00,4.761904761904761640e-02
1.000000000000000000e+00,2.700000000000000178e+00,2.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00,3.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00,4.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00,5.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00,7.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00,8.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00,9.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00,1.100000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,2.700000000000000178e+00,1.200000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,3.968253968253968034e-02
2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,5.952380952380952051e-03
2.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00,1.825396825396825295e-01
2.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,1.924603174603174705e-01
2.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e+00,2.400793650793650869e-01
2.000000000000000000e+00,3.000000000000000000e+00,6.000000000000000000e+00,3.392857142857143016e-01
2.000000000000000000e+00,3.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,2.600000000000000089e+00,0.000000000000000000e+00,3.750000000000000000e-01
3.000000000000000000e+00,2.600000000000000089e+00,1.000000000000000000e+00,2.500000000000000000e-01
3.000000000000000000e+00,2.600000000000000089e+00,2.000000000000000000e+00,2.916666666666666852e-01
3.000000000000000000e+00,2.600000000000000089e+00,3.000000000000000000e+00,4.166666666666666435e-02
3.000000000000000000e+00,2.600000000000000089e+00,4.000000000000000000e+00,4.166666666666666435e-02
3.000000000000000000e+00,2.600000000000000089e+00,5.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,2.600000000000000089e+00,6.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,2.600000000000000089e+00,7.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,2.600000000000000089e+00,8.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,2.600000000000000089e+00,9.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,2.600000000000000089e+00,1.000000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,2.600000000000000089e+00,1.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,2.600000000000000089e+00,1.200000000000000000e+01,0.000000000000000000e+00
