model,temperature_K,replica,D_cm2_s,msd_fit_window,trajectory_frames
MACE-MPA-0,400,3,2.52179059e-7,25-90%,501
MACE-MPA-0,600,3,7.26684130e-6,25-90%,501
MACE-MPA-0,800,2,2.03818065e-5,25-90%,501
MACE-MPA-0,1000,1,4.97758750e-5,25-90%,501
SevenNet-nano,400,3,7.13231453e-7,10-90%,501
SevenNet-nano,600,2,5.47019005e-6,10-90%,501
SevenNet-nano,800,2,1.64167198e-5,10-90%,501
SevenNet-nano,1000,1,3.44794401e-5,10-90%,501
M3GNet-GPU,400,2,1.29326809e-7,10-90%,501
M3GNet-GPU,600,2,2.74001466e-6,10-90%,501
M3GNet-GPU,800,2,2.66439465e-5,10-90%,501
M3GNet-GPU,1000,2,6.27744372e-5,10-90%,501
