rank_r2,rank_ea,700K,800K,900K,1000K,Ea_eV,R2,abs_error_eV,relative_error_pct
1,39,3,2,2,2,0.1993010112736085,0.9979174029069127,0.20069898872639153,50.17474718159788
2,41,2,2,2,2,0.19910212455816095,0.9978854577368068,0.20089787544183907,50.22446886045976
3,38,3,2,1,2,0.19939116541319252,0.9978145539325555,0.2006088345868075,50.152208646701865
4,40,2,2,1,2,0.19919227869774486,0.9977826941989052,0.20080772130225516,50.20193032556378
5,51,1,2,2,2,0.1919913147773143,0.996042646398816,0.20800868522268573,52.00217130567143
6,50,1,2,1,2,0.19208146891689853,0.9959440505231455,0.2079185310831015,51.97963277077536
7,35,3,3,2,2,0.20054780207978057,0.9946216160879038,0.19945219792021945,49.86304948005486
8,37,2,3,2,2,0.20034891536433347,0.9945457060629357,0.19965108463566655,49.912771158916634
9,34,3,3,1,2,0.20063795621936484,0.9944979720345053,0.19936204378063518,49.8405109451588
10,36,2,3,1,2,0.2004390695039172,0.9944221513076522,0.1995609304960828,49.890232624020705
11,49,1,3,2,2,0.19323810558348786,0.9910362417398099,0.20676189441651216,51.69047360412804
12,61,2,2,2,3,0.1866045248701639,0.9910327629768765,0.21339547512983612,53.34886878245902
13,59,3,2,2,3,0.18680341158561128,0.9910215573180859,0.21319658841438874,53.29914710359718
14,48,1,3,1,2,0.19332825972307108,0.9909170738488755,0.20667174027692894,51.66793506923223
15,72,1,2,2,3,0.17949371508931836,0.9907831892125735,0.22050628491068167,55.12657122767042
16,60,2,2,1,3,0.1866946790097477,0.9907647786006556,0.21330532099025232,53.32633024756308
17,58,3,2,1,3,0.18689356572519455,0.990753880665124,0.21310643427480547,53.27660856870137
18,71,1,2,1,3,0.17958386922890124,0.9905047642104075,0.22041613077109878,55.104032692774695
19,11,3,2,1,1,0.22402057834860092,0.9899871801101358,0.1759794216513991,43.99485541284977
20,13,2,2,1,1,0.22382169163315316,0.9898642141348332,0.17617830836684686,44.04457709171171
21,12,3,2,2,1,0.22393042420901688,0.9898434638377996,0.17606957579098315,44.01739394774579
22,14,2,2,2,1,0.2237315374935696,0.9897199853990379,0.1762684625064304,44.0671156266076
23,55,3,3,2,3,0.1880502023917838,0.9886803621336769,0.21194979760821622,52.987449402054054
24,57,2,3,2,3,0.18785131567633598,0.9886435598575255,0.21214868432366404,53.03717108091601
25,54,3,3,1,3,0.18814035653136787,0.9883908883463568,0.21185964346863215,52.96491086715803
26,56,2,3,1,3,0.18794146981592014,0.9883538023427524,0.21205853018407989,53.01463254601997
27,70,1,3,2,3,0.1807405058954899,0.9865565159995312,0.21925949410451012,54.81487352612753
28,69,1,3,1,3,0.18083066003507356,0.9862573908897633,0.21916933996492646,54.79233499123162
29,7,3,3,1,1,0.22526736915477355,0.9857497699527011,0.17473263084522647,43.68315771130661
30,8,3,3,2,1,0.22517721501519025,0.9856254742011195,0.17482278498480977,43.70569624620244
31,9,2,3,1,1,0.22506848243932573,0.9855920605197485,0.1749315175606743,43.73287939016857
32,10,2,3,2,1,0.22497832829974287,0.9854672716185514,0.17502167170025715,43.755417925064286
33,19,1,2,1,1,0.21671088185230825,0.9847270530319258,0.18328911814769178,45.82227953692294
34,20,1,2,2,1,0.21662072771272406,0.9845632387478028,0.18337927228727596,45.844818071818985
35,17,1,3,1,1,0.21795767265847998,0.9791595394007065,0.18204232734152004,45.51058183538001
36,18,1,3,2,1,0.21786751851889613,0.9790158914194743,0.1821324814811039,45.53312037027597
37,76,3,3,3,3,0.17280169800444176,0.9755519842721171,0.22719830199555827,56.79957549888957
38,77,2,3,3,3,0.17260281128899554,0.9754265031471411,0.22739718871100448,56.84929717775111
39,78,3,2,3,3,0.17155490719827057,0.9723624597773762,0.22844509280172945,57.11127320043236
40,79,2,2,3,3,0.17135602048282325,0.9722786626527347,0.22864397951717677,57.16099487929419
41,80,1,3,3,3,0.16549200150814902,0.9698182997744469,0.234507998491851,58.62699962296275
42,81,1,2,3,3,0.1642452107019766,0.9682765409320379,0.23575478929802343,58.93869732450585
43,63,3,3,3,2,0.18529929769243894,0.9577168454044266,0.21470070230756108,53.67517557689027
44,64,2,3,3,2,0.1851004109769914,0.957512472981903,0.21489958902300862,53.724897255752154
45,65,3,2,3,2,0.18405250688626662,0.9560229012129488,0.2159474931137334,53.98687327843334
46,66,2,2,3,2,0.18385362017081935,0.9558551126316985,0.21614637982918067,54.03659495729516
47,73,1,3,3,2,0.17798960119614624,0.949073955839768,0.2220103988038538,55.50259970096344
48,74,1,2,3,2,0.17674281038997255,0.948803832736169,0.22325718961002747,55.81429740250686
49,67,3,1,3,3,0.18138403458328645,0.9318719223280703,0.21861596541671358,54.65399135417839
50,68,2,1,3,3,0.18118514786783899,0.9313934099706535,0.21881485213216104,54.70371303304026
51,25,3,1,2,2,0.20913013865862518,0.927709305571914,0.19086986134137485,47.71746533534371
52,24,3,1,1,2,0.20922029279820814,0.9275227700022228,0.19077970720179188,47.694926800447966
