time_ps,T_K,PE_eV,Etot_eV,P_GPa,volume_A3,density_g_cm3
0.000000000000000000e+00,3.000000000000000000e+02,-9.116377199999999448e+02,-9.042311099999999442e+02,-1.506195700000000082e-01,5.825467400000000453e+03,1.913854600000000072e+00
5.000000000000000278e-02,3.168572199999999839e+02,-9.120823000000000320e+02,-9.042595099999999775e+02,1.433878000000000097e-01,5.825467400000000453e+03,1.913854600000000072e+00
1.000000000000000056e-01,3.065069399999999860e+02,-9.120083300000000008e+02,-9.044410800000000563e+02,5.098214699999999849e-02,5.825467400000000453e+03,1.913854600000000072e+00
1.499999999999999944e-01,3.000846999999999980e+02,-9.122621400000000449e+02,-9.048534399999999778e+02,2.312892600000000243e-01,5.825467400000000453e+03,1.913854600000000072e+00
2.000000000000000111e-01,3.027133699999999976e+02,-9.129308700000000272e+02,-9.054572699999999941e+02,4.142627299999999957e-02,5.825467400000000453e+03,1.913854600000000072e+00
2.500000000000000000e-01,2.868481800000000135e+02,-9.130194800000000441e+02,-9.059375700000000506e+02,-1.623562899999999865e-01,5.825467400000000453e+03,1.913854600000000072e+00
2.999999999999999889e-01,2.729506600000000276e+02,-9.127149899999999434e+02,-9.059761899999999741e+02,1.942924299999999882e-01,5.825467400000000453e+03,1.913854600000000072e+00
3.499999999999999778e-01,2.915356300000000260e+02,-9.129229900000000271e+02,-9.057253600000000233e+02,1.152312699999999933e-02,5.825467400000000453e+03,1.913854600000000072e+00
4.000000000000000222e-01,2.963173600000000079e+02,-9.127096299999999474e+02,-9.053939400000000433e+02,-4.044504800000000427e-02,5.825467400000000453e+03,1.913854600000000072e+00
4.500000000000000111e-01,3.102608500000000049e+02,-9.127134399999999914e+02,-9.050534999999999854e+02,3.536602800000000074e-02,5.825467400000000453e+03,1.913854600000000072e+00
5.000000000000000000e-01,3.244495200000000068e+02,-9.127700899999999820e+02,-9.047598600000000033e+02,1.530212400000000028e-01,5.825467400000000453e+03,1.913854600000000072e+00
5.500000000000000444e-01,3.042843899999999735e+02,-9.120765900000000101e+02,-9.045642100000000028e+02,-1.445282099999999903e-01,5.825467400000000453e+03,1.913854600000000072e+00
5.999999999999999778e-01,3.223275600000000054e+02,-9.122867199999999457e+02,-9.043288700000000517e+02,2.108795000000000114e-02,5.825467400000000453e+03,1.913854600000000072e+00
6.500000000000000222e-01,3.101032099999999900e+02,-9.117460099999999557e+02,-9.040899699999999939e+02,3.656496399999999841e-02,5.825467400000000453e+03,1.913854600000000072e+00
6.999999999999999556e-01,3.068360700000000065e+02,-9.113372000000000526e+02,-9.037618199999999433e+02,1.890835199999999980e-02,5.825467400000000453e+03,1.913854600000000072e+00
7.500000000000000000e-01,3.282159100000000080e+02,-9.114158800000000156e+02,-9.033126600000000508e+02,7.440163900000000378e-03,5.825467400000000453e+03,1.913854600000000072e+00
8.000000000000000444e-01,3.477862999999999829e+02,-9.116432800000000043e+02,-9.030569000000000415e+02,5.240806599999999621e-02,5.825467400000000453e+03,1.913854600000000072e+00
8.499999999999999778e-01,3.329181699999999751e+02,-9.113480499999999438e+02,-9.031287399999999934e+02,-8.106653599999999460e-02,5.825467400000000453e+03,1.913854600000000072e+00
9.000000000000000222e-01,3.282470799999999826e+02,-9.113520099999999502e+02,-9.032480299999999716e+02,1.768090800000000073e-01,5.825467400000000453e+03,1.913854600000000072e+00
9.499999999999999556e-01,3.345223700000000235e+02,-9.115737900000000309e+02,-9.033148700000000417e+02,2.091313800000000056e-01,5.825467400000000453e+03,1.913854600000000072e+00
1.000000000000000000e+00,3.076846400000000017e+02,-9.110244099999999889e+02,-9.034280800000000227e+02,5.469324100000000355e-02,5.825467400000000453e+03,1.913854600000000072e+00
1.050000000000000044e+00,3.415718499999999835e+02,-9.118686000000000149e+02,-9.034356299999999464e+02,3.116162200000000548e-01,5.825467400000000453e+03,1.913854600000000072e+00
1.100000000000000089e+00,3.228396099999999933e+02,-9.115114099999999553e+02,-9.035409300000000030e+02,3.513743900000000364e-01,5.825467400000000453e+03,1.913854600000000072e+00
1.149999999999999911e+00,3.199805900000000065e+02,-9.114793799999999919e+02,-9.035794799999999896e+02,1.458963000000000065e-01,5.825467400000000453e+03,1.913854600000000072e+00
1.199999999999999956e+00,3.332117999999999824e+02,-9.117536199999999553e+02,-9.035270600000000059e+02,1.723194700000000024e-01,5.825467400000000453e+03,1.913854600000000072e+00
1.250000000000000000e+00,3.173361600000000067e+02,-9.110736299999999801e+02,-9.032390199999999822e+02,-2.630592099999999878e-01,5.825467400000000453e+03,1.913854600000000072e+00
1.300000000000000044e+00,3.656089299999999866e+02,-9.115489900000000034e+02,-9.025225900000000365e+02,3.540771799999999914e-01,5.825467400000000453e+03,1.913854600000000072e+00
1.350000000000000089e+00,3.638574699999999780e+02,-9.110690499999999474e+02,-9.020858799999999746e+02,-6.335075900000000648e-02,5.825467400000000453e+03,1.913854600000000072e+00
1.399999999999999911e+00,3.618361600000000067e+02,-9.108786999999999807e+02,-9.019454399999999623e+02,4.390909000000000062e-01,5.825467400000000453e+03,1.913854600000000072e+00
1.449999999999999956e+00,3.435609099999999785e+02,-9.105407400000000280e+02,-9.020586700000000064e+02,-2.986698500000000214e-02,5.825467400000000453e+03,1.913854600000000072e+00
1.500000000000000000e+00,3.594243599999999788e+02,-9.111648999999999887e+02,-9.022911900000000287e+02,1.448261799999999988e-01,5.825467400000000453e+03,1.913854600000000072e+00
1.550000000000000044e+00,3.030820499999999811e+02,-9.101422599999999647e+02,-9.026595600000000559e+02,-6.574684600000001156e-02,5.825467400000000453e+03,1.913854600000000072e+00
1.600000000000000089e+00,3.492901299999999765e+02,-9.114900199999999586e+02,-9.028665099999999484e+02,1.025683200000000045e-01,5.825467400000000453e+03,1.913854600000000072e+00
1.649999999999999911e+00,3.399267100000000141e+02,-9.116410100000000511e+02,-9.032486699999999473e+02,3.457532100000000608e-02,5.825467400000000453e+03,1.913854600000000072e+00
