time_ps,T_K,PE_eV,Etot_eV,P_GPa,volume_A3,density_g_cm3
0.000000000000000000e+00,6.418677900000000136e+02,-9.035014400000000023e+02,-8.876545700000000352e+02,3.161793400000000309e-01,7.593181499999999687e+03,1.468303799999999937e+00
5.000000000000000278e-02,6.055458499999999731e+02,-9.027187500000000000e+02,-8.877686200000000554e+02,-1.918475900000000123e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.000000000000000056e-01,6.168307899999999790e+02,-9.031427999999999656e+02,-8.879140599999999495e+02,1.420195200000000102e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.499999999999999944e-01,5.820015499999999520e+02,-9.025732400000000553e+02,-8.882043899999999894e+02,1.026882599999999895e-01,7.593181499999999687e+03,1.468303799999999937e+00
2.000000000000000111e-01,5.746362699999999677e+02,-9.029782000000000153e+02,-8.887911900000000287e+02,2.292756100000000255e-02,7.593181499999999687e+03,1.468303799999999937e+00
2.500000000000000000e-01,5.940068499999999858e+02,-9.041017900000000509e+02,-8.894365400000000363e+02,1.657628899999999961e-01,7.593181499999999687e+03,1.468303799999999937e+00
2.999999999999999889e-01,5.581138200000000325e+02,-9.036561400000000503e+02,-8.898770500000000538e+02,4.728576200000000201e-02,7.593181499999999687e+03,1.468303799999999937e+00
3.499999999999999778e-01,5.869285999999999603e+02,-9.044945199999999659e+02,-8.900040299999999434e+02,2.333370899999999970e-01,7.593181499999999687e+03,1.468303799999999937e+00
4.000000000000000222e-01,5.167009600000000091e+02,-9.026145000000000209e+02,-8.898578300000000354e+02,1.562302599999999993e-02,7.593181499999999687e+03,1.468303799999999937e+00
4.500000000000000111e-01,5.869049199999999473e+02,-9.032839500000000044e+02,-8.887940300000000207e+02,2.005505200000000099e-01,7.593181499999999687e+03,1.468303799999999937e+00
5.000000000000000000e-01,6.312483399999999847e+02,-9.032806399999999485e+02,-8.876959500000000389e+02,-1.954487800000000164e-01,7.593181499999999687e+03,1.468303799999999937e+00
5.500000000000000444e-01,6.279461199999999508e+02,-9.027242199999999457e+02,-8.872210499999999911e+02,1.811283900000000002e-01,7.593181499999999687e+03,1.468303799999999937e+00
5.999999999999999778e-01,5.892587499999999636e+02,-9.016003100000000359e+02,-8.870522899999999709e+02,-2.737030900000000377e-01,7.593181499999999687e+03,1.468303799999999937e+00
6.500000000000000222e-01,6.173814399999999978e+02,-9.022470799999999826e+02,-8.870047399999999698e+02,3.215628500000000667e-02,7.593181499999999687e+03,1.468303799999999937e+00
6.999999999999999556e-01,6.181280699999999797e+02,-9.021655600000000277e+02,-8.869047900000000482e+02,-3.893964000000000314e-01,7.593181499999999687e+03,1.468303799999999937e+00
7.500000000000000000e-01,6.527390599999999949e+02,-9.028474099999999680e+02,-8.867321399999999585e+02,7.302651000000000281e-02,7.593181499999999687e+03,1.468303799999999937e+00
8.000000000000000444e-01,6.339430300000000216e+02,-9.025657599999999547e+02,-8.869145399999999881e+02,4.209014999999999979e-02,7.593181499999999687e+03,1.468303799999999937e+00
8.499999999999999778e-01,5.931435900000000174e+02,-9.021657699999999522e+02,-8.875218399999999974e+02,-8.852624100000000551e-02,7.593181499999999687e+03,1.468303799999999937e+00
9.000000000000000222e-01,5.931806900000000269e+02,-9.030485599999999522e+02,-8.884037100000000464e+02,-2.917594500000000174e-02,7.593181499999999687e+03,1.468303799999999937e+00
9.499999999999999556e-01,5.382942600000000084e+02,-9.023667599999999993e+02,-8.890769800000000487e+02,6.805966600000000477e-02,7.593181499999999687e+03,1.468303799999999937e+00
1.000000000000000000e+00,5.622289299999999912e+02,-9.030711900000000014e+02,-8.891905000000000427e+02,1.529286500000000097e-02,7.593181499999999687e+03,1.468303799999999937e+00
1.050000000000000044e+00,5.875016000000000531e+02,-9.035027900000000045e+02,-8.889981500000000096e+02,1.894957500000000019e-03,7.593181499999999687e+03,1.468303799999999937e+00
1.100000000000000089e+00,6.237191299999999501e+02,-9.039687699999999495e+02,-8.885699600000000373e+02,-3.503499800000000469e-02,7.593181499999999687e+03,1.468303799999999937e+00
1.149999999999999911e+00,6.068889199999999846e+02,-9.028615499999999656e+02,-8.878782599999999547e+02,-1.021153800000000056e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.199999999999999956e+00,6.617058200000000170e+02,-9.031198900000000549e+02,-8.867832399999999780e+02,-1.418108500000000161e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.250000000000000000e+00,6.892662000000000262e+02,-9.032865199999999959e+02,-8.862694400000000314e+02,2.289291300000000084e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.300000000000000044e+00,6.245548499999999876e+02,-9.020906099999999697e+02,-8.866711699999999610e+02,-3.056837700000000213e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.350000000000000089e+00,6.157455499999999802e+02,-9.026455700000000206e+02,-8.874436200000000099e+02,1.371261700000000194e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.399999999999999911e+00,5.597086699999999837e+02,-9.022765699999999924e+02,-8.884580999999999449e+02,6.912619799999999981e-02,7.593181499999999687e+03,1.468303799999999937e+00
1.449999999999999956e+00,6.047574100000000499e+02,-9.039784100000000535e+02,-8.890477499999999509e+02,-1.057429800000000003e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.500000000000000000e+00,5.551299099999999953e+02,-9.032202999999999520e+02,-8.895148699999999735e+02,9.520613499999999729e-02,7.593181499999999687e+03,1.468303799999999937e+00
1.550000000000000044e+00,5.341185100000000148e+02,-9.030197600000000193e+02,-8.898330700000000206e+02,1.135602500000000015e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.600000000000000089e+00,5.703638499999999567e+02,-9.039327299999999923e+02,-8.898511899999999741e+02,1.780775200000000169e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.649999999999999911e+00,5.555579099999999926e+02,-9.031156899999999723e+02,-8.893996899999999641e+02,-7.042524000000000006e-02,7.593181499999999687e+03,1.468303799999999937e+00
1.699999999999999956e+00,5.980354399999999941e+02,-9.032109199999999873e+02,-8.884462099999999509e+02,2.801587400000000172e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.750000000000000000e+00,6.186276100000000042e+02,-9.030178200000000288e+02,-8.877447100000000546e+02,-1.370485200000000070e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.800000000000000044e+00,6.145551799999999503e+02,-9.026745799999999917e+02,-8.875020200000000159e+02,2.089220600000000205e-01,7.593181499999999687e+03,1.468303799999999937e+00
1.850000000000000089e+00,6.138338999999999714e+02,-9.026423700000000281e+02,-8.874876199999999926e+02,8.987615100000001522e-02,7.593181499999999687e+03,1.468303799999999937e+00
1.899999999999999911e+00,5.945214700000000221e+02,-9.022501399999999876e+02,-8.875721899999999778e+02,5.286869200000000532e-03,7.593181499999999687e+03,1.468303799999999937e+00
1.949999999999999956e+00,6.199244800000000168e+02,-9.029282500000000482e+02,-8.876231299999999464e+02,7.206949100000001329e-02,7.593181499999999687e+03,1.468303799999999937e+00
2.000000000000000000e+00,5.858744699999999739e+02,-9.024323600000000170e+02,-8.879678900000000112e+02,-1.390192299999999936e-01,7.593181499999999687e+03,1.468303799999999937e+00
2.049999999999999822e+00,5.901879900000000134e+02,-9.032082000000000335e+02,-8.886372400000000198e+02,-5.901553300000000890e-02,7.593181499999999687e+03,1.468303799999999937e+00
2.100000000000000089e+00,5.688984000000000378e+02,-9.035241099999999506e+02,-8.894787599999999657e+02,2.886694399999999994e-01,7.593181499999999687e+03,1.468303799999999937e+00
2.149999999999999911e+00,5.441142899999999827e+02,-9.035435999999999694e+02,-8.901101300000000265e+02,-4.564513200000000492e-02,7.593181499999999687e+03,1.468303799999999937e+00
2.200000000000000178e+00,5.834425400000000081e+02,-9.047270300000000134e+02,-8.903225999999999658e+02,3.701803300000000574e-02,7.593181499999999687e+03,1.468303799999999937e+00
2.250000000000000000e+00,5.902666400000000522e+02,-9.048507799999999861e+02,-8.902778700000000072e+02,-1.431485400000000185e-01,7.593181499999999687e+03,1.468303799999999937e+00
2.299999999999999822e+00,5.732908700000000408e+02,-9.039034699999999702e+02,-8.897496700000000374e+02,-3.148494100000000240e-02,7.593181499999999687e+03,1.468303799999999937e+00
2.350000000000000089e+00,5.703840800000000399e+02,-9.023488399999999956e+02,-8.882668099999999640e+02,1.276658700000000146e-01,7.593181499999999687e+03,1.468303799999999937e+00
2.399999999999999911e+00,6.312282400000000280e+02,-9.027218199999999797e+02,-8.871376299999999446e+02,-1.580724099999999965e-01,7.593181499999999687e+03,1.468303799999999937e+00
2.450000000000000178e+00,6.515851800000000367e+02,-9.029917500000000246e+02,-8.869049700000000485e+02,1.243660800000000177e-01,7.593181499999999687e+03,1.468303799999999937e+00
2.500000000000000000e+00,6.057500900000000001e+02,-9.019731399999999439e+02,-8.870179600000000164e+02,-2.917798900000000487e-02,7.593181499999999687e+03,1.468303799999999937e+00
2.549999999999999822e+00,5.677670100000000275e+02,-9.011034799999999905e+02,-8.870860599999999749e+02,2.179375500000000077e-01,7.593181499999999687e+03,1.468303799999999937e+00
2.600000000000000089e+00,6.676458400000000211e+02,-9.035346100000000433e+02,-8.870513099999999440e+02,-1.656657099999999938e-01,7.593181499999999687e+03,1.468303799999999937e+00
2.649999999999999911e+00,6.284660499999999956e+02,-9.031748599999999669e+02,-8.876588600000000042e+02,1.583441100000000101e-01,7.593181499999999687e+03,1.468303799999999937e+00
2.700000000000000178e+00,5.348658299999999599e+02,-9.019488900000000058e+02,-8.887437599999999520e+02,-7.749777700000000380e-02,7.593181499999999687e+03,1.468303799999999937e+00
2.750000000000000000e+00,5.726051400000000058e+02,-9.033877099999999700e+02,-8.892508400000000393e+02,-3.071632500000000265e-02,7.593181499999999687e+03,1.468303799999999937e+00
2.799999999999999822e+00,5.775250899999999774e+02,-9.036650300000000016e+02,-8.894066900000000260e+02,6.530269700000000677e-02,7.593181499999999687e+03,1.468303799999999937e+00
2.850000000000000089e+00,5.587197499999999764e+02,-9.031186699999999519e+02,-8.893246100000000069e+02,1.820768099999999987e-02,7.593181499999999687e+03,1.468303799999999937e+00
2.899999999999999911e+00,6.202320499999999583e+02,-9.041163299999999481e+02,-8.888036100000000488e+02,-7.776715100000000484e-03,7.593181499999999687e+03,1.468303799999999937e+00
2.950000000000000178e+00,5.924414299999999685e+02,-9.025089600000000019e+02,-8.878823599999999487e+02,6.868895099999999809e-02,7.593181499999999687e+03,1.468303799999999937e+00
3.000000000000000000e+00,6.648493700000000217e+02,-9.025498700000000554e+02,-8.861356100000000424e+02,-1.043671800000000194e-03,7.593181499999999687e+03,1.468303799999999937e+00
3.049999999999999822e+00,6.336885600000000522e+02,-9.011228899999999840e+02,-8.854779499999999643e+02,-1.894305599999999978e-01,7.593181499999999687e+03,1.468303799999999937e+00
3.100000000000000089e+00,6.189019899999999552e+02,-9.008392999999999802e+02,-8.855594200000000455e+02,-3.283140100000000311e-02,7.593181499999999687e+03,1.468303799999999937e+00
3.149999999999999911e+00,6.653432199999999739e+02,-9.023836300000000392e+02,-8.859571799999999939e+02,-2.233779200000000076e-01,7.593181499999999687e+03,1.468303799999999937e+00
3.200000000000000178e+00,6.258513799999999492e+02,-9.023057800000000270e+02,-8.868543300000000045e+02,-6.372682200000000241e-03,7.593181499999999687e+03,1.468303799999999937e+00
3.250000000000000000e+00,5.966350400000000036e+02,-9.024827299999999468e+02,-8.877526000000000295e+02,-1.331988199999999956e-01,7.593181499999999687e+03,1.468303799999999937e+00
3.299999999999999822e+00,5.818927499999999782e+02,-9.026464499999999589e+02,-8.882802799999999479e+02,-1.314238500000000087e-01,7.593181499999999687e+03,1.468303799999999937e+00
3.350000000000000089e+00,5.588535500000000411e+02,-9.023297199999999521e+02,-8.885323600000000397e+02,-3.710184600000000082e-02,7.593181499999999687e+03,1.468303799999999937e+00
3.399999999999999911e+00,5.735966300000000047e+02,-9.027069699999999557e+02,-8.885456199999999853e+02,-2.689756300000000211e-01,7.593181499999999687e+03,1.468303799999999937e+00
3.450000000000000178e+00,5.682744699999999511e+02,-9.024238900000000285e+02,-8.883939400000000433e+02,6.635503099999999488e-02,7.593181499999999687e+03,1.468303799999999937e+00
3.500000000000000000e+00,5.588099600000000464e+02,-9.015447799999999461e+02,-8.877484899999999470e+02,-2.548697999999999797e-01,7.593181499999999687e+03,1.468303799999999937e+00
