time_ps,T_K,PE_eV,Etot_eV,P_GPa,volume_A3,density_g_cm3
0.000000000000000000e+00,8.416249500000000126e+02,-8.960173800000000028e+02,-8.752387599999999566e+02,4.832393300000000225e-01,5.825467400000000453e+03,1.913854600000000072e+00
5.000000000000000278e-02,8.160642199999999775e+02,-8.955544800000000123e+02,-8.754069299999999885e+02,3.295239600000000046e-01,5.839868999999999687e+03,1.909134799999999910e+00
1.000000000000000056e-01,8.438709900000000061e+02,-8.968827400000000125e+02,-8.760486799999999903e+02,1.954627500000000184e-01,5.893738900000000285e+03,1.891685000000000061e+00
1.499999999999999944e-01,8.059376600000000508e+02,-8.972739699999999630e+02,-8.773764300000000276e+02,2.497739500000000223e-01,5.973140500000000429e+03,1.866538599999999937e+00
2.000000000000000111e-01,7.584663199999999961e+02,-8.975996300000000474e+02,-8.788740900000000238e+02,-1.026853499999999947e-01,6.070781100000000151e+03,1.836517799999999978e+00
2.500000000000000000e-01,6.905988899999999830e+02,-8.963810099999999466e+02,-8.793310300000000552e+02,-3.262875700000000267e-01,6.156104800000000068e+03,1.811063599999999996e+00
2.999999999999999889e-01,7.776782399999999598e+02,-8.981003799999999728e+02,-8.789005300000000034e+02,-2.832290500000000377e-01,6.195605400000000373e+03,1.799517000000000033e+00
3.499999999999999778e-01,7.944419100000000071e+02,-8.977840099999999666e+02,-8.781702800000000479e+02,9.717745400000001033e-02,6.206919200000000274e+03,1.796236900000000025e+00
4.000000000000000222e-01,7.706935999999999467e+02,-8.965371599999999717e+02,-8.775097399999999652e+02,-1.039961499999999955e-01,6.229373899999999594e+03,1.789762099999999911e+00
4.500000000000000111e-01,8.064956300000000056e+02,-8.968292300000000523e+02,-8.769179100000000062e+02,7.549463600000000385e-02,6.249942000000000007e+03,1.783872099999999961e+00
5.000000000000000000e-01,8.182108200000000124e+02,-8.966431199999999535e+02,-8.764425700000000461e+02,-6.510620699999999927e-02,6.278552599999999984e+03,1.775743300000000024e+00
