lag_ps,Li_MSD_A2,Li_COM_removed_window_MSD_A2,single_origin_system_COM_removed_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.049975880080035839e+00,1.026072448558041028e+00,1.156744106582551224e+00
2.000000000000000111e-01,1.848103390817613434e+00,1.804120710963849739e+00,2.045980184271481317e+00
2.999999999999999889e-01,2.504953490022820972e+00,2.441291106256358479e+00,2.242677478388343637e+00
4.000000000000000222e-01,3.149568441804620811e+00,3.066131839551553551e+00,3.082668711700322639e+00
5.000000000000000000e-01,3.785429514709389931e+00,3.682842174335007268e+00,3.091212362815527914e+00
5.999999999999999778e-01,4.403293036440702579e+00,4.281521009077517981e+00,3.809079884768704183e+00
7.000000000000000666e-01,5.009877496749104431e+00,4.869476697708762458e+00,3.679582102621213213e+00
8.000000000000000444e-01,5.612352453742397884e+00,5.453787741535740530e+00,4.687036885528028662e+00
9.000000000000000222e-01,6.210008729122070470e+00,6.032927825803649391e+00,5.796673895397955079e+00
1.000000000000000000e+00,6.808297553070579156e+00,6.613193576202786694e+00,5.763519599794550530e+00
1.100000000000000089e+00,7.390261591241373829e+00,7.177694060972402035e+00,6.996490615124938195e+00
1.199999999999999956e+00,7.977055989627160670e+00,7.746480038771332843e+00,7.232125656726654306e+00
1.300000000000000044e+00,8.563933392907951969e+00,8.316114534954527571e+00,7.825947883923615400e+00
1.400000000000000133e+00,9.143098839124792931e+00,8.877279005645291932e+00,8.698480829725546926e+00
1.500000000000000000e+00,9.719848595117092316e+00,9.436278276799122011e+00,9.636032903744142786e+00
1.600000000000000089e+00,1.029076796864879206e+01,9.989488701275337945e+00,9.948336761886631407e+00
1.699999999999999956e+00,1.085693305513636275e+01,1.053798881595555237e+01,1.088149187922197925e+01
1.800000000000000044e+00,1.142111103913727455e+01,1.108519039280950302e+01,1.359932533769967122e+01
1.900000000000000133e+00,1.198800716293555624e+01,1.163590556712074076e+01,1.498582565618976048e+01
2.000000000000000000e+00,1.255024523443896811e+01,1.218220721242840554e+01,1.437515744253188643e+01
2.100000000000000089e+00,1.310804021951705245e+01,1.272407022713163371e+01,1.560804672546910155e+01
2.200000000000000178e+00,1.366124575085929571e+01,1.326140342408353234e+01,1.567355149948476978e+01
2.300000000000000266e+00,1.421158011462988746e+01,1.379674620860067868e+01,1.658347607362539833e+01
2.399999999999999911e+00,1.475749824314883796e+01,1.432766988214276616e+01,1.795601527924964813e+01
2.500000000000000000e+00,1.529871679636331372e+01,1.485495476440117280e+01,1.947944630469692484e+01
2.600000000000000089e+00,1.583441836728756513e+01,1.537661155425762161e+01,1.919899865822257468e+01
2.700000000000000178e+00,1.637069466638054394e+01,1.589970009863475831e+01,1.914477457635175028e+01
2.800000000000000266e+00,1.689839152174065262e+01,1.641515107010542351e+01,1.906432048921397993e+01
2.899999999999999911e+00,1.742161424238838308e+01,1.692514699980012693e+01,2.089777995337266603e+01
3.000000000000000000e+00,1.793861014960411282e+01,1.742956716527910999e+01,2.347910292628625228e+01
3.100000000000000089e+00,1.845686387225070746e+01,1.793516249505018223e+01,2.362913858601459083e+01
3.200000000000000178e+00,1.897514841310102796e+01,1.844056042508611526e+01,2.280213542037751751e+01
3.300000000000000266e+00,1.949066021999140830e+01,1.894311364696577726e+01,2.357897694657787468e+01
3.399999999999999911e+00,2.000593839507698490e+01,1.944467836852923526e+01,2.440735899646657359e+01
3.500000000000000000e+00,2.051690951037942767e+01,1.994244848276456139e+01,2.558458867633440903e+01
3.600000000000000089e+00,2.102340963614859959e+01,2.043615638740386942e+01,2.550587259248431238e+01
3.700000000000000178e+00,2.153792033144188522e+01,2.093781148352056931e+01,2.598348958863035207e+01
3.800000000000000266e+00,2.204833705493639329e+01,2.143527365622589542e+01,2.874648392036431943e+01
3.899999999999999911e+00,2.256226256605250313e+01,2.193565217919875820e+01,2.969883275726073535e+01
4.000000000000000000e+00,2.306806586938096615e+01,2.242764326516348206e+01,3.005720860555163654e+01
4.099999999999999645e+00,2.357620464015907658e+01,2.292235793535180477e+01,3.210164491847188373e+01
4.200000000000000178e+00,2.408457000916927626e+01,2.341822792003591758e+01,3.019017299296532642e+01
4.299999999999999822e+00,2.459565755618162086e+01,2.391567712136055590e+01,3.261318612233594649e+01
4.400000000000000355e+00,2.509709976961548961e+01,2.440298325966002935e+01,3.339027304582058520e+01
4.500000000000000000e+00,2.559152242371282782e+01,2.488263731235027976e+01,3.488126040593532196e+01
4.600000000000000533e+00,2.608176535289766917e+01,2.535795630847824356e+01,3.623521895280521932e+01
4.700000000000000178e+00,2.657086518438897116e+01,2.583286979837552622e+01,3.671211640648061092e+01
4.799999999999999822e+00,2.706065796922590749e+01,2.630939394894805616e+01,3.672701029612036194e+01
4.900000000000000355e+00,2.755051837493770961e+01,2.678599593948567659e+01,3.747311432606383619e+01
5.000000000000000000e+00,2.803287944954478661e+01,2.725588702129082819e+01,3.838470323401342199e+01
5.100000000000000533e+00,2.851695548654130263e+01,2.772655691948374823e+01,3.944456918704172210e+01
5.200000000000000178e+00,2.900249824843997359e+01,2.819915881835102667e+01,3.890459542450180663e+01
5.299999999999999822e+00,2.949245580042844139e+01,2.867607179380524585e+01,3.849112709022283951e+01
5.400000000000000355e+00,2.997360540297784581e+01,2.914414289058960961e+01,3.992239227984235583e+01
5.500000000000000000e+00,3.045075286687188409e+01,2.960911190508501534e+01,3.847787087676137929e+01
5.600000000000000533e+00,3.092981110964057478e+01,3.007615987913483835e+01,3.986658286186950306e+01
5.700000000000000178e+00,3.141433485884397570e+01,3.054966879631933807e+01,3.912649253759771995e+01
5.799999999999999822e+00,3.189911213832245096e+01,3.102294951515576216e+01,3.932984729781611577e+01
5.900000000000000355e+00,3.238039349242120579e+01,3.149253276001538993e+01,4.175845508383848426e+01
6.000000000000000000e+00,3.286913282524159285e+01,3.196941501524081275e+01,4.166752227589980606e+01
6.100000000000000533e+00,3.335915591949318326e+01,3.244823865633554760e+01,4.108628593946142615e+01
6.200000000000000178e+00,3.384552116481662409e+01,3.292417781229724483e+01,4.174017374218095711e+01
6.299999999999999822e+00,3.432604438078125497e+01,3.339430649502981652e+01,4.161292879709834835e+01
6.400000000000000355e+00,3.480650129776507384e+01,3.386513577378174489e+01,4.203308029646406396e+01
6.500000000000000000e+00,3.529271884003176751e+01,3.434194397578669822e+01,4.395142182220936178e+01
6.600000000000000533e+00,3.577532409404449254e+01,3.481501505638718186e+01,4.295306531078831114e+01
6.700000000000000178e+00,3.625259646460632013e+01,3.528249260674144239e+01,4.602442210170276127e+01
6.799999999999999822e+00,3.672795665669833909e+01,3.574702908242210242e+01,4.534840080868906398e+01
6.900000000000000355e+00,3.720542386215116437e+01,3.621493062174312882e+01,4.587895394123044213e+01
7.000000000000000000e+00,3.768026813550532950e+01,3.668011164455591455e+01,4.695531053059035997e+01
7.100000000000000533e+00,3.815275811726223054e+01,3.714193997444038331e+01,4.773147789274823793e+01
7.200000000000000178e+00,3.862908484447243751e+01,3.760823403475146165e+01,4.905552636979460601e+01
7.299999999999999822e+00,3.910533498141935382e+01,3.807397457170805666e+01,5.004245110655936202e+01
7.400000000000000355e+00,3.958196658071153706e+01,3.854037842964839200e+01,5.102272138023956671e+01
7.500000000000000000e+00,4.005725249819769118e+01,3.900614583379974931e+01,5.122474275198917582e+01
7.600000000000000533e+00,4.053231336058374978e+01,3.947193332693111500e+01,5.134265973586940390e+01
7.700000000000000178e+00,4.100927755820341503e+01,3.993891376183458419e+01,5.150290695539622021e+01
7.799999999999999822e+00,4.149373364181828094e+01,4.041317973415126374e+01,5.209668698583978852e+01
7.900000000000000355e+00,4.197498441383051926e+01,4.088340226802621657e+01,5.396348458188402475e+01
8.000000000000000000e+00,4.245647062427830321e+01,4.135387959667271218e+01,5.840747127306025277e+01
8.099999999999999645e+00,4.294214323753941898e+01,4.182900693181325380e+01,5.976798873050897498e+01
8.199999999999999289e+00,4.342037091081662936e+01,4.229651284473989392e+01,5.832277006103483785e+01
8.300000000000000711e+00,4.389895699938118412e+01,4.276388128717157855e+01,6.152805649644933794e+01
8.400000000000000355e+00,4.437662601537518725e+01,4.323144820146211487e+01,6.063732315863550326e+01
8.500000000000000000e+00,4.485642260652741697e+01,4.370105910339501776e+01,6.433267696999594421e+01
8.599999999999999645e+00,4.534164840382889139e+01,4.417593639751966350e+01,6.053516017877664979e+01
8.700000000000001066e+00,4.582172534955910947e+01,4.464572400201812741e+01,5.938249655953911343e+01
8.800000000000000711e+00,4.629864797883016081e+01,4.511246672873422625e+01,6.146573340672049568e+01
8.900000000000000355e+00,4.676904639371437611e+01,4.557261408767216437e+01,6.208381894842058557e+01
9.000000000000000000e+00,4.724353239076845057e+01,4.603652537754509666e+01,6.232744415280986772e+01
9.099999999999999645e+00,4.770949317411775326e+01,4.649181603493079962e+01,6.132485514112180169e+01
9.200000000000001066e+00,4.817638589496583990e+01,4.694865198171293486e+01,6.034962418757851310e+01
9.300000000000000711e+00,4.864740113991349091e+01,4.740907442584078524e+01,6.248492372626273550e+01
9.400000000000000355e+00,4.912079373875807420e+01,4.787150869012659626e+01,6.307075284530562698e+01
9.500000000000000000e+00,4.959204859064356441e+01,4.833149590708236332e+01,6.294473470540938820e+01
9.599999999999999645e+00,5.006288659578551403e+01,4.879090395283939330e+01,6.469839417143438709e+01
9.700000000000001066e+00,5.053065227392428227e+01,4.924781730877371189e+01,6.345794828108035546e+01
9.800000000000000711e+00,5.099679341071746563e+01,4.970330786753313390e+01,6.275721979698379727e+01
9.900000000000000355e+00,5.146133782833194914e+01,5.015632834956883812e+01,6.162770066385976264e+01
1.000000000000000000e+01,5.192201078587376628e+01,5.060590082068193141e+01,6.621921153117203573e+01
1.009999999999999964e+01,5.238146651668058951e+01,5.105371366329248417e+01,6.736049807775310683e+01
1.020000000000000107e+01,5.284412423458496022e+01,5.150565402916722491e+01,6.833047340991392105e+01
1.030000000000000071e+01,5.330720862105290081e+01,5.195801192456969630e+01,6.971247692309802346e+01
1.040000000000000036e+01,5.376708610469884064e+01,5.240752794412895810e+01,6.812332117426288391e+01
1.050000000000000000e+01,5.423214644945836937e+01,5.286353943639522868e+01,6.738905746627972349e+01
1.059999999999999964e+01,5.469653207192325794e+01,5.331782529920307923e+01,6.886600485363291568e+01
1.070000000000000107e+01,5.514936240497035413e+01,5.376035933742937090e+01,6.937407602928718120e+01
1.080000000000000071e+01,5.559813343648946926e+01,5.419893037861476159e+01,6.962798488995308333e+01
1.090000000000000036e+01,5.605500525435080306e+01,5.464493473653079292e+01,7.245471384362689093e+01
1.100000000000000000e+01,5.650182788397961531e+01,5.508062970775528555e+01,7.299361580088870483e+01
1.109999999999999964e+01,5.694243947389193039e+01,5.551086834887168209e+01,7.266446319919059249e+01
1.120000000000000107e+01,5.738988079211843285e+01,5.594840308624188197e+01,7.304069323325173002e+01
1.130000000000000071e+01,5.783579741700361154e+01,5.638527778195310702e+01,7.591723458305956740e+01
1.140000000000000036e+01,5.828606497633591488e+01,5.682640850951401035e+01,7.677710309691080681e+01
1.150000000000000000e+01,5.873735287332524280e+01,5.726831021328026594e+01,7.438134958059829671e+01
1.159999999999999964e+01,5.918912730698383484e+01,5.770955030054363988e+01,7.430763957831952382e+01
1.170000000000000107e+01,5.963672184162420109e+01,5.814709080535276087e+01,7.168771873256339688e+01
1.180000000000000071e+01,6.008526063916051640e+01,5.858524932427948073e+01,7.305291992303401116e+01
1.190000000000000036e+01,6.053836530005696659e+01,5.902785454908617879e+01,7.515378548789892932e+01
1.200000000000000000e+01,6.098773703306131466e+01,5.946726679810419114e+01,7.377055451282370768e+01
1.209999999999999964e+01,6.143504943395657847e+01,5.990405050649618346e+01,7.366827300762604125e+01
1.220000000000000107e+01,6.188603683419652413e+01,6.034415771402228756e+01,7.350543795048240270e+01
1.230000000000000071e+01,6.233673724642729752e+01,6.078472088012721031e+01,7.279762410052470045e+01
1.240000000000000036e+01,6.277879722356954062e+01,6.121651747531397803e+01,7.309229712880080854e+01
1.250000000000000000e+01,6.322856362389754281e+01,6.165653033382946546e+01,7.082403250804642880e+01
1.259999999999999964e+01,6.367388005493216951e+01,6.209133679246665594e+01,7.209375855622731422e+01
1.270000000000000107e+01,6.412014580196832014e+01,6.252655043695783377e+01,7.088869829363414965e+01
1.280000000000000071e+01,6.456786171335006941e+01,6.296376819740893893e+01,7.190886126408499024e+01
1.290000000000000036e+01,6.501450048914155389e+01,6.339963520744557002e+01,7.624063874433622345e+01
1.300000000000000000e+01,6.545560806297906709e+01,6.382886863131427901e+01,7.771628093832450190e+01
1.309999999999999964e+01,6.590530169422201823e+01,6.426618526179323965e+01,7.900875926165377905e+01
1.320000000000000107e+01,6.634589209028547430e+01,6.469400969805001012e+01,8.039733461255919167e+01
1.330000000000000071e+01,6.678666604959930453e+01,6.512217688799921689e+01,8.222207647980454226e+01
1.340000000000000036e+01,6.722636488718180203e+01,6.555003079020382017e+01,8.106376391729071429e+01
1.350000000000000000e+01,6.766850711042663136e+01,6.597983208105944186e+01,8.272494862334583843e+01
1.359999999999999964e+01,6.810753407118758673e+01,6.640670018886224568e+01,8.210811611742830962e+01
1.370000000000000107e+01,6.854537709546337965e+01,6.683295173528154010e+01,8.050296949360738097e+01
1.380000000000000071e+01,6.897456191768095835e+01,6.725127377707840992e+01,7.931516949927059557e+01
1.390000000000000036e+01,6.940685462112092807e+01,6.767277836260177537e+01,7.981783320995126019e+01
1.400000000000000000e+01,6.984261531188599292e+01,6.809814608046413298e+01,7.942926542291748149e+01
