time_ps,T_K,PE_eV,Etot_eV,P_GPa,volume_A3,density_g_cm3
5.000000000000000278e-02,6.041264941399999771e+02,-9.247026812399999471e+02,-9.097095014199999241e+02,-2.040575232900000355e-02,5.829369779598128844e+03,1.912573542649167457e+00
1.000000000000000056e-01,6.194971313500000178e+02,-9.247552300099999911e+02,-9.093805825169999935e+02,-3.135951043666666549e-01,5.841229302758064478e+03,1.908690419928164461e+00
1.500000000000000222e-01,6.304609628900000189e+02,-9.244854923200000485e+02,-9.088387450280000621e+02,1.758953955499999999e-01,5.820563853865563033e+03,1.915467073413107624e+00
2.000000000000000111e-01,6.455778350699999919e+02,-9.240488245200000392e+02,-9.080269074820000696e+02,1.220312543803333399e-01,5.795259889416747683e+03,1.923830617353049943e+00
2.500000000000000000e-01,6.368254979099999673e+02,-9.231203760099999727e+02,-9.073156740199999604e+02,2.520938827800000559e-01,5.784246533674984676e+03,1.927493640851867251e+00
3.000000000000000444e-01,6.894957809200000156e+02,-9.241808683000000428e+02,-9.070689979730000232e+02,-2.398570918283333409e-01,5.795846849554058281e+03,1.923635786138106596e+00
3.500000000000000333e-01,6.436705462099999977e+02,-9.237156964900000276e+02,-9.077411144480000758e+02,5.813312136966666266e-01,5.802554922245266425e+03,1.921411957349282273e+00
4.000000000000000222e-01,6.254245528500000546e+02,-9.243281643100000338e+02,-9.088064103799999884e+02,-4.928804864199999858e-01,5.859832309080667983e+03,1.902630966674733859e+00
4.500000000000000111e-01,5.641321312100000114e+02,-9.235590813500000422e+02,-9.095584795430000895e+02,-2.273154591822333648e-01,5.874772615098363531e+03,1.897792330229842506e+00
5.000000000000000000e-01,5.891221337599999970e+02,-9.244533347499999536e+02,-9.098325323629999275e+02,-1.210602070333333252e-01,5.846995315374594611e+03,1.906808165462624327e+00
5.500000000000000444e-01,5.861242096299999957e+02,-9.243985572599999614e+02,-9.098521571979999862e+02,1.031357327571399973e-01,5.799312003954156353e+03,1.922486392036879099e+00
6.000000000000000888e-01,6.104281099999999469e+02,-9.249957632699999976e+02,-9.098461902760000157e+02,2.391082389200000213e-01,5.761803399258220452e+03,1.935001533063994250e+00
6.500000000000000222e-01,6.459081632899999477e+02,-9.260324997000000167e+02,-9.100023845939999774e+02,9.531863985600001754e-02,5.748597356987069361e+03,1.939446741251923179e+00
7.000000000000000666e-01,5.807701782000000321e+02,-9.250988052999999809e+02,-9.106852813099999366e+02,2.055233359399999682e-01,5.765191654800368269e+03,1.933864315073503093e+00
7.500000000000000000e-01,5.645425816700000041e+02,-9.259254302599999846e+02,-9.119146419149999474e+02,7.260074879033333317e-02,5.817396775995086500e+03,1.916509882355565519e+00
8.000000000000000444e-01,5.179555272799999557e+02,-9.254584016300000258e+02,-9.126038083700000243e+02,-4.793666431333332700e-01,5.869587096538453807e+03,1.899468945158525601e+00
8.500000000000000888e-01,5.221075906999999461e+02,-9.255624562199999446e+02,-9.126048172669999303e+02,-9.856164233666668550e-02,5.858937793542359941e+03,1.902921451575466660e+00
9.000000000000000222e-01,5.880096922799999675e+02,-9.265327869200000350e+02,-9.119395930480000061e+02,4.509310582600000589e-02,5.820302666418741865e+03,1.915553030447139760e+00
9.500000000000000666e-01,6.346700315199999523e+02,-9.269092915600000424e+02,-9.111580838220000942e+02,-2.034494622666666030e-03,5.775436965926345692e+03,1.930433744936516760e+00
1.000000000000000000e+00,5.608337667499999952e+02,-9.245477066600000171e+02,-9.106289634900000465e+02,4.147268068253333606e-01,5.749982608866173905e+03,1.938979501187822807e+00
1.050000000000000044e+00,5.759123197599999457e+02,-9.244312998000000334e+02,-9.101383378880000237e+02,-3.519333522333333627e-03,5.771273324856713771e+03,1.931826441620626778e+00
1.100000000000000089e+00,6.167528916200000140e+02,-9.250811236700000109e+02,-9.097745825760000571e+02,7.308707299233331567e-02,5.788187419758165561e+03,1.926181307246579433e+00
1.150000000000000133e+00,6.439120620099999996e+02,-9.257479288299999780e+02,-9.097673528609999494e+02,2.128468561833333217e-01,5.815143392259101347e+03,1.917252535099864819e+00
1.200000000000000178e+00,6.578294098899999653e+02,-9.264428496199999472e+02,-9.101168736379999018e+02,-4.356751560300000103e-01,5.862329094870501649e+03,1.901820629710702315e+00
1.250000000000000000e+00,6.083495084899999483e+02,-9.257992790199999718e+02,-9.107012926500000276e+02,7.357004524233333453e-02,5.873884757335298673e+03,1.898079188028844344e+00
1.300000000000000044e+00,5.811107032999999547e+02,-9.255007067400000551e+02,-9.110787316160000273e+02,7.799010170129999642e-02,5.878820410899456874e+03,1.896485626624573539e+00
1.350000000000000089e+00,6.137111743699999806e+02,-9.262939588000000413e+02,-9.110629068860000643e+02,-4.325352339766666554e-01,5.875893165272274928e+03,1.897430415629649536e+00
1.400000000000000133e+00,5.935952304999999569e+02,-9.254828694799999766e+02,-9.107510540109999511e+02,2.788983962866666833e-01,5.831653119997467911e+03,1.911824688705563879e+00
1.450000000000000178e+00,5.528631035700000211e+02,-9.236377065100000436e+02,-9.099167788430000883e+02,1.281506729433332936e-01,5.813705595278055625e+03,1.917726693940847049e+00
1.500000000000000000e+00,6.885443858700000419e+02,-9.254441684399999986e+02,-9.083559097859999838e+02,-2.230567600099999936e-01,5.807639901786015798e+03,1.919729631885289889e+00
1.550000000000000044e+00,6.608560823699999673e+02,-9.239621709900000042e+02,-9.075610792080000238e+02,-6.639122891333333609e-02,5.781650552397426509e+03,1.928359092224086524e+00
1.600000000000000089e+00,6.198212917800000241e+02,-9.229727095700000064e+02,-9.075900170800000524e+02,-3.893468680966667012e-02,5.746969178477478636e+03,1.939996207484738111e+00
1.650000000000000133e+00,6.684366215400000328e+02,-9.244133183699999563e+02,-9.078240931619999401e+02,1.115889074990000090e-01,5.709465583038248951e+03,1.952739402423209203e+00
1.700000000000000178e+00,6.748929562600000054e+02,-9.254580590699999902e+02,-9.087086008840000204e+02,6.952881584666667503e-02,5.686293131665061992e+03,1.960697092573788547e+00
1.750000000000000000e+00,6.614490041599999586e+02,-9.261996927200000300e+02,-9.097838858360000813e+02,-2.136507850100000105e-01,5.677576656499503770e+03,1.963707244360120896e+00
1.800000000000000044e+00,5.875220342400000391e+02,-9.252001616200000171e+02,-9.106190704189999678e+02,1.002690558233333279e-01,5.673126647505191613e+03,1.965247579248192045e+00
1.850000000000000089e+00,5.643031466600000385e+02,-9.249867885200000046e+02,-9.109819424600000275e+02,-2.850336906673333615e-01,5.678040882826013330e+03,1.963546695216639604e+00
1.900000000000000133e+00,6.183760286200000564e+02,-9.263887972600000467e+02,-9.110419732360001035e+02,2.276350604939999800e-01,5.659527466644440210e+03,1.969969838734317635e+00
