time_ps,T_K,PE_eV,Etot_eV,P_GPa,volume_A3,density_g_cm3
5.000000000000000278e-02,2.727090981700000043e+02,-9.283461292800000138e+02,-9.215780491059999804e+02,-1.348521341033333265e-01,5.825461543063272075e+03,1.913856666696889031e+00
1.000000000000000056e-01,2.971042829300000108e+02,-9.284963043499999458e+02,-9.211227857532999224e+02,-1.275296533999999982e-01,5.825461543063272075e+03,1.913856666696889031e+00
1.500000000000000222e-01,2.973873265400000037e+02,-9.280629463100000294e+02,-9.206824031515000115e+02,-3.016273805866666602e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.000000000000000111e-01,3.089877956899999845e+02,-9.280688046200000372e+02,-9.204003616234000447e+02,-4.463421655333333349e-01,5.825461543063272075e+03,1.913856666696889031e+00
2.500000000000000000e-01,3.191109447499999874e+02,-9.282498638199999732e+02,-9.203301850378999234e+02,-4.071433197700000117e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.000000000000000444e-01,3.340146028400000091e+02,-9.287840036100000134e+02,-9.204944466187999979e+02,-3.221010015149999850e-01,5.825461543063272075e+03,1.913856666696889031e+00
3.500000000000000333e-01,3.300203060100000130e+02,-9.291151997299999721e+02,-9.209247729892999814e+02,-2.595781637063332981e-01,5.825461543063272075e+03,1.913856666696889031e+00
4.000000000000000222e-01,3.033725689899999907e+02,-9.288993855600000416e+02,-9.213703009666000980e+02,-5.292419409199999869e-01,5.825461543063272075e+03,1.913856666696889031e+00
4.500000000000000111e-01,3.299424682499999903e+02,-9.298398181699999441e+02,-9.216513232026999276e+02,-1.598779085466666416e-01,5.825461543063272075e+03,1.913856666696889031e+00
5.000000000000000000e-01,3.348228983800000265e+02,-9.303223827599999822e+02,-9.220127655324999978e+02,-1.720747546599999955e-01,5.825461543063272075e+03,1.913856666696889031e+00
5.500000000000000444e-01,3.119185506599999940e+02,-9.301702269300000125e+02,-9.224290486093000254e+02,-2.424544804209999571e-01,5.825461543063272075e+03,1.913856666696889031e+00
6.000000000000000888e-01,2.782161661999999751e+02,-9.295647683800000323e+02,-9.226600140790000069e+02,-2.201339237833332962e-01,5.825461543063272075e+03,1.913856666696889031e+00
6.500000000000000222e-01,3.102202841100000228e+02,-9.302552573100000473e+02,-9.225562264799000332e+02,-4.762693377683333562e-01,5.825461543063272075e+03,1.913856666696889031e+00
7.000000000000000666e-01,2.890314985100000058e+02,-9.294808071500000324e+02,-9.223076384959000507e+02,-2.256676861599999917e-01,5.825461543063272075e+03,1.913856666696889031e+00
7.500000000000000000e-01,3.185008819099999755e+02,-9.296983805900000561e+02,-9.217938423157000898e+02,-3.994209589800000182e-01,5.825461543063272075e+03,1.913856666696889031e+00
8.000000000000000444e-01,3.370561127799999781e+02,-9.297710590200000524e+02,-9.214060179938001056e+02,-2.805089920766666300e-01,5.825461543063272075e+03,1.913856666696889031e+00
8.500000000000000888e-01,3.089874950899999817e+02,-9.289898824800000057e+02,-9.213214469434999501e+02,-4.304508892133333542e-01,5.825461543063272075e+03,1.913856666696889031e+00
9.000000000000000222e-01,2.946334820199999740e+02,-9.284805738899999596e+02,-9.211683755011999892e+02,-2.513048813100000056e-01,5.825461543063272075e+03,1.913856666696889031e+00
9.500000000000000666e-01,3.286572057800000266e+02,-9.289852468399999452e+02,-9.208286494496999239e+02,-8.355039025800000685e-01,5.825461543063272075e+03,1.913856666696889031e+00
1.000000000000000000e+00,3.579467051600000218e+02,-9.295052611200000001e+02,-9.206217584618000274e+02,-5.444467885800000073e-02,5.825461543063272075e+03,1.913856666696889031e+00
1.050000000000000044e+00,3.319892592499999751e+02,-9.289928999899999553e+02,-9.207536078704999909e+02,-8.207048688066667097e-01,5.825461543063272075e+03,1.913856666696889031e+00
1.100000000000000089e+00,3.661668989400000100e+02,-9.300643198300000449e+02,-9.209768088312999907e+02,-4.448463815033332769e-01,5.825461543063272075e+03,1.913856666696889031e+00
