time_ps,T_K,PE_eV,Etot_eV,P_GPa,volume_A3,density_g_cm3
0.000000000000000000e+00,6.029230199999999513e+02,-9.023310999999999922e+02,-8.874457300000000259e+02,1.452791199999999838e-01,5.825467400000000453e+03,1.913854600000000072e+00
5.000000000000000278e-02,5.547742500000000518e+02,-9.009697300000000268e+02,-8.872730800000000499e+02,-2.101582800000000029e-02,5.837445499999999811e+03,1.909927500000000000e+00
1.000000000000000056e-01,5.555338500000000295e+02,-9.003318699999999808e+02,-8.866164700000000494e+02,1.873927499999999968e-01,5.858920699999999670e+03,1.902926799999999918e+00
1.499999999999999944e-01,6.470116699999999810e+02,-9.016159900000000107e+02,-8.856421199999999772e+02,4.825135199999999736e-01,5.909300599999999577e+03,1.886703400000000030e+00
2.000000000000000111e-01,6.102623899999999821e+02,-9.003911600000000135e+02,-8.853245899999999438e+02,-2.226156800000000380e-01,6.018591699999999946e+03,1.852442900000000003e+00
2.500000000000000000e-01,6.542712500000000091e+02,-9.012660799999999881e+02,-8.851129899999999679e+02,-9.287065400000001081e-02,6.121606399999999667e+03,1.821269900000000108e+00
2.999999999999999889e-01,6.544683700000000499e+02,-9.016516400000000431e+02,-8.854936699999999519e+02,-1.613376300000000096e-01,6.212214200000000346e+03,1.794705900000000076e+00
3.499999999999999778e-01,6.519931299999999510e+02,-9.020927400000000489e+02,-8.859958900000000313e+02,-2.563539300000000076e-01,6.273233299999999872e+03,1.777249000000000079e+00
4.000000000000000222e-01,6.190509100000000444e+02,-9.018862100000000055e+02,-8.866026500000000397e+02,2.749885400000000035e-01,6.303967499999999745e+03,1.768584200000000051e+00
4.500000000000000111e-01,6.152197999999999638e+02,-9.024417899999999690e+02,-8.872528200000000425e+02,-2.854422999999999822e-01,6.357271700000000237e+03,1.753755100000000011e+00
5.000000000000000000e-01,5.963719200000000455e+02,-9.025471300000000383e+02,-8.878234899999999925e+02,-5.782142500000000268e-03,6.370704899999999725e+03,1.750057100000000032e+00
5.500000000000000444e-01,5.607638799999999719e+02,-9.020801000000000158e+02,-8.882355800000000272e+02,-1.055000900000000047e-01,6.373371100000000297e+03,1.749325000000000019e+00
5.999999999999999778e-01,5.625104400000000169e+02,-9.020608899999999721e+02,-8.881732500000000528e+02,1.259487000000000245e-01,6.365324700000000121e+03,1.751536299999999935e+00
6.500000000000000222e-01,6.123901299999999992e+02,-9.029026699999999437e+02,-8.877835599999999658e+02,7.203096200000000393e-02,6.373408499999999549e+03,1.749314800000000059e+00
6.999999999999999556e-01,5.847356399999999894e+02,-9.018674200000000383e+02,-8.874310699999999770e+02,-9.375229799999999780e-02,6.391778100000000450e+03,1.744287300000000096e+00
7.500000000000000000e-01,6.048921400000000403e+02,-9.015961300000000165e+02,-8.866621400000000222e+02,2.322821800000000325e-01,6.405605099999999766e+03,1.740522099999999961e+00
8.000000000000000444e-01,6.076465100000000348e+02,-9.003741999999999734e+02,-8.853722000000000207e+02,1.046611399999999997e-01,6.450689300000000003e+03,1.728357499999999991e+00
8.499999999999999778e-01,6.501686700000000201e+02,-9.007368099999999913e+02,-8.846849999999999454e+02,5.972301400000000482e-02,6.516928799999999683e+03,1.710790100000000091e+00
9.000000000000000222e-01,6.276019499999999880e+02,-9.001123400000000174e+02,-8.846176699999999755e+02,1.351789499999999896e-03,6.589733100000000377e+03,1.691889100000000035e+00
9.499999999999999556e-01,5.980674000000000206e+02,-8.996851599999999962e+02,-8.849196699999999964e+02,-2.538161200000000339e-01,6.651331000000000131e+03,1.676220499999999891e+00
1.000000000000000000e+00,6.102302899999999681e+02,-9.003302099999999655e+02,-8.852644199999999728e+02,7.989796200000000292e-02,6.687690599999999904e+03,1.667107200000000011e+00
1.050000000000000044e+00,5.948045399999999745e+02,-9.004600599999999986e+02,-8.857751200000000154e+02,8.180558300000000116e-02,6.733203000000000429e+03,1.655838600000000049e+00
1.100000000000000089e+00,5.939394899999999780e+02,-9.006720000000000255e+02,-8.860084100000000262e+02,-1.550606000000000206e-01,6.780408000000000357e+03,1.644310699999999903e+00
1.149999999999999911e+00,5.994357899999999972e+02,-9.008174699999999575e+02,-8.860181900000000041e+02,-4.063298499999999647e-03,6.802602600000000166e+03,1.638945899999999956e+00
1.199999999999999956e+00,5.617658999999999878e+02,-8.999675499999999602e+02,-8.860982900000000200e+02,-6.764357800000000975e-02,6.813700499999999920e+03,1.636276400000000075e+00
1.250000000000000000e+00,5.909269100000000208e+02,-9.006152499999999463e+02,-8.860260399999999663e+02,-2.725874600000000383e-02,6.808505000000000109e+03,1.637524999999999897e+00
1.300000000000000044e+00,6.152131399999999530e+02,-9.004720600000000559e+02,-8.852832600000000411e+02,-3.468672100000000369e-02,6.803144100000000435e+03,1.638815399999999922e+00
1.350000000000000089e+00,6.615281800000000203e+02,-9.008753500000000258e+02,-8.845430900000000065e+02,-4.764423899999999934e-01,6.764518200000000434e+03,1.648173200000000005e+00
1.399999999999999911e+00,6.742560600000000477e+02,-9.007443500000000540e+02,-8.840978599999999687e+02,1.756670800000000310e-01,6.663799399999999878e+03,1.673084199999999910e+00
1.449999999999999956e+00,6.554561899999999923e+02,-9.005994399999999587e+02,-8.844170900000000302e+02,-2.319565400000000166e-01,6.592504799999999705e+03,1.691177699999999895e+00
1.500000000000000000e+00,6.580461800000000494e+02,-9.016266799999999648e+02,-8.853803900000000340e+02,2.835998900000000211e-01,6.515682499999999891e+03,1.711117400000000011e+00
1.550000000000000044e+00,6.044024899999999434e+02,-9.014779700000000275e+02,-8.865560600000000022e+02,2.324262200000000167e-01,6.476890000000000327e+03,1.721365899999999893e+00
1.600000000000000089e+00,5.914764300000000503e+02,-9.018770600000000286e+02,-8.872742899999999509e+02,8.193573500000000953e-02,6.470666500000000269e+03,1.723021499999999984e+00
1.649999999999999911e+00,6.112239499999999452e+02,-9.027279399999999896e+02,-8.876376199999999699e+02,1.431566700000000136e-01,6.488257200000000012e+03,1.718350100000000102e+00
1.699999999999999956e+00,5.299162900000000036e+02,-9.010392299999999750e+02,-8.879562899999999672e+02,2.501777500000000320e-01,6.534133200000000215e+03,1.706285599999999958e+00
1.750000000000000000e+00,5.644072099999999637e+02,-9.017669499999999516e+02,-8.878324800000000323e+02,8.638402100000001221e-03,6.615145800000000236e+03,1.685389500000000096e+00
1.800000000000000044e+00,6.015107000000000426e+02,-9.018345600000000104e+02,-8.869840500000000247e+02,-2.042024600000000023e-01,6.695661799999999857e+03,1.665122500000000061e+00
1.850000000000000089e+00,5.547283099999999649e+02,-8.997019500000000107e+02,-8.860064399999999978e+02,3.655698300000000123e-02,6.747918200000000070e+03,1.652227700000000077e+00
1.899999999999999911e+00,6.222892100000000255e+02,-9.004668100000000095e+02,-8.851033099999999649e+02,-3.298896000000000606e-01,6.788524400000000242e+03,1.642344699999999991e+00
1.949999999999999956e+00,6.465081000000000131e+02,-9.007672700000000532e+02,-8.848058399999999892e+02,4.574336700000000006e-02,6.781268699999999626e+03,1.644101999999999952e+00
2.000000000000000000e+00,6.380875499999999647e+02,-9.007120700000000397e+02,-8.849585200000000214e+02,1.501513200000000048e-01,6.774451100000000224e+03,1.645756599999999903e+00
2.049999999999999822e+00,6.187322199999999839e+02,-9.007470799999999826e+02,-8.854713900000000422e+02,-3.461246400000000389e-01,6.793909099999999853e+03,1.641043100000000088e+00
2.100000000000000089e+00,5.902500599999999622e+02,-9.005835200000000214e+02,-8.860110200000000304e+02,4.619684800000000563e-02,6.772207099999999627e+03,1.646301900000000096e+00
2.149999999999999911e+00,5.928627999999999929e+02,-9.010673500000000331e+02,-8.864303400000000011e+02,-6.543434700000000381e-02,6.735533699999999953e+03,1.655265599999999893e+00
2.200000000000000178e+00,6.080159599999999500e+02,-9.018869999999999436e+02,-8.868758900000000267e+02,-1.731250300000000339e-02,6.676532299999999850e+03,1.669893400000000083e+00
2.250000000000000000e+00,6.177874399999999468e+02,-9.025362999999999829e+02,-8.872839400000000296e+02,1.399958699999999945e-01,6.614856999999999971e+03,1.685463099999999992e+00
2.299999999999999822e+00,5.566539199999999710e+02,-9.018765499999999520e+02,-8.881335000000000264e+02,2.314219999999999888e-01,6.580360300000000279e+03,1.694298899999999941e+00
2.350000000000000089e+00,5.363963700000000472e+02,-9.021560600000000250e+02,-8.889131300000000238e+02,1.799619400000000147e-01,6.584750500000000102e+03,1.693169300000000099e+00
2.399999999999999911e+00,5.323035300000000234e+02,-9.025242799999999761e+02,-8.893823999999999614e+02,-2.380077800000000021e-01,6.608971400000000358e+03,1.686964099999999966e+00
2.450000000000000178e+00,5.191618499999999585e+02,-9.022485400000000482e+02,-8.894311099999999897e+02,3.130137200000000508e-01,6.606777100000000246e+03,1.687524400000000036e+00
2.500000000000000000e+00,5.736899899999999661e+02,-9.027736800000000130e+02,-8.886100300000000516e+02,1.122685700000000120e-01,6.635968700000000354e+03,1.680101000000000067e+00
2.549999999999999822e+00,5.774403899999999794e+02,-9.017732799999999997e+02,-8.875170299999999770e+02,1.195675999999999961e-01,6.687320800000000418e+03,1.667199400000000109e+00
2.600000000000000089e+00,5.759970499999999447e+02,-9.007027900000000500e+02,-8.864821799999999712e+02,-2.660992699999999989e-01,6.744285899999999856e+03,1.653117600000000076e+00
2.649999999999999911e+00,6.072895600000000513e+02,-9.007221899999999550e+02,-8.857290100000000166e+02,1.876760700000000004e-01,6.764227499999999964e+03,1.648244000000000042e+00
2.700000000000000178e+00,6.501842599999999948e+02,-9.013374199999999519e+02,-8.852852199999999812e+02,-2.408860000000000168e-01,6.806587000000000444e+03,1.637986500000000012e+00
2.750000000000000000e+00,6.303840400000000272e+02,-9.008443300000000136e+02,-8.852809799999999996e+02,2.109414900000000370e-01,6.818010699999999815e+03,1.635242000000000084e+00
2.799999999999999822e+00,6.048797499999999445e+02,-9.004852799999999888e+02,-8.855515900000000329e+02,-1.818200600000000056e-01,6.840479500000000371e+03,1.629870799999999953e+00
2.850000000000000089e+00,6.164867600000000039e+02,-9.012823700000000144e+02,-8.860621300000000247e+02,1.790010600000000174e-01,6.844652500000000146e+03,1.628877099999999967e+00
2.899999999999999911e+00,5.925688599999999724e+02,-9.015496900000000551e+02,-8.869199399999999969e+02,-3.248031900000000489e-03,6.865630900000000111e+03,1.623899900000000063e+00
2.950000000000000178e+00,5.413111900000000105e+02,-9.012444100000000162e+02,-8.878801399999999830e+02,-2.021185400000000132e-02,6.887682499999999891e+03,1.618700800000000051e+00
3.000000000000000000e+00,5.534616899999999760e+02,-9.020318800000000010e+02,-8.883676400000000513e+02,-1.542175199999999968e-01,6.893146999999999935e+03,1.617417600000000011e+00
3.049999999999999822e+00,5.606722300000000132e+02,-9.022380600000000186e+02,-8.883958000000000084e+02,9.691602500000000286e-02,6.881975300000000061e+03,1.620043200000000017e+00
