lag_ps,Li_MSD_A2,Li_COM_removed_window_MSD_A2,single_origin_system_COM_removed_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,6.346778819821331519e-01,6.197445677230578598e-01,6.595673204918585109e-01
2.000000000000000111e-01,1.089737461162461063e+00,1.062553443504698159e+00,9.540609089618011796e-01
2.999999999999999889e-01,1.408988198032724792e+00,1.372153337404866669e+00,1.293321849101893184e+00
4.000000000000000222e-01,1.693316615312526974e+00,1.648413284036582827e+00,1.465735735227098546e+00
5.000000000000000000e-01,1.966973038293182707e+00,1.914122878053737598e+00,1.756339945494172161e+00
5.999999999999999778e-01,2.217839820963054986e+00,2.157563400822746669e+00,2.103445211172596085e+00
7.000000000000000666e-01,2.457109284264797910e+00,2.389122420478345887e+00,2.034422408968907803e+00
8.000000000000000444e-01,2.686237070973156005e+00,2.610337684307055817e+00,2.271495264647364287e+00
9.000000000000000222e-01,2.909628003346996561e+00,2.826290032058187851e+00,2.915670241301840715e+00
1.000000000000000000e+00,3.125441775263934296e+00,3.035350293761263529e+00,3.028517207572654080e+00
1.100000000000000089e+00,3.333706740289480663e+00,3.237239662624519454e+00,3.377263861271664336e+00
1.199999999999999956e+00,3.534830776089101345e+00,3.432596721731440592e+00,3.444416041879550416e+00
1.300000000000000044e+00,3.731925288546020791e+00,3.623977650684857998e+00,3.292190536721383065e+00
1.400000000000000133e+00,3.924035902322133396e+00,3.810364603488777924e+00,3.484290696176214119e+00
1.500000000000000000e+00,4.114760301592697012e+00,3.995062921492817942e+00,3.472103892662982361e+00
1.600000000000000089e+00,4.302950562181569794e+00,4.177894837257735361e+00,3.690096076826161919e+00
1.699999999999999956e+00,4.484867479055962391e+00,4.354174894053265632e+00,3.816718010562862418e+00
1.800000000000000044e+00,4.661713061300365446e+00,4.525759835724806557e+00,4.505300020393816496e+00
1.900000000000000133e+00,4.836180977167686912e+00,4.695623325234735468e+00,4.437822357164870724e+00
2.000000000000000000e+00,5.009233065443057242e+00,4.863646872877041005e+00,4.397610151713641891e+00
2.100000000000000089e+00,5.183464064619433209e+00,5.032681904503956360e+00,4.232425277690657239e+00
2.200000000000000178e+00,5.356763706200423414e+00,5.201461351263202637e+00,3.714002514506800079e+00
2.300000000000000266e+00,5.532035502763611667e+00,5.371856090556881291e+00,3.541174053588250992e+00
2.399999999999999911e+00,5.705091795046875802e+00,5.540309165491510868e+00,4.074845293087774323e+00
2.500000000000000000e+00,5.876187264377221275e+00,5.707464117772762968e+00,4.240212679905610571e+00
2.600000000000000089e+00,6.043856402014109008e+00,5.871914270780149714e+00,4.134696783790084318e+00
2.700000000000000178e+00,6.212197887093490856e+00,6.036240251073037300e+00,4.148710418347779871e+00
2.800000000000000266e+00,6.385960106610979459e+00,6.205434407857008949e+00,3.919979690517006343e+00
2.899999999999999911e+00,6.554371191325157220e+00,6.368648641915033437e+00,4.687661442674992074e+00
3.000000000000000000e+00,6.721385989252611992e+00,6.530661942472211656e+00,4.904491782008561174e+00
3.100000000000000089e+00,6.888444518794121230e+00,6.692907068138891802e+00,5.152184162126466127e+00
