lag_ps,Li_MSD_A2,Li_COM_removed_window_MSD_A2,single_origin_system_COM_removed_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,5.822474951614138305e-01,5.680437053544002968e-01,5.665701079801537254e-01
2.000000000000000111e-01,9.050150322756145282e-01,8.826153731195588437e-01,6.186969117717795452e-01
2.999999999999999889e-01,1.117247068100896579e+00,1.089434375383199205e+00,6.998587161481040209e-01
4.000000000000000222e-01,1.308142399799766098e+00,1.275532618450495592e+00,1.186144456379778500e+00
5.000000000000000000e-01,1.474273909053729126e+00,1.437571325982277548e+00,1.223174393055808995e+00
5.999999999999999778e-01,1.623967792993532111e+00,1.584130243822462702e+00,1.252101997998983141e+00
6.999999999999999556e-01,1.755815268620807279e+00,1.713671579043545279e+00,1.396636156843900745e+00
8.000000000000000444e-01,1.879663746572308725e+00,1.834426155072702125e+00,1.408994784786823384e+00
9.000000000000000222e-01,2.000484857772379055e+00,1.952098497220816853e+00,1.450929027714785713e+00
1.000000000000000000e+00,2.113953614220744459e+00,2.062293006848197496e+00,1.370600617052262216e+00
1.100000000000000089e+00,2.223061572328601354e+00,2.168426042592491942e+00,1.280935714869839925e+00
1.199999999999999956e+00,2.332332487013150324e+00,2.274674389245054051e+00,1.320385716326882397e+00
1.300000000000000044e+00,2.432585427897191011e+00,2.371937737207340469e+00,1.320335053433491224e+00
1.399999999999999911e+00,2.529123443853928066e+00,2.465883153081004586e+00,1.201418288922135647e+00
1.500000000000000000e+00,2.623958986647017433e+00,2.559262992679618876e+00,1.288734219284495719e+00
1.600000000000000089e+00,2.716616576081178902e+00,2.650371096647772706e+00,1.213487856246862284e+00
1.699999999999999956e+00,2.808728215184883137e+00,2.740649271474246529e+00,1.295504352102261114e+00
1.800000000000000044e+00,2.898687457766821129e+00,2.829040364486600900e+00,1.714058233084176930e+00
1.899999999999999911e+00,2.985531864271321112e+00,2.913822482589448981e+00,1.952337207532410135e+00
2.000000000000000000e+00,3.071581301534779485e+00,2.997546676555558509e+00,1.962871463097531244e+00
2.100000000000000089e+00,3.151542086496491368e+00,3.075279135323640833e+00,1.923732682885238132e+00
2.200000000000000178e+00,3.232925563927712798e+00,3.154542029376905532e+00,1.975646780897356791e+00
2.299999999999999822e+00,3.310798969794187752e+00,3.230533574682279863e+00,1.733195493952955912e+00
2.399999999999999911e+00,3.380943747217517004e+00,3.298559653783714296e+00,1.894266868805348558e+00
2.500000000000000000e+00,3.455318259574700512e+00,3.370850736398317782e+00,2.080898065229939586e+00
2.600000000000000089e+00,3.530483623974186802e+00,3.443239832514130239e+00,2.476278400077577491e+00
2.700000000000000178e+00,3.609344268640612974e+00,3.519372387947903746e+00,2.624406510605989062e+00
2.799999999999999822e+00,3.683318637489415348e+00,3.591116191890654896e+00,2.415380307457012155e+00
2.899999999999999911e+00,3.762635519375501225e+00,3.667641318069736922e+00,2.293155672386182342e+00
3.000000000000000000e+00,3.840185169885931504e+00,3.743196301894299971e+00,2.284686071048709799e+00
3.100000000000000089e+00,3.912102962898890368e+00,3.813329874743724091e+00,2.605850201855643533e+00
3.200000000000000178e+00,3.988162282342495590e+00,3.887514797430021929e+00,2.747954101813374184e+00
3.299999999999999822e+00,4.064100412360565073e+00,3.961180246606224475e+00,2.568751105180648864e+00
3.399999999999999911e+00,4.135824755440943079e+00,4.030736397841037544e+00,2.511325477883084467e+00
3.500000000000000000e+00,4.210766976811322948e+00,4.103499467831457359e+00,2.822791668413005883e+00
3.600000000000000089e+00,4.283542480997111213e+00,4.173972174909616584e+00,2.364568896364163564e+00
3.700000000000000178e+00,4.359543715116197760e+00,4.247568961500968854e+00,2.362266935909913990e+00
3.799999999999999822e+00,4.433553838024576699e+00,4.319264654718108609e+00,2.116706036130177271e+00
3.899999999999999911e+00,4.510149636978174392e+00,4.393559117321337304e+00,2.454485143183189333e+00
4.000000000000000000e+00,4.582092751358926463e+00,4.463656081824783683e+00,3.253038902057294290e+00
4.099999999999999645e+00,4.653051213939892072e+00,4.532560958301812271e+00,2.852086072816816920e+00
4.200000000000000178e+00,4.727819384972975492e+00,4.604484460560855474e+00,2.974185281518882285e+00
4.299999999999999822e+00,4.805421669499885695e+00,4.679920522775129932e+00,2.885244546302895063e+00
4.400000000000000355e+00,4.880882406150843345e+00,4.753273619782821591e+00,3.086321401444611201e+00
4.500000000000000000e+00,4.954481257921902859e+00,4.824512954748639615e+00,2.669009911793059242e+00
4.599999999999999645e+00,5.035339810507720060e+00,4.903062786435625320e+00,2.698667645641567692e+00
4.700000000000000178e+00,5.111540965953638604e+00,4.977005817389470899e+00,2.816573253108194841e+00
4.799999999999999822e+00,5.185018703189749445e+00,5.048256387993379057e+00,2.897909683215400989e+00
4.900000000000000355e+00,5.253554366171654166e+00,5.114249967447721090e+00,3.408223747518142055e+00
5.000000000000000000e+00,5.322906973449012646e+00,5.181202161671059514e+00,3.325099464195449883e+00
5.099999999999999645e+00,5.392090530047768837e+00,5.248692898277400154e+00,3.387276456059304497e+00
5.200000000000000178e+00,5.459969354561332366e+00,5.314097495216805633e+00,3.584489880894121683e+00
5.299999999999999822e+00,5.528397004887798616e+00,5.380668126357178060e+00,3.888601019712015106e+00
5.400000000000000355e+00,5.599748853253738723e+00,5.450467753142096861e+00,3.781655062427470071e+00
5.500000000000000000e+00,5.671148520129641213e+00,5.520456158447280437e+00,4.172706083202752048e+00
5.599999999999999645e+00,5.740274461121673610e+00,5.587892818288718644e+00,4.084721406493270202e+00
5.700000000000000178e+00,5.809528657610275815e+00,5.655331827607128936e+00,3.309679988692403985e+00
5.799999999999999822e+00,5.879679849978614925e+00,5.723635520231848517e+00,3.333295399528585889e+00
5.900000000000000355e+00,5.948460987196610539e+00,5.790679485564949935e+00,3.355474186324303609e+00
6.000000000000000000e+00,6.018373503066104746e+00,5.858564433963310947e+00,3.558912515518191100e+00
6.099999999999999645e+00,6.087853167229892115e+00,5.925747059364439906e+00,3.453974707927641052e+00
6.200000000000000178e+00,6.155567660878838332e+00,5.991058720820008787e+00,3.803905259580336651e+00
6.299999999999999822e+00,6.224199659451946864e+00,6.057774381708348699e+00,3.597216153681701112e+00
6.400000000000000355e+00,6.290780414867051640e+00,6.122528945538499912e+00,3.328111961808718267e+00
6.500000000000000000e+00,6.359152694695697328e+00,6.189837748340054624e+00,3.317421088781336902e+00
6.599999999999999645e+00,6.428181323968458649e+00,6.256653222450073493e+00,3.003477300880671663e+00
6.700000000000000178e+00,6.500154836312864504e+00,6.326513075366585248e+00,2.795193090470916353e+00
6.799999999999999822e+00,6.571355329490646824e+00,6.396095478761092856e+00,3.001321899810970528e+00
6.900000000000000355e+00,6.643883727081732360e+00,6.466250003842872296e+00,2.954182405013998647e+00
7.000000000000000000e+00,6.716275769274856700e+00,6.536387709691739545e+00,3.202809149325849258e+00
7.099999999999999645e+00,6.788894291434750983e+00,6.606775328450023466e+00,3.410698240833231143e+00
7.200000000000000178e+00,6.860558232169786663e+00,6.676751710883170432e+00,3.597698790924547030e+00
7.299999999999999822e+00,6.935394692146284790e+00,6.749482209879274386e+00,3.581715049039671417e+00
7.400000000000000355e+00,7.009516494043405821e+00,6.821439059836954755e+00,3.301689031094922289e+00
7.500000000000000000e+00,7.076590277898558767e+00,6.886596277777989883e+00,2.867155448684064467e+00
7.599999999999999645e+00,7.146741626346190479e+00,6.954687698959323150e+00,2.872752805483440142e+00
7.700000000000000178e+00,7.216501545387316696e+00,7.022197846666677457e+00,2.970040302510426944e+00
7.799999999999999822e+00,7.287803624653211187e+00,7.091500504281788686e+00,3.265940673703265684e+00
7.900000000000000355e+00,7.356399130441908518e+00,7.158408329367618173e+00,3.126072743999706027e+00
8.000000000000000000e+00,7.423662675279508960e+00,7.223679696485112878e+00,3.419633890650907393e+00
8.099999999999999645e+00,7.491898725779774892e+00,7.289818421076940780e+00,3.255672726114000604e+00
8.199999999999999289e+00,7.555527977223380098e+00,7.351890033926469670e+00,3.090331310988977176e+00
8.300000000000000711e+00,7.622328951523135387e+00,7.416311723951384494e+00,3.045936797956791953e+00
8.400000000000000355e+00,7.688939419341956238e+00,7.481166964364827976e+00,2.831231100255595212e+00
