time_ps,T_K,PE_eV,Etot_eV,P_GPa,volume_A3,density_g_cm3
5.000000000000000278e-02,6.134159046600000238e+02,-9.296064030100000082e+02,-9.143826790839999603e+02,-2.746435697000003048e-02,5.944824494928709100e+03,1.875429362176938453e+00
1.000000000000000056e-01,5.767848671399999603e+02,-9.286377602899999602e+02,-9.143231435419999116e+02,2.722553851326666718e-01,5.944824494928709100e+03,1.875429362176938453e+00
1.500000000000000222e-01,5.839679450300000099e+02,-9.285761196099999779e+02,-9.140832336099999793e+02,-1.700402190166666605e-02,5.944824494928709100e+03,1.875429362176938453e+00
2.000000000000000111e-01,6.215715191000000459e+02,-9.287309095599999864e+02,-9.133047800199999529e+02,-1.423225891366666496e-01,5.944824494928709100e+03,1.875429362176938453e+00
2.500000000000000000e-01,6.196871937500000058e+02,-9.278458039800000279e+02,-9.124664395290000130e+02,-3.194520759666667070e-02,5.944824494928709100e+03,1.875429362176938453e+00
3.000000000000000444e-01,6.485999893599999950e+02,-9.278906398300000546e+02,-9.117937191250000524e+02,-1.267712257733333292e-02,5.944824494928709100e+03,1.875429362176938453e+00
3.500000000000000333e-01,6.019359140899999829e+02,-9.265842247199999520e+02,-9.116454106009999805e+02,1.591253009066666835e-01,5.944824494928709100e+03,1.875429362176938453e+00
4.000000000000000222e-01,6.309768057300000237e+02,-9.272260871400000042e+02,-9.115665376870000500e+02,-2.527296806033332843e-01,5.944824494928709100e+03,1.875429362176938453e+00
4.500000000000000111e-01,6.493978428599999688e+02,-9.279651781500000425e+02,-9.118484563590000107e+02,2.277395869240000092e-01,5.944824494928709100e+03,1.875429362176938453e+00
5.000000000000000000e-01,6.145447874000000184e+02,-9.281245688699999619e+02,-9.128728283909999845e+02,-6.862058694566666728e-02,5.944824494928709100e+03,1.875429362176938453e+00
5.500000000000000444e-01,5.486063552699999946e+02,-9.277605117000000519e+02,-9.141452277900000354e+02,2.341288204199999667e-01,5.944824494928709100e+03,1.875429362176938453e+00
6.000000000000000888e-01,5.857709938299999521e+02,-9.291994252199999664e+02,-9.146617912489999753e+02,1.194994442599999901e-01,5.944824494928709100e+03,1.875429362176938453e+00
6.500000000000000222e-01,5.892445393100000501e+02,-9.294702288900000440e+02,-9.148463886490000050e+02,-6.876062664233333344e-01,5.944824494928709100e+03,1.875429362176938453e+00
7.000000000000000666e-01,5.834291163899999901e+02,-9.291920737200000531e+02,-9.147125603410000849e+02,3.925066521230000105e-01,5.944824494928709100e+03,1.875429362176938453e+00
7.500000000000000000e-01,5.577827266000000463e+02,-9.282454413499999646e+02,-9.144024187349999693e+02,-6.217746755466666553e-01,5.944824494928709100e+03,1.875429362176938453e+00
8.000000000000000444e-01,5.914307391300000063e+02,-9.285882228699999814e+02,-9.139101256349999858e+02,3.185650326349999673e-01,5.944824494928709100e+03,1.875429362176938453e+00
8.500000000000000888e-01,5.798422318599999699e+02,-9.277990940399999999e+02,-9.134085997739999812e+02,-2.706776860346666869e-01,5.944824494928709100e+03,1.875429362176938453e+00
9.000000000000000222e-01,6.077941191099999969e+02,-9.279984715900000083e+02,-9.129142688440000484e+02,3.894929653333333713e-02,5.944824494928709100e+03,1.875429362176938453e+00
9.500000000000000666e-01,6.549419982800000071e+02,-9.287846243000000186e+02,-9.125303079489999618e+02,2.168000301100000138e-01,5.944824494928709100e+03,1.875429362176938453e+00
1.000000000000000000e+00,6.694114607699999624e+02,-9.296275527699999657e+02,-9.130141340530000207e+02,4.119179769466667085e-01,5.944824494928709100e+03,1.875429362176938453e+00
1.050000000000000044e+00,5.884290164599999571e+02,-9.290242204600000377e+02,-9.144206198220000488e+02,1.169227366433333443e-01,5.944824494928709100e+03,1.875429362176938453e+00
1.100000000000000089e+00,5.706420535700000300e+02,-9.295561242700000548e+02,-9.153939595490001011e+02,8.036390064333339897e-03,5.944824494928709100e+03,1.875429362176938453e+00
1.150000000000000133e+00,5.740549746200000527e+02,-9.301457096899999897e+02,-9.158988432730000113e+02,-1.221303963733333386e-02,5.944824494928709100e+03,1.875429362176938453e+00
1.200000000000000178e+00,5.925213682900000549e+02,-9.308070459699999901e+02,-9.161018815579999455e+02,1.537976858432666682e-01,5.944824494928709100e+03,1.875429362176938453e+00
1.250000000000000000e+00,5.842619626299999709e+02,-9.305740150599999652e+02,-9.160738321469999619e+02,-4.700270405299999399e-01,5.944824494928709100e+03,1.875429362176938453e+00
1.300000000000000044e+00,5.860869537400000127e+02,-9.303246288200000436e+02,-9.157791533719999961e+02,7.186415252099999096e-01,5.944824494928709100e+03,1.875429362176938453e+00
1.350000000000000089e+00,5.890136494099999709e+02,-9.297277836399999842e+02,-9.151096736119999377e+02,-1.673059853999999194e-02,5.944824494928709100e+03,1.875429362176938453e+00
1.400000000000000133e+00,6.098974710600000435e+02,-9.291840810300000157e+02,-9.140476774050000586e+02,2.483798771148000017e-01,5.944824494928709100e+03,1.875429362176938453e+00
1.450000000000000178e+00,6.636632789999999886e+02,-9.297731489400000555e+02,-9.133023882980000963e+02,2.025516180763333451e-01,5.944824494928709100e+03,1.875429362176938453e+00
1.500000000000000000e+00,6.074342051999999512e+02,-9.283330131699999583e+02,-9.132577427489999309e+02,-6.461749500266666946e-02,5.944824494928709100e+03,1.875429362176938453e+00
1.550000000000000044e+00,6.358786279700000250e+02,-9.290763552099999742e+02,-9.132951525889999402e+02,2.747110474733333030e-01,5.944824494928709100e+03,1.875429362176938453e+00
1.600000000000000089e+00,6.366128995100000338e+02,-9.292682844199999863e+02,-9.134688586859999759e+02,2.860372479600000184e-01,5.944824494928709100e+03,1.875429362176938453e+00
1.650000000000000133e+00,6.135174052900000561e+02,-9.290764736800000492e+02,-9.138502307160000555e+02,8.820124670766664454e-02,5.944824494928709100e+03,1.875429362176938453e+00
1.700000000000000178e+00,5.960583157600000277e+02,-9.288477807499999699e+02,-9.140548365600000125e+02,1.039779641586666692e-01,5.944824494928709100e+03,1.875429362176938453e+00
