model,pair,period,mean,frame_SD
MACE,Li-Cl,early,3.7437641723356,0.10484432956203699
MACE,Li-Cl,late,3.665532879818594,0.04964510699263443
MACE,Li-O,early,0.08730158730158731,0.029482818446042395
MACE,Li-O,late,0.14512471655328799,0.03681229730261686
MACE,Zr-Cl,early,4.434523809523809,0.07968190728895957
MACE,Zr-Cl,late,4.442460317460318,0.09453485401870895
MACE,Zr-O,early,1.123015873015873,0.009092412093166365
MACE,Zr-O,late,1.125,0.0
MACE,Cl-Cl,early,4.45530492898914,0.19594819939068162
MACE,Cl-Cl,late,4.472013366750208,0.11395473037881447
NEP89,Li-Cl,early,4.5102040816326525,0.10502440828802023
NEP89,Li-Cl,late,4.541950113378684,0.1136651709321566
NEP89,Li-O,early,0.29478458049886624,0.03946653227548713
NEP89,Li-O,late,0.2925170068027211,0.0346204371428557
NEP89,Zr-Cl,early,4.902777777777778,0.060858061945018416
NEP89,Zr-Cl,late,4.839285714285714,0.044264267720424286
NEP89,Zr-O,early,1.1964285714285712,0.01928791874526142
NEP89,Zr-O,late,1.208333333333333,2.275280134513746e-16
NEP89,Cl-Cl,early,6.481203007518799,0.12958387225991783
NEP89,Cl-Cl,late,6.355054302422722,0.14624727685192626
