r_A,S_O,Zr_Cl
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,2.927638192219317759e+00,0.000000000000000000e+00
1.425000000000000266e+00,5.407076300859059614e+01,0.000000000000000000e+00
1.475000000000000089e+00,7.369163480614344053e+01,0.000000000000000000e+00
1.524999999999999911e+00,8.044813363737644352e+01,0.000000000000000000e+00
1.575000000000000178e+00,6.134351430582600528e+01,0.000000000000000000e+00
1.625000000000000000e+00,1.712676611375600544e+01,0.000000000000000000e+00
1.675000000000000266e+00,4.163284897819220731e+00,0.000000000000000000e+00
1.725000000000000089e+00,2.072834541407375664e+00,0.000000000000000000e+00
1.774999999999999911e+00,6.052580560678110233e-01,0.000000000000000000e+00
1.825000000000000178e+00,1.920559761421910538e-01,0.000000000000000000e+00
1.875000000000000000e+00,3.085156067741028768e-02,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00,6.412666146764209318e-02
2.275000000000000355e+00,0.000000000000000000e+00,9.759576219670154096e-01
2.325000000000000178e+00,0.000000000000000000e+00,5.295389144861655240e+00
2.375000000000000000e+00,0.000000000000000000e+00,1.167871134634419583e+01
2.425000000000000266e+00,0.000000000000000000e+00,1.257028431594094364e+01
2.475000000000000089e+00,0.000000000000000000e+00,9.939069956256236793e+00
2.525000000000000355e+00,0.000000000000000000e+00,6.767001138626461909e+00
2.575000000000000178e+00,0.000000000000000000e+00,4.154872606050250994e+00
2.625000000000000000e+00,0.000000000000000000e+00,2.979467894774642911e+00
