lag_ps,Li,Zr,Cl,S,O
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.758060497284628987e-01,4.677615042127763328e-02,1.327267329200512991e-01,4.681627539298915258e-02,9.579027877755288967e-02
2.000000000000000111e-01,3.687642423075331299e-01,1.034144029069462428e-01,2.640985117131430804e-01,8.782689962190118327e-02,1.498649828525688288e-01
3.000000000000000444e-01,4.248090748014267670e-01,1.523350369946330773e-01,3.617704801405201565e-01,1.284705784181550403e-01,2.013997849370688653e-01
4.000000000000000222e-01,4.787332663894501295e-01,2.016399591241700429e-01,4.428137831805638580e-01,1.601852414893666365e-01,2.391655187877345379e-01
5.000000000000000000e-01,5.192866594415487258e-01,2.383728814493840664e-01,4.992487318725771783e-01,1.858190102334260352e-01,2.703943496853191686e-01
6.000000000000000888e-01,5.486955846957163319e-01,2.687780459778790210e-01,5.448966523473751655e-01,2.064182417694406801e-01,2.953436982539551225e-01
7.000000000000000666e-01,5.761824960703273435e-01,2.930904612383020691e-01,5.824009398359697443e-01,2.229690165461835072e-01,3.149039940797309645e-01
8.000000000000000444e-01,6.001599065205859285e-01,3.129876263477965881e-01,6.142199066314026901e-01,2.363468799809395893e-01,3.308109085404219440e-01
9.000000000000000222e-01,6.168477067628159727e-01,3.280827511232142224e-01,6.381862570792204981e-01,2.458757761223214489e-01,3.423029177465316542e-01
1.000000000000000000e+00,6.283808694322815525e-01,3.390350418173637137e-01,6.569067970220845432e-01,2.525037684718048347e-01,3.502018194432164333e-01
1.100000000000000089e+00,6.392447941020089619e-01,3.469522224969545654e-01,6.717262394070576681e-01,2.575545673616896347e-01,3.560042941435608288e-01
1.200000000000000178e+00,6.459454788753049570e-01,3.521760926542208958e-01,6.819382995945361126e-01,2.606420782981883622e-01,3.601966356245672740e-01
1.300000000000000044e+00,6.518101053128927402e-01,3.552107835365956312e-01,6.881822746003104507e-01,2.619837403701194001e-01,3.626064144154496072e-01
1.400000000000000133e+00,6.568220137475311304e-01,3.569972135206717079e-01,6.925220821479186606e-01,2.622698253527943058e-01,3.641037649986929026e-01
1.500000000000000000e+00,6.608302365688248914e-01,3.580194829090027064e-01,6.954927954057356088e-01,2.614626163964762218e-01,3.643774082692464722e-01
1.600000000000000089e+00,6.655636638604855992e-01,3.579842228573635321e-01,6.968880876864238516e-01,2.604156622507338148e-01,3.641361946608082101e-01
1.700000000000000178e+00,6.699244309250297347e-01,3.573919129968073372e-01,6.981520588512616365e-01,2.589956135981594243e-01,3.630920858960124953e-01
1.800000000000000044e+00,6.739040765019066459e-01,3.565173595463089207e-01,6.987288937332819527e-01,2.578039567093035056e-01,3.626025942561754700e-01
1.900000000000000133e+00,6.771416161764935993e-01,3.553008723884464870e-01,6.990762583170603284e-01,2.568182108542524378e-01,3.627319755273357704e-01
2.000000000000000000e+00,6.810757288489140970e-01,3.536237186850132441e-01,6.989612622913922158e-01,2.558727000445608080e-01,3.621823405221867298e-01
2.100000000000000089e+00,6.833826011251346033e-01,3.514009494978473369e-01,6.982359797887602859e-01,2.548322813735457992e-01,3.607938695339741320e-01
2.200000000000000178e+00,6.877785444718674812e-01,3.495173239381779706e-01,6.981417766607698194e-01,2.539975994245933788e-01,3.604768448368396161e-01
2.300000000000000266e+00,6.899132213522362056e-01,3.482136588640923347e-01,6.992809572829832288e-01,2.532194773762593831e-01,3.601839511358120305e-01
2.400000000000000355e+00,6.929685546930428597e-01,3.470138624070283062e-01,7.003365635931853017e-01,2.525519094162725353e-01,3.599573973369876723e-01
2.500000000000000000e+00,6.955955104337623318e-01,3.460677293749006567e-01,7.012336887711869693e-01,2.521722737193677899e-01,3.601281919358146899e-01
2.600000000000000089e+00,6.964695962317496436e-01,3.451696063981189444e-01,7.017408050056184177e-01,2.516792518392535483e-01,3.604353913372159157e-01
2.700000000000000178e+00,7.003267738170413370e-01,3.445660030322346135e-01,7.025939554168192380e-01,2.512309757713283576e-01,3.606965739282128602e-01
2.800000000000000266e+00,7.023179224021075528e-01,3.437968122573564766e-01,7.039368819440442460e-01,2.508409191250721149e-01,3.606196738417212777e-01
2.900000000000000355e+00,7.053566266814642605e-01,3.432916456796547000e-01,7.048630520371010899e-01,2.505559414776837301e-01,3.608894485613269310e-01
3.000000000000000000e+00,7.067521555527559451e-01,3.429014237025270750e-01,7.059474437006767467e-01,2.499567514470121266e-01,3.606804740182420477e-01
3.100000000000000089e+00,7.101675030900949093e-01,3.423778023179025465e-01,7.073842220375190504e-01,2.495736694393764776e-01,3.607922770799093515e-01
3.200000000000000178e+00,7.129008846775892749e-01,3.424291634146479635e-01,7.087472550236708635e-01,2.491522858539659546e-01,3.609755583270153334e-01
3.300000000000000266e+00,7.169532257240480710e-01,3.437388206138505820e-01,7.118185077396743665e-01,2.491749866248179346e-01,3.614861747563309913e-01
3.400000000000000355e+00,7.210864247816124450e-01,3.461672636795572466e-01,7.167556212879147015e-01,2.502294219546212783e-01,3.636824958765575988e-01
3.500000000000000000e+00,7.254670478199067851e-01,3.487594080334746605e-01,7.223582558676965304e-01,2.518468250679205545e-01,3.656945967249407570e-01
3.600000000000000089e+00,7.307674800177458296e-01,3.515132356423131266e-01,7.279607459586363571e-01,2.540434737792895969e-01,3.684339959331425773e-01
3.700000000000000178e+00,7.366192371143217565e-01,3.541626779053528296e-01,7.335805522996030614e-01,2.561603319784931942e-01,3.711936900588763133e-01
3.800000000000000266e+00,7.429605721341107083e-01,3.565968469695813270e-01,7.379361520570182353e-01,2.582579480222147450e-01,3.738029839031510315e-01
3.900000000000000355e+00,7.472960243194638474e-01,3.589049757475478719e-01,7.414313358582322877e-01,2.602629787427328534e-01,3.766527414737903534e-01
4.000000000000000000e+00,7.527371499462118809e-01,3.609553509224210921e-01,7.444652439551813217e-01,2.623681017072767574e-01,3.789864977197816009e-01
4.100000000000000533e+00,7.586462054409286448e-01,3.630644628467885604e-01,7.481139598272801283e-01,2.648025606265344001e-01,3.816892445826197688e-01
