lag_ps,Li_MSD_A2
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.675324713446273761e-01
2.000000000000000111e-01,3.654409290766616469e-01
3.000000000000000444e-01,4.275338299374002449e-01
4.000000000000000222e-01,4.788965686644486852e-01
5.000000000000000000e-01,5.168546352142691092e-01
6.000000000000000888e-01,5.447820462686902010e-01
7.000000000000000666e-01,5.691127461840342905e-01
8.000000000000000444e-01,5.884469725658413308e-01
9.000000000000000222e-01,6.021601240894348672e-01
1.000000000000000000e+00,6.128574541581324198e-01
1.100000000000000089e+00,6.210102624083991829e-01
1.200000000000000178e+00,6.278604102525909836e-01
1.300000000000000044e+00,6.329869687054250349e-01
1.400000000000000133e+00,6.373031660085968220e-01
1.500000000000000000e+00,6.408322453420659537e-01
1.600000000000000089e+00,6.421010886988860467e-01
1.700000000000000178e+00,6.461324383432339724e-01
1.800000000000000044e+00,6.485045839101967191e-01
1.900000000000000133e+00,6.516772528557934763e-01
2.000000000000000000e+00,6.549640693992365703e-01
2.100000000000000089e+00,6.589611753042861064e-01
2.200000000000000178e+00,6.626957964173852966e-01
2.300000000000000266e+00,6.650614457446416550e-01
2.400000000000000355e+00,6.668571660164571702e-01
2.500000000000000000e+00,6.713934321817687234e-01
2.600000000000000089e+00,6.740157752451640949e-01
2.700000000000000178e+00,6.781238305064324345e-01
2.800000000000000266e+00,6.819119486083482506e-01
2.900000000000000355e+00,6.845865404854643010e-01
3.000000000000000000e+00,6.890271629729629588e-01
3.100000000000000089e+00,6.928599104152546317e-01
3.200000000000000178e+00,6.959246521206040592e-01
3.300000000000000266e+00,6.984063114459854171e-01
3.400000000000000355e+00,7.023689542874573810e-01
3.500000000000000000e+00,7.068508348501847394e-01
3.600000000000000089e+00,7.103215518600075606e-01
3.700000000000000178e+00,7.145559585124180435e-01
3.800000000000000266e+00,7.176991426775993776e-01
3.900000000000000355e+00,7.215947928317079096e-01
4.000000000000000000e+00,7.219626290616237840e-01
4.100000000000000533e+00,7.247344528344222825e-01
4.200000000000000178e+00,7.275262134271641701e-01
4.299999999999999822e+00,7.301714737608214767e-01
4.400000000000000355e+00,7.335037306087029974e-01
4.500000000000000000e+00,7.357460121997833058e-01
4.600000000000000533e+00,7.392511028541526308e-01
4.700000000000000178e+00,7.430234457651463398e-01
4.800000000000000711e+00,7.448600779902784241e-01
4.900000000000000355e+00,7.463883579834375004e-01
5.000000000000000000e+00,7.473748685972371186e-01
5.100000000000000533e+00,7.469524593514524913e-01
5.200000000000000178e+00,7.483711369719083795e-01
5.300000000000000711e+00,7.504013361588731668e-01
5.400000000000000355e+00,7.524776502375176701e-01
5.500000000000000000e+00,7.546489397070170746e-01
5.600000000000000533e+00,7.550803434487036725e-01
5.700000000000000178e+00,7.579486700399516996e-01
5.800000000000000711e+00,7.601328915745384496e-01
5.900000000000000355e+00,7.632820107256217401e-01
6.000000000000000000e+00,7.671406471619904854e-01
6.100000000000000533e+00,7.694055551988600028e-01
6.200000000000000178e+00,7.708858696367191232e-01
6.300000000000000711e+00,7.734285303447681059e-01
6.400000000000000355e+00,7.760100133563038183e-01
6.500000000000000000e+00,7.780557343334001397e-01
6.600000000000000533e+00,7.793165178664941406e-01
6.700000000000000178e+00,7.818323505731371581e-01
6.800000000000000711e+00,7.836484662539680013e-01
6.900000000000000355e+00,7.857321347393749766e-01
7.000000000000000000e+00,7.885541230844088645e-01
7.100000000000000533e+00,7.908049982683540424e-01
7.200000000000000178e+00,7.928179943654299899e-01
7.300000000000000711e+00,7.951271967133018981e-01
7.400000000000000355e+00,7.972895463189632048e-01
7.500000000000000000e+00,7.964270432959789092e-01
7.600000000000000533e+00,7.957457202138344954e-01
7.700000000000000178e+00,7.974688788108265092e-01
7.800000000000000711e+00,7.990565632648687355e-01
7.900000000000000355e+00,7.995525530635293476e-01
8.000000000000000000e+00,8.004038722818039853e-01
8.099999999999999645e+00,8.022557777854339989e-01
8.200000000000001066e+00,8.029159206499982826e-01
8.300000000000000711e+00,8.046814149372066849e-01
8.400000000000000355e+00,8.054481157206847541e-01
8.500000000000000000e+00,8.067561101665750023e-01
8.599999999999999645e+00,8.076629295880412007e-01
8.700000000000001066e+00,8.085125730732483085e-01
8.800000000000000711e+00,8.110040242883053141e-01
8.900000000000000355e+00,8.121178160938913315e-01
9.000000000000000000e+00,8.135650743207025748e-01
9.099999999999999645e+00,8.130998363025367937e-01
9.200000000000001066e+00,8.148623326127595323e-01
9.300000000000000711e+00,8.164189582677583434e-01
9.400000000000000355e+00,8.187916846286210637e-01
9.500000000000000000e+00,8.204914732616268580e-01
9.600000000000001421e+00,8.205021413081974302e-01
9.700000000000001066e+00,8.205294715845139475e-01
9.800000000000000711e+00,8.220779626465506418e-01
9.900000000000000355e+00,8.245604156996960699e-01
1.000000000000000000e+01,8.275261455137989941e-01
1.010000000000000142e+01,8.302561086908842869e-01
1.020000000000000107e+01,8.306639960419962554e-01
1.030000000000000071e+01,8.316036350202771210e-01
1.040000000000000036e+01,8.339065849283859855e-01
1.050000000000000000e+01,8.354357401443587294e-01
1.060000000000000142e+01,8.361169273183294282e-01
1.070000000000000107e+01,8.391536347703504317e-01
1.080000000000000071e+01,8.413940490019755636e-01
1.090000000000000036e+01,8.422192168165801851e-01
1.100000000000000000e+01,8.439357276609392722e-01
1.110000000000000142e+01,8.440002887784753272e-01
1.120000000000000107e+01,8.430179720730608395e-01
1.130000000000000071e+01,8.445796364914531784e-01
1.140000000000000036e+01,8.459261586633839425e-01
1.150000000000000000e+01,8.464464664501205604e-01
1.160000000000000142e+01,8.463422378392148060e-01
1.170000000000000107e+01,8.475590896201429247e-01
1.180000000000000071e+01,8.475360653438257508e-01
1.190000000000000036e+01,8.493113123484036242e-01
1.200000000000000000e+01,8.506439142149085919e-01
1.210000000000000142e+01,8.521088363464995874e-01
1.220000000000000107e+01,8.512023639981475265e-01
1.230000000000000071e+01,8.523666713329296485e-01
1.240000000000000036e+01,8.528677416130610034e-01
1.250000000000000000e+01,8.552894377881508081e-01
1.260000000000000142e+01,8.559026376863604346e-01
1.270000000000000107e+01,8.560531932404933375e-01
1.280000000000000071e+01,8.574178843716572240e-01
1.290000000000000036e+01,8.582830644591558089e-01
1.300000000000000000e+01,8.594925302433285008e-01
1.310000000000000142e+01,8.601783930691032642e-01
1.320000000000000107e+01,8.600506670664636033e-01
1.330000000000000071e+01,8.601747508582771040e-01
1.340000000000000036e+01,8.611833843200051852e-01
1.350000000000000000e+01,8.627829025414056607e-01
1.360000000000000142e+01,8.647365132493414208e-01
1.370000000000000107e+01,8.665769955971317495e-01
1.380000000000000071e+01,8.679484403653943136e-01
1.390000000000000036e+01,8.686637450563938767e-01
1.400000000000000000e+01,8.697894151522502781e-01
1.410000000000000142e+01,8.709670772413002915e-01
1.420000000000000107e+01,8.689630198171559572e-01
1.430000000000000071e+01,8.688503281070750761e-01
1.440000000000000036e+01,8.702904628330033754e-01
1.450000000000000000e+01,8.713877818628555927e-01
1.460000000000000142e+01,8.728259734052821184e-01
