T_K,repeat,lo_ps,hi_ps,D_cm2_s,R2,alpha,sigma_NE_mS_cm,paper_MACE_sigma_mS_cm,log_abs_error
320,1,5,20,3.239453674050166e-07,0.9898966609668443,0.26150440665826413,7.400518049057819,2.987492130728437,0.9071157212008446
320,1,10,40,2.8939183293693676e-07,0.98846971701364,0.37362789850934397,6.6111440335002625,2.987492130728437,0.7943224318717831
320,1,20,80,2.469760683154138e-07,0.9985008252107785,0.46456030879343674,5.642157706698702,2.987492130728437,0.6358322812692515
320,1,20,100,2.4255172102495307e-07,0.9985454847288948,0.49240199346494934,5.541083682270941,2.987492130728437,0.6177558089598051
320,1,20,150,2.0840638748183162e-07,0.9887353739297423,0.5040348311787113,4.761034999367453,2.987492130728437,0.4660307982609019
320,1,40,150,1.981044202108989e-07,0.9865462313427759,0.5350865433756327,4.525686998128649,2.987492130728437,0.4153351052304729
320,1,50,200,1.7879021948612875e-07,0.9932592422102005,0.5401720978193106,4.084454909484268,2.987492130728437,0.3127539991293265
330,1,5,20,1.2723440985508525e-07,0.9469403849546605,0.13734127125807616,2.8185838989184377,4.085984159122919,0.37132802420167377
330,1,10,40,9.183208990628692e-08,0.9896257456823495,0.16798534702352966,2.034327430045808,4.085984159122919,0.6973973564602708
330,1,20,80,4.9097584982979155e-08,0.9252956643465245,0.17084053104154331,1.087643371525205,4.085984159122919,1.3235493083449164
330,1,20,100,5.048237931658356e-08,0.9642329971058236,0.191131690134969,1.118320285234762,4.085984159122919,1.295734805284095
330,1,20,150,5.7111651097810316e-08,0.9873828247225306,0.2551637228280581,1.2651764597979303,4.085984159122919,1.1723510131587578
330,1,40,150,5.847734591930222e-08,0.9856486505287136,0.3075777739351763,1.2954302680175587,4.085984159122919,1.1487197262582678
330,1,50,200,6.053375203646255e-08,0.9929295827775569,0.388009214608769,1.3409851865185138,4.085984159122919,1.114158061875954
340,1,5,20,5.253984689979614e-07,0.9965983101643592,0.346950281919541,11.29666402822566,6.624332814607116,0.533757803819714
340,1,10,40,3.4211637589215627e-07,0.9810702547016714,0.361811886634861,7.355890785861513,6.624332814607116,0.10475180011349536
340,1,20,80,2.0989857970010614e-07,0.9923637942838763,0.3410454855901373,4.513057945136581,6.624332814607116,0.38377469920459434
340,1,20,100,2.1472821429244704e-07,0.9964560119274212,0.37569338051269474,4.616900576183501,6.624332814607116,0.36102605056877873
340,1,20,150,2.0452902712216606e-07,0.998015038388626,0.4217935523886623,4.397606463957794,6.624332814607116,0.40968925212555335
340,1,40,150,2.0168182758589483e-07,0.9979394547398562,0.4740470997733945,4.336388439010141,6.624332814607116,0.4237078148044171
340,1,50,200,2.352610493217672e-07,0.9812797434280573,0.5936660729721246,5.058379858214133,6.624332814607116,0.26970341366669404
350,1,5,20,3.8893210200910045e-07,0.9745038171593333,0.2619089734307041,8.123554028583815,8.246361916338557,0.015004376583372728
350,1,10,40,2.3344670091760536e-07,0.9911381940302029,0.257534473231625,4.875958754503737,8.246361916338557,0.5254553705448508
350,1,20,80,2.3112390072365302e-07,0.9989475126205756,0.3970847606534163,4.827442849604904,8.246361916338557,0.5354552265057082
350,1,20,100,2.2477481891630902e-07,0.9987913299826183,0.42209665341990354,4.694830733434944,8.246361916338557,0.5633100637548362
350,1,20,150,2.2035664508818923e-07,0.9985129346303963,0.4769568013121835,4.602549140799615,8.246361916338557,0.58316181220072
350,1,40,150,2.182479643932e-07,0.9977902948220796,0.5356564973294616,4.5585055109056345,8.246361916338557,0.5927772922769348
350,1,50,200,1.8624362747294662e-07,0.9834965593311417,0.5350140859391443,3.890036750477639,8.246361916338557,0.7513535182393503
320,2,5,20,1.3957844713155548e-07,0.9919148943098505,0.14264687162172554,3.1886636488463105,2.987492130728437,0.0651676269804147
320,2,10,40,7.313289796299232e-08,0.9250546387203764,0.1420671232215452,1.6707179228723466,2.987492130728437,0.5811808552020878
320,2,20,80,1.9607075640449224e-08,0.768302966075408,0.07345533248413595,0.4479228035540024,2.987492130728437,1.8975686580987232
320,2,20,100,1.4381904531771932e-08,0.7350856487251621,0.06350294115730007,0.3285539932853394,2.987492130728437,2.2074883746306977
320,2,20,150,1.2885194782525739e-08,0.8835896543370434,0.069366037230363,0.29436172314353853,2.987492130728437,2.3173802002647905
320,2,40,150,1.0818350105051721e-08,0.8810145599461556,0.06563152642301924,0.24714474497597647,2.987492130728437,2.492215385132046
320,2,50,200,2.2424268303530047e-08,0.881953361240396,0.16200589939609125,0.5122814493275553,2.987492130728437,1.7633153824459542
330,2,5,20,1.7849998490718662e-07,0.9773348274375404,0.14164201495945913,3.954254073167864,4.085984159122919,0.03277063958691624
330,2,10,40,1.0724970732209254e-07,0.8950601581473794,0.1631443422778747,2.375869063770275,4.085984159122919,0.5421993273801654
330,2,20,80,6.766987120909734e-08,0.9816256778747141,0.17085089112698754,1.499069392069986,4.085984159122919,1.0027181092307849
330,2,20,100,5.7875487406520586e-08,0.9645696492994308,0.17048694083596536,1.2820974855141039,4.085984159122919,1.1590652221711555
330,2,20,150,3.7434545305265004e-08,0.8882911150822392,0.15031551064041587,0.8292757185805868,4.085984159122919,1.5947652068905749
330,2,40,150,2.9958733884224994e-08,0.8598433880868799,0.14185196837305283,0.6636664173963147,4.085984159122919,1.8175382587031073
330,2,50,200,3.037154915057126e-08,0.8831064115567405,0.16267666067477918,0.6728113842671206,4.085984159122919,1.8038528692578653
340,2,5,20,3.1294352456581845e-07,0.9975050732086324,0.239605268851435,6.728641336871791,6.624332814607116,0.01562358210985899
340,2,10,40,2.581664779005705e-07,0.994602531499522,0.32846380894100136,5.550872597240867,6.624332814607116,0.1767945194439428
340,2,20,80,2.1623351057924904e-07,0.9980999146947281,0.42006138523210645,4.6492661566302225,6.624332814607116,0.35404026820525997
340,2,20,100,2.203729303113419e-07,0.9989034142505927,0.45722766544052124,4.738268383976726,6.624332814607116,0.335077910446554
340,2,20,150,1.9201147016820255e-07,0.9882422542706469,0.4776323514568299,4.1284647673084,6.624332814607116,0.4728440487505116
340,2,40,150,1.8346524968167336e-07,0.984600749033911,0.5133756683942997,3.9447113168432937,6.624332814607116,0.5183738849241347
340,2,50,200,1.8347137391671318e-07,0.9889712194560774,0.5603456112047466,3.9448429948548536,6.624332814607116,0.5183405045818821
350,2,5,20,1.7342505569274343e-07,0.9658628941281285,0.1435651467575006,3.622297574699025,8.246361916338557,0.8226636095975502
350,2,10,40,6.98392932007639e-08,0.899278250397387,0.10881676882597327,1.4587206062543967,8.246361916338557,1.7322123687871616
350,2,20,80,1.830752550589195e-08,0.8189153900392657,0.05442147299058531,0.38238595325131997,8.246361916338557,3.071096954857598
350,2,20,100,1.4108617395851621e-08,0.7825650313172376,0.049358324121024935,0.29468412376290903,8.246361916338557,3.3316233864767844
350,2,20,150,1.292059681044978e-08,0.85437185519488,0.05681699208612789,0.26987015401670433,8.246361916338557,3.4195864699564478
350,2,40,150,1.092197236460545e-08,0.7924884252578813,0.05594148142403308,0.2281252489682522,8.246361916338557,3.5876325865269316
350,2,50,200,6.890022276529353e-09,0.6631580493127465,0.04871317535572586,0.1439106412980603,8.246361916338557,4.048334841814715
