lag_ps,Li_MSD_A2
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.330856575340647718e-01
2.000000000000000111e-01,4.778487324242937095e-01
3.000000000000000444e-01,5.604962275471357946e-01
4.000000000000000222e-01,6.296303021900990782e-01
5.000000000000000000e-01,6.803284449488183894e-01
6.000000000000000888e-01,7.235548507376943217e-01
7.000000000000000666e-01,7.570623713136376276e-01
8.000000000000000444e-01,7.902924364096216570e-01
9.000000000000000222e-01,8.177161541256907640e-01
1.000000000000000000e+00,8.438298532967807297e-01
1.100000000000000089e+00,8.618415739327659475e-01
1.200000000000000178e+00,8.790473799047072712e-01
1.300000000000000044e+00,8.980298962038972821e-01
1.400000000000000133e+00,9.166564344003422793e-01
1.500000000000000000e+00,9.352766203552206337e-01
1.600000000000000089e+00,9.554210833688550064e-01
1.700000000000000178e+00,9.745146845530374691e-01
1.800000000000000044e+00,9.945308962654971774e-01
1.900000000000000133e+00,1.013015987337560375e+00
2.000000000000000000e+00,1.029997961372405513e+00
2.100000000000000089e+00,1.048881132190438548e+00
2.200000000000000178e+00,1.066354812692489773e+00
2.300000000000000266e+00,1.083943871959485161e+00
2.400000000000000355e+00,1.100365787208297252e+00
2.500000000000000000e+00,1.116293626241813719e+00
2.600000000000000089e+00,1.130896683170731221e+00
2.700000000000000178e+00,1.146006129756753644e+00
2.800000000000000266e+00,1.159714144766196720e+00
2.900000000000000355e+00,1.174907747297848415e+00
3.000000000000000000e+00,1.189104087253493924e+00
3.100000000000000089e+00,1.204265093003404230e+00
3.200000000000000178e+00,1.219516572563987156e+00
3.300000000000000266e+00,1.234732552012436591e+00
3.400000000000000355e+00,1.247876899887961244e+00
3.500000000000000000e+00,1.260787221394238156e+00
3.600000000000000089e+00,1.275755772760240436e+00
3.700000000000000178e+00,1.290001659183624083e+00
3.800000000000000266e+00,1.303966105856448010e+00
3.900000000000000355e+00,1.317015209636884121e+00
4.000000000000000000e+00,1.327368451970459606e+00
4.100000000000000533e+00,1.339200663112134038e+00
4.200000000000000178e+00,1.349579314720377399e+00
4.299999999999999822e+00,1.359902646763653022e+00
4.400000000000000355e+00,1.370240493782199254e+00
4.500000000000000000e+00,1.382515210518163506e+00
4.600000000000000533e+00,1.392552908857619176e+00
