lag_ps,Li_A2,P_A2,S_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.477173795836169812e-01,8.561079069973169531e-02,1.465577904250035257e-01
2.000000000000000111e-01,4.567885275231727826e-01,1.348647869332357807e-01,2.258632267230747948e-01
3.000000000000000444e-01,5.152322193772823633e-01,1.454291036811321547e-01,2.306256872738487729e-01
4.000000000000000222e-01,5.432163617139442735e-01,1.486054225647016336e-01,2.363596530208163515e-01
5.000000000000000000e-01,5.659582938440103073e-01,1.459786943933640280e-01,2.348396226451037738e-01
6.000000000000000888e-01,5.808713331606514263e-01,1.409321341690362717e-01,2.298725258719346853e-01
7.000000000000000666e-01,5.966014275926830868e-01,1.407336137131895426e-01,2.297397022510420661e-01
8.000000000000000444e-01,6.109291734524914252e-01,1.390293768328140223e-01,2.296404677173398690e-01
9.000000000000000222e-01,6.235464097838265829e-01,1.364558649436673210e-01,2.279460512454074828e-01
1.000000000000000000e+00,6.354934596373192912e-01,1.343790964884165884e-01,2.265364672792502532e-01
1.100000000000000089e+00,6.463425287611563874e-01,1.329912033591142406e-01,2.257911856534740302e-01
1.200000000000000178e+00,6.577835177476702988e-01,1.337670727549581662e-01,2.269136025183963457e-01
1.300000000000000044e+00,6.705845294038200732e-01,1.360966671006487161e-01,2.297657458714109646e-01
1.400000000000000133e+00,6.831741142340140849e-01,1.386590274214020979e-01,2.331820762949095849e-01
1.500000000000000000e+00,6.944749819999322948e-01,1.407841362301405219e-01,2.353225055966494672e-01
1.600000000000000089e+00,7.066463599100700765e-01,1.427395653631306771e-01,2.377947513711632377e-01
1.700000000000000178e+00,7.180416666607060128e-01,1.435616321204441492e-01,2.400887499440319539e-01
1.800000000000000044e+00,7.275174071449924673e-01,1.445275123303716158e-01,2.417683924566861042e-01
1.900000000000000133e+00,7.359274424074776499e-01,1.444272996373012208e-01,2.418769093035774420e-01
2.000000000000000000e+00,7.431963123617536526e-01,1.431050212860069393e-01,2.405346618954432580e-01
2.100000000000000089e+00,7.487057521590325671e-01,1.412498042396554965e-01,2.391580795482220467e-01
2.200000000000000178e+00,7.550766247216507132e-01,1.404178719813791443e-01,2.383605389381146522e-01
2.300000000000000266e+00,7.627265157348596114e-01,1.405198241536089465e-01,2.388911188977128341e-01
2.400000000000000355e+00,7.723383944474726537e-01,1.412867697934987454e-01,2.397497841343775027e-01
2.500000000000000000e+00,7.807796287373544031e-01,1.425785672571862339e-01,2.409398334818248777e-01
2.600000000000000089e+00,7.916988974662494405e-01,1.440857440536469081e-01,2.432158731157830489e-01
2.700000000000000178e+00,8.001871163958363953e-01,1.453752264516625370e-01,2.448476799537111781e-01
2.800000000000000266e+00,8.087919146081661292e-01,1.456885672702017964e-01,2.455004449848911530e-01
2.900000000000000355e+00,8.154186297202924427e-01,1.454177650572050229e-01,2.458230966174919652e-01
3.000000000000000000e+00,8.208102830085325374e-01,1.453041109862585334e-01,2.459328628901698566e-01
3.100000000000000089e+00,8.261636346889014160e-01,1.452259196856263979e-01,2.459055111396483972e-01
3.200000000000000178e+00,8.332560689326757863e-01,1.452650650803093690e-01,2.464430173145024938e-01
3.300000000000000266e+00,8.399400620196292300e-01,1.454142019194013813e-01,2.469441536147083671e-01
3.400000000000000355e+00,8.456014514407133031e-01,1.457426715965878250e-01,2.473475693973919975e-01
3.500000000000000000e+00,8.515703904489229092e-01,1.462477134832279035e-01,2.478651825995463187e-01
3.600000000000000089e+00,8.581016748237382252e-01,1.467475081247028024e-01,2.487005507118101033e-01
3.700000000000000178e+00,8.654218070701739096e-01,1.473082503348416838e-01,2.498109785509843583e-01
3.800000000000000266e+00,8.713671425420249639e-01,1.474682354725972699e-01,2.502309475355364854e-01
3.900000000000000355e+00,8.760908853918863981e-01,1.469332840851376443e-01,2.498747471501799322e-01
4.000000000000000000e+00,8.819536118169065686e-01,1.467649619298345420e-01,2.500828608689620869e-01
4.100000000000000533e+00,8.883399745940712133e-01,1.469082671095255921e-01,2.501913723296105840e-01
4.200000000000000178e+00,8.932444620870212404e-01,1.469183659864861657e-01,2.502792481565274119e-01
4.299999999999999822e+00,8.987784884651349726e-01,1.467744013697206418e-01,2.501895910817338864e-01
4.400000000000000355e+00,9.039927295805436636e-01,1.471734236808776575e-01,2.510908690782449604e-01
4.500000000000000000e+00,9.096316701192795895e-01,1.474454034940167468e-01,2.515291451173090609e-01
4.600000000000000533e+00,9.146830772507272833e-01,1.476310652426681136e-01,2.519616793732488702e-01
4.700000000000000178e+00,9.195086698621617316e-01,1.483043877448797787e-01,2.528087948067260227e-01
4.800000000000000711e+00,9.239459040280951774e-01,1.480734269658588176e-01,2.529757558592025668e-01
4.900000000000000355e+00,9.281412739709472559e-01,1.474544676252466657e-01,2.523963156733870505e-01
5.000000000000000000e+00,9.321888799725536190e-01,1.479895013498928324e-01,2.529937454791938434e-01
5.100000000000000533e+00,9.362807844803257007e-01,1.482811230705945171e-01,2.532804590665130862e-01
5.200000000000000178e+00,9.382773348693617121e-01,1.478733320973844023e-01,2.526624959871116571e-01
5.300000000000000711e+00,9.424302664097414794e-01,1.476713498589502516e-01,2.527122110356733731e-01
5.400000000000000355e+00,9.476724955157994623e-01,1.481244517091008239e-01,2.529646580215516027e-01
5.500000000000000000e+00,9.522310959182013201e-01,1.483221085232316605e-01,2.536862752924671782e-01
5.600000000000000533e+00,9.579417556660443367e-01,1.489804235945738631e-01,2.551538577814947972e-01
5.700000000000000178e+00,9.638163106056523155e-01,1.502553229844933169e-01,2.563407597889750811e-01
5.800000000000000711e+00,9.681913135821472727e-01,1.504166649730952487e-01,2.570036165966341213e-01
5.900000000000000355e+00,9.721317255947342639e-01,1.498090542720839913e-01,2.566083806697659342e-01
6.000000000000000000e+00,9.760825804414365869e-01,1.495407651026766649e-01,2.565998207660856179e-01
6.100000000000000533e+00,9.812757407054428782e-01,1.498827520892920540e-01,2.569986664404240728e-01
6.200000000000000178e+00,9.848332473504277651e-01,1.498631158031281108e-01,2.570290189831228034e-01
6.300000000000000711e+00,9.884111672283323324e-01,1.498776486547440667e-01,2.568627776250645978e-01
6.400000000000000355e+00,9.930166321709801291e-01,1.507376032785034403e-01,2.577834054588966639e-01
6.500000000000000000e+00,9.977609217883384174e-01,1.514616582203489603e-01,2.590529944362924830e-01
6.600000000000000533e+00,1.002438258111129077e+00,1.514489835820052865e-01,2.588352395160577468e-01
6.700000000000000178e+00,1.005132889566553445e+00,1.512774125031545180e-01,2.586115967966300944e-01
6.800000000000000711e+00,1.010136095662228284e+00,1.511865213725246682e-01,2.588443681408456598e-01
6.900000000000000355e+00,1.012772214188877751e+00,1.506061858857374591e-01,2.583100989652563628e-01
7.000000000000000000e+00,1.016490194412653203e+00,1.504753416041847702e-01,2.582701527548988407e-01
7.100000000000000533e+00,1.019362075632411990e+00,1.504617001611044669e-01,2.581533862851400629e-01
7.200000000000000178e+00,1.022959581804422369e+00,1.500821838461148250e-01,2.578967847082977438e-01
7.300000000000000711e+00,1.028653126310675292e+00,1.504953720079718060e-01,2.585925164679119259e-01
7.400000000000000355e+00,1.033309380573085523e+00,1.516860121538438078e-01,2.601869724358749081e-01
7.500000000000000000e+00,1.037424313578691359e+00,1.523904333540846701e-01,2.612175244988472200e-01
7.600000000000000533e+00,1.042594697871711551e+00,1.528814896732502149e-01,2.618422541851514462e-01
7.700000000000000178e+00,1.046552472644794562e+00,1.528749157772983924e-01,2.619967795485069195e-01
