angle_deg,S_P_S_density
6.100000000000000000e+01,0.000000000000000000e+00
6.300000000000000000e+01,0.000000000000000000e+00
6.500000000000000000e+01,0.000000000000000000e+00
6.700000000000000000e+01,0.000000000000000000e+00
6.900000000000000000e+01,0.000000000000000000e+00
7.100000000000000000e+01,0.000000000000000000e+00
7.300000000000000000e+01,0.000000000000000000e+00
7.500000000000000000e+01,0.000000000000000000e+00
7.700000000000000000e+01,0.000000000000000000e+00
7.900000000000000000e+01,6.515506906437320720e-05
8.100000000000000000e+01,0.000000000000000000e+00
8.300000000000000000e+01,6.515506906437320720e-05
8.500000000000000000e+01,6.515506906437320720e-05
8.700000000000000000e+01,3.257753453218660360e-04
8.900000000000000000e+01,8.470158978368517479e-04
9.100000000000000000e+01,1.954652071931196108e-03
9.300000000000000000e+01,3.192598384154286990e-03
9.500000000000000000e+01,5.863956215793588757e-03
9.700000000000000000e+01,1.205368777690904274e-02
9.900000000000000000e+01,1.791764399270263236e-02
1.010000000000000000e+02,2.482408131352619243e-02
1.030000000000000000e+02,4.176439927026322912e-02
1.050000000000000000e+02,4.678133958821996397e-02
1.070000000000000000e+02,5.648944487881157189e-02
1.090000000000000000e+02,5.609851446442533363e-02
1.110000000000000000e+02,5.837894188167839365e-02
1.130000000000000000e+02,5.192859004430544489e-02
1.150000000000000000e+02,4.358874120406567437e-02
1.170000000000000000e+02,2.853792025019546638e-02
1.190000000000000000e+02,2.013291634089132282e-02
1.210000000000000000e+02,1.387802971071149319e-02
1.230000000000000000e+02,8.274693771175397478e-03
1.250000000000000000e+02,3.909304143862392215e-03
1.270000000000000000e+02,1.824341933802449802e-03
1.290000000000000000e+02,9.773260359655980539e-04
1.310000000000000000e+02,1.954652071931196216e-04
1.330000000000000000e+02,6.515506906437320720e-05
1.350000000000000000e+02,0.000000000000000000e+00
1.370000000000000000e+02,0.000000000000000000e+00
1.390000000000000000e+02,0.000000000000000000e+00
1.410000000000000000e+02,0.000000000000000000e+00
1.430000000000000000e+02,0.000000000000000000e+00
1.450000000000000000e+02,0.000000000000000000e+00
1.470000000000000000e+02,0.000000000000000000e+00
1.490000000000000000e+02,0.000000000000000000e+00
1.510000000000000000e+02,0.000000000000000000e+00
1.530000000000000000e+02,0.000000000000000000e+00
1.550000000000000000e+02,0.000000000000000000e+00
1.570000000000000000e+02,0.000000000000000000e+00
1.590000000000000000e+02,0.000000000000000000e+00
1.610000000000000000e+02,0.000000000000000000e+00
1.630000000000000000e+02,0.000000000000000000e+00
1.650000000000000000e+02,0.000000000000000000e+00
1.670000000000000000e+02,0.000000000000000000e+00
1.690000000000000000e+02,0.000000000000000000e+00
1.710000000000000000e+02,0.000000000000000000e+00
1.730000000000000000e+02,0.000000000000000000e+00
1.750000000000000000e+02,0.000000000000000000e+00
1.770000000000000000e+02,0.000000000000000000e+00
1.790000000000000000e+02,0.000000000000000000e+00
