angle_deg,S_P_S_density
6.100000000000000000e+01,0.000000000000000000e+00
6.300000000000000000e+01,0.000000000000000000e+00
6.500000000000000000e+01,0.000000000000000000e+00
6.700000000000000000e+01,0.000000000000000000e+00
6.900000000000000000e+01,0.000000000000000000e+00
7.100000000000000000e+01,0.000000000000000000e+00
7.300000000000000000e+01,0.000000000000000000e+00
7.500000000000000000e+01,0.000000000000000000e+00
7.700000000000000000e+01,0.000000000000000000e+00
7.900000000000000000e+01,0.000000000000000000e+00
8.100000000000000000e+01,0.000000000000000000e+00
8.300000000000000000e+01,0.000000000000000000e+00
8.500000000000000000e+01,1.303101381287464144e-04
8.700000000000000000e+01,1.303101381287464144e-04
8.900000000000000000e+01,5.863956215793589190e-04
9.100000000000000000e+01,1.498566588480583711e-03
9.300000000000000000e+01,2.475892624446181765e-03
9.500000000000000000e+01,5.407870732342976577e-03
9.700000000000000000e+01,1.159760229345843142e-02
9.900000000000000000e+01,1.843888454521761672e-02
1.010000000000000000e+02,2.769090435235861333e-02
1.030000000000000000e+02,3.902788636955955431e-02
1.050000000000000000e+02,4.775866562418556310e-02
1.070000000000000000e+02,5.870471722700026235e-02
1.090000000000000000e+02,5.785770132916340930e-02
1.110000000000000000e+02,5.525149856658848058e-02
1.130000000000000000e+02,5.440448266875162753e-02
1.150000000000000000e+02,4.143862392494136043e-02
1.170000000000000000e+02,3.016679697680479597e-02
1.190000000000000000e+02,2.202241334375814458e-02
1.210000000000000000e+02,1.192337763878029665e-02
1.230000000000000000e+02,6.515506906437320937e-03
1.250000000000000000e+02,3.583528798540526559e-03
1.270000000000000000e+02,1.954652071931196108e-03
1.290000000000000000e+02,7.167057597081053335e-04
1.310000000000000000e+02,3.909304143862392432e-04
1.330000000000000000e+02,1.954652071931196216e-04
1.350000000000000000e+02,1.303101381287464144e-04
1.370000000000000000e+02,0.000000000000000000e+00
1.390000000000000000e+02,0.000000000000000000e+00
1.410000000000000000e+02,0.000000000000000000e+00
1.430000000000000000e+02,0.000000000000000000e+00
1.450000000000000000e+02,0.000000000000000000e+00
1.470000000000000000e+02,0.000000000000000000e+00
1.490000000000000000e+02,0.000000000000000000e+00
1.510000000000000000e+02,0.000000000000000000e+00
1.530000000000000000e+02,0.000000000000000000e+00
1.550000000000000000e+02,0.000000000000000000e+00
1.570000000000000000e+02,0.000000000000000000e+00
1.590000000000000000e+02,0.000000000000000000e+00
1.610000000000000000e+02,0.000000000000000000e+00
1.630000000000000000e+02,0.000000000000000000e+00
1.650000000000000000e+02,0.000000000000000000e+00
1.670000000000000000e+02,0.000000000000000000e+00
1.690000000000000000e+02,0.000000000000000000e+00
1.710000000000000000e+02,0.000000000000000000e+00
1.730000000000000000e+02,0.000000000000000000e+00
1.750000000000000000e+02,0.000000000000000000e+00
1.770000000000000000e+02,0.000000000000000000e+00
1.790000000000000000e+02,0.000000000000000000e+00
