r_A,lag_1ps_A-1,lag_5ps_A-1,lag_10ps_A-1,lag_50ps_A-1
2.500000000000000139e-02,5.231876778838105008e-03,4.004356740133265154e-03,1.917850254252148005e-03,1.110370863868532110e-03
7.500000000000001110e-02,3.683241252302026092e-02,2.610840594566888814e-02,1.890452393477117313e-02,6.454030646235842973e-03
1.250000000000000000e-01,9.903942742340528238e-02,6.583162480779085335e-02,5.293266701735926255e-02,1.950088829669108931e-02
1.750000000000000167e-01,1.925853842290306817e-01,1.263774987186058740e-01,9.468700683850607425e-02,3.546246946480124951e-02
2.250000000000000056e-01,2.929327808471455796e-01,1.974948744233726572e-01,1.575376994564264832e-01,5.378358871863203605e-02
2.750000000000000222e-01,4.027498744349569115e-01,2.722428669058600259e-01,2.150732070839906918e-01,7.855873861869856756e-02
3.250000000000000666e-01,5.150259501088232383e-01,3.516893046301042824e-01,2.731566719270560051e-01,1.088163446591161737e-01
3.750000000000000000e-01,6.175184162062616888e-01,4.288933025798736254e-01,3.351306330001754263e-01,1.283172329558072700e-01
4.250000000000000444e-01,7.150405993638039304e-01,4.978216299333675932e-01,3.911318604243381736e-01,1.459443704197202207e-01
4.749999999999999778e-01,7.937280261175290175e-01,5.542563642576457950e-01,4.405028055409434540e-01,1.699561403508772217e-01
5.250000000000000222e-01,8.440063619621622770e-01,6.063663933025793540e-01,4.897641592144481582e-01,1.891100377526092058e-01
5.750000000000000666e-01,8.842394943914273497e-01,6.424589953869804804e-01,5.155729440645269168e-01,1.930657339551408447e-01
6.250000000000000000e-01,8.936045538255494858e-01,6.534576285665478768e-01,5.262033140452400115e-01,2.110398623140131713e-01
6.750000000000000444e-01,8.918780344885309797e-01,6.719844524175629941e-01,5.363405225320002634e-01,2.194370419720184651e-01
7.250000000000000888e-01,8.907793403649769681e-01,6.522296258329071117e-01,5.344226722777493110e-01,2.098600932711528477e-01
7.750000000000000222e-01,8.490289636698469256e-01,6.468904835127279318e-01,5.364501139751003400e-01,2.106928714190537955e-01
8.250000000000000666e-01,8.170098777833576520e-01,6.356782846403548071e-01,5.173812028756790138e-01,2.166611148123471220e-01
8.750000000000000000e-01,7.563724259166259012e-01,6.072740474970108604e-01,4.931066982290029377e-01,2.010465245391963585e-01
9.250000000000000444e-01,7.148836430604380565e-01,5.687788313685284702e-01,4.801749079431874012e-01,1.959110592938039519e-01
9.750000000000000888e-01,6.626695128076353081e-01,5.421899026140447608e-01,4.574894792214630468e-01,1.841133688652012435e-01
1.024999999999999911e+00,6.218608739326966228e-01,5.109559200410040969e-01,4.296532526740308167e-01,1.774511436819896371e-01
1.075000000000000178e+00,5.630022601707679319e-01,4.896527421834951932e-01,4.015430475188493942e-01,1.656534532533864845e-01
1.125000000000000000e+00,5.301460739996647353e-01,4.436827268067653485e-01,3.816522005961771047e-01,1.576032644903396229e-01
1.175000000000000266e+00,4.811233885819516387e-01,4.111673500768832645e-01,3.555694371383479324e-01,1.424050632911391112e-01
1.225000000000000089e+00,4.380127239243276627e-01,3.921600034170524829e-01,3.367745046466784076e-01,1.372695980457477594e-01
1.274999999999999911e+00,3.936464088397786387e-01,3.552131385614211712e-01,3.035135016657896645e-01,1.253331112591604679e-01
1.325000000000000178e+00,3.642955801104969527e-01,3.310802152742180482e-01,2.900337541644745776e-01,1.170053297801464665e-01
1.375000000000000000e+00,3.339506947932359138e-01,3.126601742696050734e-01,2.709648430650532513e-01,1.159643570952697128e-01
1.425000000000000266e+00,3.105642055918296229e-01,2.846830685118739712e-01,2.511835875854810940e-01,1.102043082389517065e-01
1.475000000000000089e+00,2.874916289971549133e-01,2.728835639842825400e-01,2.387997545151682999e-01,1.022235176548970947e-01
1.524999999999999911e+00,2.623263016909423428e-01,2.556915257133091646e-01,2.300872347887074898e-01,9.632467244059507439e-02
1.575000000000000178e+00,2.377887995981916303e-01,2.429309755680845173e-01,2.099224092582849255e-01,8.806628914057287871e-02
1.625000000000000000e+00,2.239243261342706848e-01,2.309712967708865416e-01,2.034565141153776846e-01,8.862147457250714455e-02
1.675000000000000266e+00,2.016365310564203761e-01,2.146869126943445893e-01,1.951823601613184578e-01,8.154286031534524470e-02
1.725000000000000089e+00,1.880859701992305399e-01,2.061976764052629862e-01,1.783052779239003294e-01,7.994670219853459991e-02
1.774999999999999911e+00,1.740122216641552255e-01,1.962134802665298217e-01,1.707434683499910733e-01,7.661558960692865794e-02
1.825000000000000178e+00,1.708730955968523479e-01,1.876708525542455375e-01,1.632364544976326881e-01,7.501943149011763845e-02
1.875000000000000000e+00,1.598861543612923597e-01,1.816376217324447429e-01,1.601678940908292381e-01,7.279868976238057510e-02
1.925000000000000266e+00,1.435626988113174740e-01,1.798223133435843391e-01,1.590719796598280278e-01,7.092493892960242963e-02
1.975000000000000089e+00,1.299075004185505922e-01,1.639650606526573406e-01,1.538115903910227955e-01,7.300688429935625612e-02
2.025000000000000355e+00,1.295412690440307935e-01,1.604946181445404130e-01,1.486607925653156970e-01,7.023095713968427467e-02
2.075000000000000178e+00,1.187636028796253962e-01,1.562233042883996725e-01,1.448250920568127098e-01,6.835720630690673982e-02
2.125000000000000000e+00,1.111773815503101226e-01,1.461857167264655755e-01,1.418113273715593259e-01,6.995336442371777319e-02
2.174999999999999822e+00,1.035388414532055490e-01,1.507773791218170734e-01,1.434551990180599201e-01,7.550521874305977932e-02
2.225000000000000089e+00,9.898710865561728689e-02,1.397253545190505764e-01,1.410441872698584564e-01,7.141072618254522275e-02
2.275000000000000355e+00,9.187175623639662336e-02,1.396719630958475344e-01,1.397838856742058267e-01,8.140406395736132783e-02
2.325000000000000178e+00,8.554118533400331681e-02,1.344396036220746327e-01,1.395099070664567453e-01,7.987730401954280801e-02
2.375000000000000000e+00,8.135568391093209173e-02,1.374829147445746913e-01,1.392907241802552598e-01,8.043248945147636608e-02
2.425000000000000266e+00,7.481583793738516563e-02,1.350803007004959533e-01,1.337015605821502140e-01,8.348600932711554290e-02
2.475000000000000089e+00,7.068265528210304627e-02,1.329980351956266404e-01,1.403866386112577191e-01,8.522096380191014620e-02
2.525000000000000355e+00,6.770048551816471027e-02,1.255766273705785363e-01,1.383591969139042199e-01,9.236897623806301916e-02
2.575000000000000178e+00,6.314875272057615674e-02,1.277656757218524897e-01,1.438387690689116039e-01,1.017377304019546208e-01
2.625000000000000000e+00,5.974803281433084534e-02,1.207180078592168526e-01,1.451538663861118017e-01,1.018071285809454968e-01
2.675000000000000266e+00,5.509166248116544040e-02,1.193298308559717219e-01,1.377016482553047316e-01,1.101349100599604142e-01
2.725000000000000089e+00,5.038297338021113098e-02,1.205044421664108190e-01,1.383044011923554029e-01,1.142988007994674288e-01
2.775000000000000355e+00,5.027833584463391875e-02,1.150051255766267461e-01,1.401674557250562614e-01,1.213774150566282600e-01
2.825000000000000178e+00,4.745312238406178273e-02,1.177280881599184204e-01,1.368249167105037301e-01,1.234593604263828359e-01
2.875000000000000000e+00,4.326762096099089766e-02,1.161263454638640641e-01,1.410441872698572074e-01,1.209610259826775641e-01
2.925000000000000266e+00,3.808806294994153407e-02,1.194366137023752800e-01,1.470169209188151860e-01,1.356734399289367399e-01
2.975000000000000089e+00,3.275154863552665052e-02,1.093456347172394177e-01,1.446607048921625394e-01,1.361592271818792277e-01
3.025000000000000355e+00,3.636154361292463083e-02,1.120152058773272591e-01,1.442223391197607618e-01,1.428214523650891965e-01
3.075000000000000178e+00,3.086807299514492814e-02,1.099863317956607384e-01,1.442223391197620386e-01,1.539945591827676097e-01
3.125000000000000000e+00,2.814749707014885249e-02,1.041666666666661023e-01,1.436195861827100906e-01,1.541333555407497780e-01
3.175000000000000266e+00,2.647329650092090578e-02,1.029386639330261699e-01,1.424140803086099971e-01,1.495530757272934552e-01
3.225000000000000089e+00,2.589779005524870878e-02,1.003758756193408597e-01,1.469073294757150538e-01,1.571868754163896209e-01
3.275000000000000355e+00,2.328185166582944290e-02,9.797326157526002610e-02,1.401126600035061953e-01,1.590606262491663647e-01
3.325000000000000178e+00,2.234011384563878988e-02,9.637151887920759885e-02,1.410989829914085225e-01,1.663474350433050419e-01
3.375000000000000000e+00,1.946258161727764530e-02,9.845378438407602351e-02,1.390715412940550233e-01,1.641266933155665075e-01
3.425000000000000266e+00,1.768374351247285758e-02,9.188663933025831287e-02,1.361125723303529267e-01,1.713441039307134761e-01
3.475000000000000089e+00,1.658504938891685113e-02,9.172646506065298966e-02,1.358385937226026241e-01,1.675966022651571574e-01
3.525000000000000355e+00,1.501548635526528050e-02,8.777549974372070296e-02,1.301946344029451252e-01,1.739812347323996811e-01
3.575000000000000178e+00,1.491084881968865114e-02,8.174226892192067162e-02,1.281123969840439469e-01,1.769653564290479264e-01
3.625000000000000000e+00,1.328896701824871553e-02,7.586921236972452021e-02,1.281671927055928750e-01,1.779369309349313200e-01
3.675000000000000266e+00,1.187636028796253997e-02,7.517512386810210057e-02,1.229068034367881007e-01,1.735648456584505395e-01
3.725000000000000089e+00,1.355056085719073822e-02,7.058346147274927040e-02,1.203862002454852559e-01,1.737730401954258874e-01
3.775000000000000355e+00,1.014984095094586918e-02,7.031650435673975075e-02,1.099202174294225259e-01,1.748140128803010729e-01
3.825000000000000178e+00,9.940565879792435250e-03,6.882154450709061788e-02,1.124956163422763944e-01,1.755079946702204907e-01
3.875000000000000000e+00,9.783609576427203247e-03,6.476379634375499517e-02,1.118928634052247240e-01,1.688457694870077463e-01
3.925000000000000266e+00,7.952452703833948200e-03,6.172048522125428427e-02,1.023584078555150045e-01,1.627387297357323070e-01
3.975000000000000089e+00,7.167671187008228806e-03,5.894413121476187178e-02,1.006597404874630952e-01,1.666250277592721818e-01
4.025000000000000355e+00,6.958396115854704675e-03,5.915769690756898097e-02,9.808434157461019820e-02,1.606567843659788275e-01
4.075000000000000178e+00,6.225933366817256592e-03,5.440586024260984921e-02,9.331711379975317355e-02,1.633633133466554643e-01
