r_A,Li_S_g_r,P_S_g_r
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00,2.760163250777099633e-02
1.875000000000000000e+00,0.000000000000000000e+00,5.622090756983999515e-01
1.925000000000000266e+00,2.067381102120541964e-02,3.584838831077019616e+00
1.975000000000000089e+00,4.320875085342061606e-02,8.979564040992686458e+00
2.025000000000000355e+00,9.341235278530804487e-02,1.220712626198405282e+01
2.075000000000000178e+00,2.775708199605751991e-01,1.176473244602130386e+01
2.125000000000000000e+00,6.175468405704651609e-01,8.632083309951996242e+00
2.174999999999999822e+00,1.178962948406312661e+00,4.955531074345217668e+00
2.225000000000000089e+00,1.844609217853404148e+00,2.516220292138955816e+00
2.275000000000000355e+00,2.534135907109094532e+00,9.325383303029963766e-01
2.325000000000000178e+00,2.996047928322644882e+00,3.826551280260709342e-01
2.375000000000000000e+00,3.414510328775416603e+00,1.955805438916705941e-01
2.425000000000000266e+00,3.285584464442410368e+00,5.471631542687598049e-02
2.475000000000000089e+00,3.316765508708611865e+00,1.500798872718829037e-02
2.525000000000000355e+00,3.193923031902178522e+00,2.162927561107570035e-02
2.575000000000000178e+00,2.807660467455841857e+00,1.386498996274489713e-02
2.625000000000000000e+00,2.479359727575265460e+00,0.000000000000000000e+00
