lag_ps,alpha2
1.000000000000000056e-01,3.186884083469447848e-01
2.000000000000000111e-01,4.272803044838899833e-01
3.000000000000000444e-01,4.609672445968100440e-01
4.000000000000000222e-01,5.142551093872065326e-01
5.000000000000000000e-01,5.403212237577730281e-01
6.000000000000000888e-01,5.623080734414716009e-01
7.000000000000000666e-01,5.744170391191121272e-01
8.000000000000000444e-01,5.827149226942893723e-01
9.000000000000000222e-01,5.871905036928586341e-01
1.000000000000000000e+00,5.918856446649598535e-01
1.100000000000000089e+00,5.962894015083433086e-01
1.200000000000000178e+00,5.989613714364039332e-01
1.300000000000000044e+00,5.991988160390342433e-01
1.400000000000000133e+00,5.970561937335259195e-01
1.500000000000000000e+00,5.934120650043737122e-01
1.600000000000000089e+00,5.883656838611612816e-01
1.700000000000000178e+00,5.825251574150123179e-01
1.800000000000000044e+00,5.762073439298316391e-01
1.900000000000000133e+00,5.683836929516914438e-01
2.000000000000000000e+00,5.603212225566795990e-01
2.200000000000000178e+00,5.472452219279255736e-01
2.300000000000000266e+00,5.405655058392080381e-01
2.400000000000000355e+00,5.338880113766486524e-01
2.600000000000000089e+00,5.203702344814369329e-01
2.700000000000000178e+00,5.130443527842738494e-01
2.900000000000000355e+00,5.002163931813288222e-01
3.100000000000000089e+00,4.872022630431485091e-01
3.300000000000000266e+00,4.746871052551182579e-01
3.400000000000000355e+00,4.687862643355218406e-01
3.700000000000000178e+00,4.520175911691075576e-01
3.900000000000000355e+00,4.424583200233052072e-01
4.100000000000000533e+00,4.305380256452762122e-01
4.400000000000000355e+00,4.131106181608990013e-01
4.600000000000000533e+00,4.034670582510004877e-01
4.900000000000000355e+00,3.871884084809502635e-01
5.200000000000000178e+00,3.727918531822109749e-01
5.500000000000000000e+00,3.604132157436721329e-01
5.800000000000000711e+00,3.477862043942869796e-01
6.200000000000000178e+00,3.326189933615935068e-01
6.500000000000000000e+00,3.239994205907164027e-01
6.900000000000000355e+00,3.130866194772994326e-01
7.300000000000000711e+00,3.017422264115048325e-01
7.800000000000000711e+00,2.884262966777582093e-01
8.200000000000001066e+00,2.797065205525484100e-01
8.700000000000001066e+00,2.690727431906791978e-01
9.300000000000000711e+00,2.583880179150370715e-01
9.800000000000000711e+00,2.489554733563710265e-01
1.040000000000000036e+01,2.365500239965394602e-01
1.100000000000000000e+01,2.253373252237196311e-01
1.170000000000000107e+01,2.134685809012377700e-01
1.240000000000000036e+01,2.030006495397715938e-01
1.310000000000000142e+01,1.936622341586315965e-01
1.390000000000000036e+01,1.836168859725213487e-01
1.470000000000000107e+01,1.740912448477232033e-01
1.560000000000000142e+01,1.649156137562732827e-01
1.650000000000000000e+01,1.569736005176463056e-01
1.750000000000000000e+01,1.492070032653469713e-01
1.860000000000000142e+01,1.403670848537579285e-01
1.970000000000000284e+01,1.337941696040949591e-01
2.090000000000000213e+01,1.266275021032086112e-01
2.210000000000000142e+01,1.190270831325135337e-01
2.340000000000000213e+01,1.115366246843287890e-01
2.480000000000000071e+01,1.035431629383782859e-01
2.630000000000000071e+01,9.614273638972914426e-02
2.790000000000000213e+01,8.888175168353384947e-02
2.960000000000000142e+01,8.343073788102439714e-02
3.130000000000000071e+01,7.867250480201692930e-02
3.320000000000000284e+01,7.265026767064886037e-02
3.520000000000000284e+01,6.672955443989314617e-02
3.730000000000000426e+01,5.955371392913710871e-02
3.950000000000000000e+01,5.251853581013832262e-02
4.190000000000000568e+01,4.531630634406225155e-02
4.440000000000000568e+01,4.055037218965784618e-02
4.700000000000000000e+01,3.655705750601367932e-02
4.980000000000000426e+01,3.277513073522975162e-02
5.280000000000000426e+01,2.982966419988009044e-02
5.600000000000000000e+01,2.512092419909484065e-02
5.930000000000000426e+01,2.212827288157415140e-02
6.290000000000000568e+01,2.006827905350805352e-02
6.660000000000000853e+01,1.958106419882610361e-02
7.060000000000000853e+01,2.199803916863185549e-02
7.479999999999999716e+01,2.524070778797926629e-02
7.930000000000001137e+01,2.913773036831890373e-02
8.400000000000000000e+01,3.186866010582334319e-02
8.900000000000000000e+01,3.312012423837984443e-02
9.440000000000000568e+01,3.181220383768801341e-02
1.000000000000000000e+02,2.636098689051769028e-02
