T_K,lo_ps,hi_ps,D_cm2_s,R2,alpha,intercept_A2
300,5,20,8.251712680600e-08,0.989496204,0.135468031,3.556437041222e-01
300,10,40,5.577437548742e-08,0.990833511,0.163731752,3.801311087955e-01
300,20,80,5.400971379416e-08,0.998150272,0.269036458,3.832479754199e-01
300,40,100,6.170145159149e-08,0.991634556,0.397227087,3.573856859509e-01
300,50,150,6.125234795706e-08,0.994687362,0.483894103,3.596489462425e-01
500,5,20,5.454024915067e-07,0.996890863,0.314317007,7.914873972143e-01
500,10,40,4.904399912426e-07,0.999750755,0.429398753,8.415780239228e-01
500,20,80,4.209273087789e-07,0.997032249,0.534690057,9.769503537890e-01
500,40,100,4.072554307571e-07,0.998898879,0.601819898,1.034431607989e+00
500,50,150,4.451206962595e-07,0.998366495,0.724658033,8.725765300706e-01
700,5,20,8.314861511063e-06,0.999771095,0.785343492,1.457539181656e+00
700,10,40,7.841014388563e-06,0.999900534,0.840568561,1.901677975163e+00
700,20,80,7.924743392087e-06,0.999957021,0.915972958,1.780187175430e+00
700,40,100,7.890607651849e-06,0.999952168,0.941258478,1.907773662368e+00
700,50,150,7.950292059101e-06,0.999864979,0.960868958,1.690370254391e+00
900,5,20,3.354963252962e-05,0.999990453,0.912348525,2.009746324464e+00
900,10,40,3.209857038159e-05,0.999580913,0.928405275,3.507220042886e+00
900,20,80,3.064674160909e-05,0.999975215,0.925743777,6.169260318635e+00
900,40,100,3.047305958129e-05,0.999976744,0.946627700,6.725816163477e+00
900,50,150,3.110128772445e-05,0.999849777,0.972208751,3.898066933650e+00
