time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
5.000000000000000278e-02,3.258465106599999785e+02,-4.502706575976562320e+00,-2.281006538966666095e-02,2.212875759492697991e+00
1.000000000000000056e-01,3.099965050999999789e+02,-4.502047890234375238e+00,-1.513723613666666766e-02,2.213202970090812904e+00
1.500000000000000222e-01,2.987815464500000076e+02,-4.502069984960937354e+00,1.546399208700000028e-02,2.215349848237850416e+00
2.000000000000000111e-01,2.990539351400000214e+02,-4.502858256249999691e+00,-2.121241239300000400e-02,2.216300297919024942e+00
2.500000000000000000e-01,2.949066462800000181e+02,-4.502450808007812277e+00,-8.217423346533332673e-02,2.215733866550285480e+00
3.000000000000000444e-01,3.018886675499999797e+02,-4.503314173828124822e+00,-1.123961240999998834e-02,2.218568689368169089e+00
3.500000000000000333e-01,3.019796182300000282e+02,-4.503224532812500236e+00,1.348729017956666609e-01,2.222516873009642513e+00
4.000000000000000222e-01,2.840280423899999960e+02,-4.500861992968750336e+00,-6.175800633666667094e-02,2.223180618484467352e+00
4.500000000000000111e-01,2.907672182200000179e+02,-4.501156886328124607e+00,1.976108838199999995e-01,2.222402257875303100e+00
5.000000000000000000e-01,3.042358751300000108e+02,-4.501864278515625095e+00,-6.514351228366667412e-02,2.216416791918423002e+00
5.500000000000000444e-01,2.912071187899999813e+02,-4.498560667968749982e+00,-1.046862115326666620e-01,2.211640069834652778e+00
6.000000000000000888e-01,3.236981516399999919e+02,-4.500192657812499775e+00,9.284143327333332918e-02,2.209128609812672561e+00
6.500000000000000222e-01,3.133633638300000257e+02,-4.498167777539062939e+00,-1.211072167446666653e-01,2.207653871663075140e+00
7.000000000000000666e-01,3.242059360399999832e+02,-4.500008623242187866e+00,4.009332899066666428e-02,2.211524762349971418e+00
7.500000000000000000e-01,3.053223246599999925e+02,-4.498942742382812554e+00,-2.704681742366666850e-02,2.215093379092656800e+00
8.000000000000000444e-01,3.109424645199999873e+02,-4.501069277734375262e+00,4.775155451813334340e-02,2.217885108929859683e+00
8.500000000000000888e-01,3.010532022400000187e+02,-4.501048661718749955e+00,6.598670521633333286e-02,2.217467180969708185e+00
9.000000000000000222e-01,3.075261732700000152e+02,-4.503006763671875134e+00,-1.120873206466666688e-01,2.215507195981890387e+00
9.500000000000000666e-01,2.894140854199999922e+02,-4.501780544726562638e+00,2.672897701399999937e-01,2.215198376214947640e+00
1.000000000000000000e+00,3.018288513699999953e+02,-4.503649791992187623e+00,-1.816262322263333395e-01,2.208795773228591219e+00
1.050000000000000044e+00,2.887134612699999821e+02,-4.502079818554687307e+00,1.485156097930000196e-01,2.209547815641881297e+00
1.100000000000000089e+00,2.982964122999999859e+02,-4.503147038085937304e+00,-1.341666665456666685e-01,2.205256710241986884e+00
1.150000000000000133e+00,2.910579781299999809e+02,-4.501436495507812552e+00,-5.020336405166667126e-02,2.203745439088414582e+00
1.200000000000000178e+00,3.039243849000000068e+02,-4.501118619335937154e+00,-2.292359379666666572e-02,2.205978815463089493e+00
1.250000000000000000e+00,3.229501640500000121e+02,-4.501984845507812416e+00,-6.183174332633332299e-02,2.211583564508058597e+00
1.300000000000000044e+00,3.096734271099999773e+02,-4.500155702539062830e+00,5.918727834033331997e-02,2.217620038817831318e+00
1.350000000000000089e+00,3.136423976199999970e+02,-4.501180397656249887e+00,2.191185605846666939e-01,2.218167589968038200e+00
1.400000000000000133e+00,2.983494821799999954e+02,-4.500107682617187521e+00,-1.971618821833333313e-01,2.211104744483245454e+00
1.450000000000000178e+00,2.989751308200000040e+02,-4.501014571093749694e+00,1.076137215883333220e-01,2.209973838039557936e+00
1.500000000000000000e+00,2.958614270200000078e+02,-4.501506166796874986e+00,-2.124240423869999950e-01,2.208100290182108960e+00
1.550000000000000044e+00,2.929425122399999850e+02,-4.501997449804687079e+00,-1.374265240933333215e-02,2.213777929809132239e+00
1.600000000000000089e+00,2.938911419600000272e+02,-4.502541819531249878e+00,1.107399044756666728e-01,2.220613764730473783e+00
1.650000000000000133e+00,2.926112354900000128e+02,-4.502526686718749893e+00,2.520599466666662014e-03,2.220415167429671488e+00
1.700000000000000178e+00,2.911766592600000081e+02,-4.501948421093749708e+00,1.862544649680000219e-01,2.212683232118351828e+00
1.750000000000000000e+00,2.981360739899999999e+02,-4.501128162109375275e+00,-3.213315107200000464e-01,2.202400741181325117e+00
1.800000000000000044e+00,3.040828422499999988e+02,-4.499798509960937665e+00,-3.789601534166667229e-02,2.204494172163020682e+00
1.850000000000000089e+00,3.179887729899999727e+02,-4.500582435156250227e+00,5.353568330399999242e-02,2.211855728104844321e+00
1.900000000000000133e+00,3.132961592799999835e+02,-4.499993540234375367e+00,-2.799623426333330833e-03,2.220423756442559959e+00
1.950000000000000178e+00,3.118228340900000148e+02,-4.500619273437499679e+00,5.384713712799999996e-01,2.225367085560556735e+00
2.000000000000000000e+00,3.026093815799999902e+02,-4.500997935156250129e+00,-2.126471857606666571e-01,2.211664814495581055e+00
2.050000000000000266e+00,2.978217607199999861e+02,-4.501805832226562387e+00,-7.387719384099999953e-02,2.199756329326874038e+00
2.100000000000000089e+00,2.944792301200000111e+02,-4.502068311718749882e+00,-2.246924969800000171e-01,2.196503358747173174e+00
2.149999999999999911e+00,2.962707949100000064e+02,-4.502495156835937706e+00,-1.674845175333333491e-01,2.207125323970958508e+00
2.200000000000000178e+00,2.940229595000000131e+02,-4.502201428906250413e+00,4.957393887066667282e-01,2.223033647667473911e+00
2.250000000000000000e+00,2.909599087899999859e+02,-4.501622888476562778e+00,-1.647224888466666468e-02,2.221833849254004178e+00
2.300000000000000266e+00,3.034845001099999990e+02,-4.502962461914062686e+00,3.749966828633333193e-01,2.211686821010259596e+00
2.350000000000000089e+00,2.994445902100000012e+02,-4.501936995117187479e+00,-4.447797637766666701e-01,2.192206037137634844e+00
2.400000000000000355e+00,2.918129227300000252e+02,-4.500479386914062907e+00,-1.840700625546666525e-01,2.188268920278315210e+00
2.450000000000000178e+00,3.012555437899999902e+02,-4.501325679296875215e+00,-4.060528875333333648e-02,2.200626429832128750e+00
2.500000000000000000e+00,3.065786886199999799e+02,-4.501245523632812606e+00,-1.377701080493333452e-01,2.219074866990119688e+00
2.550000000000000266e+00,3.131549938699999984e+02,-4.501672155273437781e+00,5.194543112400000773e-01,2.230966949728257376e+00
2.600000000000000089e+00,3.060174830299999940e+02,-4.500968057226562458e+00,-1.209882869866666794e-01,2.221073950907552330e+00
2.650000000000000355e+00,3.057649764000000232e+02,-4.502121245117187698e+00,9.179624670000001430e-02,2.209254812653733691e+00
2.700000000000000178e+00,2.950672387000000185e+02,-4.502290718945312520e+00,-2.779673359770000185e-01,2.202504026359988654e+00
2.750000000000000000e+00,2.929732081399999970e+02,-4.503107874609375116e+00,-2.330577180400000004e-01,2.209955018456495779e+00
2.800000000000000266e+00,3.063935882800000172e+02,-4.505221117773437811e+00,3.028792668399999943e-01,2.222291736923179162e+00
2.850000000000000089e+00,2.924462924800000110e+02,-4.503482222070312346e+00,-5.033398508999999826e-02,2.223012422374023522e+00
2.900000000000000355e+00,2.972886353600000007e+02,-4.503583057812499568e+00,1.164230430729999988e-01,2.220208630161244479e+00
2.950000000000000178e+00,2.927035899100000051e+02,-4.501540562304687576e+00,-1.131765329776666662e-01,2.216315899896638797e+00
3.000000000000000000e+00,3.017835366499999736e+02,-4.500640662890624810e+00,-1.116726984266666611e-02,2.214294763950894307e+00
3.050000000000000266e+00,3.083689768799999911e+02,-4.500644525976562171e+00,9.247264602666666056e-02,2.210282863827949473e+00
3.100000000000000089e+00,3.139644969099999798e+02,-4.501469666210937248e+00,-1.694543297166666573e-01,2.203319434842483826e+00
3.150000000000000355e+00,3.076765414600000099e+02,-4.501330811328124959e+00,1.457986095169999941e-01,2.201542172999828573e+00
3.200000000000000178e+00,2.955919847900000264e+02,-4.500534184765625056e+00,-3.504585420766666570e-01,2.201919951354985194e+00
3.250000000000000000e+00,3.139846621799999866e+02,-4.503217997265624994e+00,-1.454738897599999747e-02,2.212327709992681690e+00
3.300000000000000266e+00,2.963306358300000056e+02,-4.501532261718749872e+00,2.420246468099999937e-01,2.222959293528675495e+00
3.350000000000000089e+00,3.109545583999999963e+02,-4.503892314648437534e+00,-1.699850773623333422e-02,2.222387761077607049e+00
3.400000000000000355e+00,2.914096402200000284e+02,-4.502595749609374920e+00,2.870260674733333128e-01,2.216695072788464227e+00
3.450000000000000178e+00,2.876394482399999788e+02,-4.503673114453125237e+00,-5.106195067766665652e-01,2.203766673998427628e+00
3.500000000000000000e+00,2.896498062200000163e+02,-4.504724774414062161e+00,-4.863021779000000627e-02,2.207042379853141334e+00
3.550000000000000266e+00,2.811365997300000004e+02,-4.503437907812499752e+00,-5.394791707533333480e-02,2.218378552556780292e+00
3.600000000000000089e+00,2.796287178300000278e+02,-4.501755256445312270e+00,2.192986635133332973e-01,2.234185228186892580e+00
3.650000000000000355e+00,2.905797217300000170e+02,-4.501017423632812431e+00,2.260550505166666613e-01,2.234424045497436673e+00
3.700000000000000178e+00,2.944963873699999795e+02,-4.500560769531250394e+00,9.976227389666665613e-02,2.219152666698778198e+00
