time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
5.000000000000000278e-02,3.110288171600000169e+02,-4.503364480859374908e+00,-6.225304143333332957e-02,2.212334979851298566e+00
1.000000000000000056e-01,3.060367919299999926e+02,-4.502895992578125117e+00,1.479595214453333363e-01,2.224112224877671018e+00
1.500000000000000222e-01,3.024248061499999949e+02,-4.502623417773437886e+00,3.226485697236666783e-01,2.227528792814289726e+00
2.000000000000000111e-01,2.974132720399999812e+02,-4.502199794335937533e+00,-1.647173210500000040e-01,2.213179021957873971e+00
2.500000000000000000e-01,3.024839375500000074e+02,-4.502445107617187858e+00,-1.382275452329999876e-01,2.198901169449865023e+00
3.000000000000000444e-01,2.994324328499999979e+02,-4.500876554296874943e+00,-2.718942154539999989e-01,2.195832766526937707e+00
3.500000000000000333e-01,3.148652134800000226e+02,-4.501191343750000406e+00,1.138830387333330087e-03,2.209260991754373737e+00
4.000000000000000222e-01,3.246807703499999889e+02,-4.501431146679687245e+00,2.946606501599999817e-01,2.224348725985663133e+00
4.500000000000000111e-01,3.196820274300000051e+02,-4.500551918554687170e+00,7.336448194233333164e-02,2.224603591737127406e+00
5.000000000000000000e-01,3.196347537099999840e+02,-4.500824419335937243e+00,1.109555407066666471e-01,2.211819729704952220e+00
5.500000000000000444e-01,3.079532734599999912e+02,-4.499956529687500151e+00,-2.730242491813333339e-01,2.196117423364964960e+00
6.000000000000000888e-01,3.038884591500000170e+02,-4.499941003906250181e+00,-2.428711910733333257e-01,2.192928413419213296e+00
6.500000000000000222e-01,3.143888897200000088e+02,-4.501649859179687851e+00,1.235579254236666702e-01,2.204620841579676860e+00
7.000000000000000666e-01,3.013842994099999828e+02,-4.500149148242187813e+00,-1.349338493459333321e-01,2.215256463219332783e+00
7.500000000000000000e-01,3.042577729299999874e+02,-4.500620971484375232e+00,3.420159010133334010e-01,2.223397615098614111e+00
8.000000000000000444e-01,3.059111604799999782e+02,-4.500296982617187247e+00,9.122387736333328542e-03,2.218071065893732818e+00
8.500000000000000888e-01,3.136363851300000078e+02,-4.499846051171875416e+00,1.002698158900000164e-01,2.206646115203520608e+00
9.000000000000000222e-01,3.148395406600000115e+02,-4.498272004296874904e+00,1.428971952266667490e-02,2.194417672303990319e+00
9.500000000000000666e-01,3.291270827499999996e+02,-4.498931175000000060e+00,-4.425866398700000204e-01,2.188483073729069250e+00
1.000000000000000000e+00,3.362063813600000231e+02,-4.499419242773437411e+00,-3.493020828200000399e-02,2.200768941300424775e+00
1.050000000000000044e+00,3.182901902500000233e+02,-4.496982865429687060e+00,-2.423937288633333173e-02,2.216587071426812994e+00
1.100000000000000089e+00,3.322734453400000234e+02,-4.498832953515624844e+00,3.798269577656666063e-01,2.226064349945770182e+00
1.150000000000000133e+00,3.262768587499999740e+02,-4.498728421679687450e+00,2.644290519866667188e-01,2.219193199509181369e+00
1.200000000000000178e+00,3.189383316099999774e+02,-4.498670850195312099e+00,-2.744008107266666663e-01,2.201614543300037141e+00
1.250000000000000000e+00,3.200411189100000229e+02,-4.499069888867187395e+00,2.076013220466666961e-02,2.192512295995005633e+00
1.300000000000000044e+00,3.192547064699999737e+02,-4.499243245507812183e+00,-4.694802203866667578e-01,2.194676661274507445e+00
1.350000000000000089e+00,3.204610652000000073e+02,-4.499193575390624922e+00,1.091578282276666617e-01,2.211549855893499839e+00
1.400000000000000133e+00,3.253547249000000079e+02,-4.498882019531250442e+00,2.555073417360000376e-01,2.225802315669015652e+00
1.450000000000000178e+00,3.366086745800000131e+02,-4.498371207617187117e+00,3.373079907333333405e-01,2.226465567308299587e+00
1.500000000000000000e+00,3.359298996399999737e+02,-4.496699650585937569e+00,1.026815278266666603e-01,2.209069523961987969e+00
