lag_ps,Li_A2,P_A2,S_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,5.670637118727124282e-01,1.242763968612755482e-01,2.164807755788274446e-01
2.000000000000000111e-01,8.031076165790680399e-01,2.074678522420580762e-01,3.616279616535343910e-01
3.000000000000000444e-01,9.657270124423015245e-01,2.404747579816735037e-01,4.022097820405500235e-01
4.000000000000000222e-01,1.072597836186998776e+00,2.572837169823062320e-01,4.291534040162006680e-01
5.000000000000000000e-01,1.171181499242807345e+00,2.647106562127833906e-01,4.473213757576756100e-01
6.000000000000000888e-01,1.252524393022685922e+00,2.642410121458454997e-01,4.523206636899942956e-01
7.000000000000000666e-01,1.330030613234105541e+00,2.695486722549366165e-01,4.634167156332446580e-01
8.000000000000000444e-01,1.401807174830351554e+00,2.706380862905922724e-01,4.700732303852900862e-01
9.000000000000000222e-01,1.470836099563092469e+00,2.706255788413212127e-01,4.753404436690897850e-01
1.000000000000000000e+00,1.537307325483241449e+00,2.706609825027179173e-01,4.808556146163123768e-01
1.100000000000000089e+00,1.600988096905048508e+00,2.701794752553284829e-01,4.851468484334054976e-01
1.200000000000000178e+00,1.665423423694391225e+00,2.711265682663339116e-01,4.902704724265017355e-01
1.300000000000000044e+00,1.728303032625499558e+00,2.736504011698479011e-01,4.968590867833977964e-01
1.400000000000000133e+00,1.792661032227488738e+00,2.774641458317914089e-01,5.043740067990222231e-01
1.500000000000000000e+00,1.857282251047376764e+00,2.815697481903189359e-01,5.124687658380097099e-01
1.600000000000000089e+00,1.920875320392625651e+00,2.858621235286930573e-01,5.208888584455965143e-01
1.700000000000000178e+00,1.983221272852382810e+00,2.904796122736691966e-01,5.287470904613940093e-01
1.800000000000000044e+00,2.045555661000716174e+00,2.945316297708276410e-01,5.364570431631352498e-01
1.900000000000000133e+00,2.107240477091552933e+00,2.977934689936555523e-01,5.429763719233443586e-01
2.000000000000000000e+00,2.168117743211402715e+00,2.997648411165869664e-01,5.487346475475197716e-01
2.100000000000000089e+00,2.226642267134997688e+00,3.022560726862083547e-01,5.540593461491751803e-01
2.200000000000000178e+00,2.284684215914909888e+00,3.045197810514417291e-01,5.596982100920339098e-01
2.300000000000000266e+00,2.341558808560983529e+00,3.064567137799033558e-01,5.645600126227490190e-01
2.400000000000000355e+00,2.399279713386265112e+00,3.079777908576636913e-01,5.687862301649798669e-01
