time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
5.000000000000000278e-02,6.914622030100000529e+02,-4.437801839843750429e+00,-3.429483933419999464e-01,2.091519281117442564e+00
1.000000000000000056e-01,6.895398699500000248e+02,-4.436528935742187763e+00,-3.979843248433334035e-01,2.091519281117442564e+00
1.500000000000000222e-01,6.678112488000000440e+02,-4.430774102929687430e+00,-4.284944815666667101e-02,2.091519281117442564e+00
2.000000000000000111e-01,6.835142114000000220e+02,-4.427261065820312425e+00,-4.481010245133332792e-01,2.091519281117442564e+00
2.500000000000000000e-01,7.624353966700000456e+02,-4.434002272265624711e+00,-2.473357542490000061e-01,2.091519281117442564e+00
3.000000000000000444e-01,7.175174847199999704e+02,-4.428330267968750178e+00,-2.884827842630000028e-01,2.091519281117442564e+00
3.500000000000000333e-01,7.219353976300000113e+02,-4.430514440429687895e+00,7.247887292333334008e-02,2.091519281117442564e+00
4.000000000000000222e-01,7.466373124399999597e+02,-4.436534519335937787e+00,-4.054353933166666146e-01,2.091519281117442564e+00
4.500000000000000111e-01,6.797105695799999694e+02,-4.431795740429687491e+00,7.915573035333332841e-02,2.091519281117442564e+00
5.000000000000000000e-01,6.791885648300000184e+02,-4.434414887890625323e+00,-7.701016478699999890e-02,2.091519281117442564e+00
5.500000000000000444e-01,6.824026114600000028e+02,-4.435312669726562795e+00,-3.490012752300000187e-01,2.091519281117442564e+00
6.000000000000000888e-01,6.949889662599999838e+02,-4.436331569531249741e+00,1.286114823136666752e-01,2.091519281117442564e+00
6.500000000000000222e-01,6.837054079299999785e+02,-4.434141019140625417e+00,-4.699734086133333655e-01,2.091519281117442564e+00
7.000000000000000666e-01,6.835534423200000447e+02,-4.431899197070312546e+00,-2.006341317000000582e-02,2.091519281117442564e+00
7.500000000000000000e-01,7.260551015999999436e+02,-4.433777481249999930e+00,-3.979439752999999053e-02,2.091519281117442564e+00
8.000000000000000444e-01,7.325138599800000065e+02,-4.429924164843749956e+00,-3.165736860766666383e-01,2.091519281117442564e+00
8.500000000000000888e-01,7.533924446400000079e+02,-4.428152583984375390e+00,2.970881199266666717e-01,2.091519281117442564e+00
9.000000000000000222e-01,7.107783209100000477e+02,-4.421456436718750105e+00,-2.496561405099999575e-01,2.091519281117442564e+00
9.500000000000000666e-01,7.835471002100000533e+02,-4.432585623828124710e+00,-7.361559506666670583e-03,2.091519281117442564e+00
1.000000000000000000e+00,6.971430594500000097e+02,-4.425737723437499938e+00,-5.401327648760000377e-01,2.091519281117442564e+00
1.050000000000000044e+00,7.161498732200000177e+02,-4.430869683007812476e+00,1.130431085833333293e-01,2.091519281117442564e+00
1.100000000000000089e+00,7.245870094800000061e+02,-4.433737466210937228e+00,-5.798219251866666424e-01,2.091519281117442564e+00
1.150000000000000133e+00,7.261171706000000086e+02,-4.436281232226562565e+00,-1.190348505433333481e-02,2.091519281117442564e+00
1.200000000000000178e+00,6.786756110699999454e+02,-4.432636024999999869e+00,-4.135455552646666866e-01,2.091519281117442564e+00
1.250000000000000000e+00,6.710611530600000378e+02,-4.432814051171875214e+00,-2.714999670136666876e-01,2.091519281117442564e+00
1.300000000000000044e+00,6.849944981400000188e+02,-4.434425945507812550e+00,-1.660569145999999940e-01,2.091519281117442564e+00
1.350000000000000089e+00,6.807727221999999756e+02,-4.432477641601562546e+00,-3.138308051376666463e-01,2.091519281117442564e+00
