T_K,lo_ps,hi_ps,D_app_cm2_s,R2,intercept_A2,alpha
3.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,4.989394797737953509e-08,9.132265396974253990e-01,3.265276074900493875e-01,9.791426953318366211e-02
3.000000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,1.478558124846182675e-08,8.481884183179696501e-01,3.604381372139762729e-01,5.577252162108919248e-02
3.000000000000000000e+02,2.000000000000000000e+01,8.000000000000000000e+01,7.143145741147939887e-09,9.345216858164346885e-01,3.753996503818869401e-01,4.895191096251397256e-02
3.000000000000000000e+02,4.000000000000000000e+01,1.000000000000000000e+02,7.431327676526418205e-09,8.870801668863159684e-01,3.750966867163477714e-01,7.278745836707266326e-02
5.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,8.049790144369244981e-07,9.958751912868328837e-01,8.147492438799496250e-01,3.973874129557737334e-01
5.000000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,7.309215203099309348e-07,9.997638621706961271e-01,8.876023756772899453e-01,5.144477573018272354e-01
5.000000000000000000e+02,2.000000000000000000e+01,8.000000000000000000e+01,7.089968507454560326e-07,9.996778340666377938e-01,9.306062155362382349e-01,6.599233782611662047e-01
5.000000000000000000e+02,4.000000000000000000e+01,1.000000000000000000e+02,6.821927064724477853e-07,9.992382314824608258e-01,1.023348491409438399e+00,7.260932373672852602e-01
7.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,8.286160987362062121e-06,9.998694254747994004e-01,1.439448543326018459e+00,7.861648309146140878e-01
7.000000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,8.070054736493802584e-06,9.999878264513484272e-01,1.639739545971357515e+00,8.600892520990164325e-01
7.000000000000000000e+02,2.000000000000000000e+01,8.000000000000000000e+01,8.079431076360654517e-06,9.998888783135652103e-01,1.660611437483400010e+00,9.251236503171981207e-01
7.000000000000000000e+02,4.000000000000000000e+01,1.000000000000000000e+02,7.861311077856394214e-06,9.997287272685254633e-01,2.421752459572495297e+00,9.302812401136374421e-01
9.000000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,3.704365951189417721e-05,9.999823129367386709e-01,2.168105341661743068e+00,9.151676862040820648e-01
9.000000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,3.683507850845183055e-05,9.999969773409651541e-01,2.361264311244248404e+00,9.501107526700149908e-01
9.000000000000000000e+02,2.000000000000000000e+01,8.000000000000000000e+01,3.615196180272821347e-05,9.998293651543004312e-01,3.868501862149756221e+00,9.642932386128965083e-01
9.000000000000000000e+02,4.000000000000000000e+01,1.000000000000000000e+02,3.418760168601665334e-05,9.991871968798974324e-01,1.079541723611419002e+01,9.329007441220736885e-01
