r_A,P_O,P_N,Li_O,Li_N
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000089e+00,1.564370367928293870e+00,8.692682070143739059e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.524999999999999911e+00,2.200376656081534676e+01,1.051575217784792216e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000178e+00,2.109514613427514007e+01,1.707405849710254842e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000000e+00,4.082488425822511147e+00,3.289045569050062401e+00,2.745392501446308666e-03,0.000000000000000000e+00
1.675000000000000266e+00,1.789852311146736374e+00,1.912618509127631938e+01,1.267997106782873390e-02,0.000000000000000000e+00
1.725000000000000089e+00,3.805480347611007175e-01,9.089187901607408193e+00,1.823979217825379417e-01,8.132207236859537169e-02
1.774999999999999911e+00,2.676449283553762257e-02,1.863364469627287523e+00,7.715573810047267056e-01,7.359422437314022680e-01
1.825000000000000178e+00,0.000000000000000000e+00,2.128021298357563040e-01,2.206350916918321303e+00,2.210387423258415751e+00
1.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.029769382685305601e+00,3.600031534493443708e+00
1.925000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.064637437922081986e+00,4.084075863762343772e+00
1.975000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.017194209615872147e+00,3.841382960017798887e+00
2.025000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.745537439480183473e+00,2.632546578987947417e+00
2.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.832578973606810546e+00,2.252363526156170970e+00
