time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
5.000000000000000278e-02,1.245845525100000032e+03,-6.112799428709677407e+00,-1.971617718033333189e+00,2.313894960553612989e+00
1.000000000000000056e-01,1.265924621699999989e+03,-6.120732863548387748e+00,7.416954130899999775e-01,2.313894960553612989e+00
1.500000000000000222e-01,1.159892703600000004e+03,-6.119119487419355075e+00,3.871704465266667117e-01,2.313894960553612989e+00
2.000000000000000111e-01,1.075734963000000107e+03,-6.121771861290322470e+00,-6.348513988966667521e-01,2.313894960553612989e+00
2.500000000000000000e-01,1.085748410299999932e+03,-6.129752336693548465e+00,1.351816947533333035e+00,2.313894960553612989e+00
3.000000000000000444e-01,1.087079859200000101e+03,-6.129335742016129629e+00,8.957395024733333377e-01,2.313894960553612989e+00
3.500000000000000333e-01,1.082568011999999953e+03,-6.121348315241935012e+00,4.758920322099999267e-01,2.313894960553612989e+00
4.000000000000000222e-01,1.085581645299999991e+03,-6.107302230645161423e+00,3.106106721766667134e-01,2.313894960553612989e+00
4.500000000000000111e-01,1.118344124499999907e+03,-6.099303405161290215e+00,2.402705850333333171e+00,2.313894960553612989e+00
5.000000000000000000e-01,1.154971581499999957e+03,-6.099307133709677586e+00,1.727049894859666646e+00,2.313894960553612989e+00
5.500000000000000444e-01,1.222730843600000071e+03,-6.105957248467742460e+00,2.046950536733333603e+00,2.313894960553612989e+00
6.000000000000000888e-01,1.217814179499999909e+03,-6.105666947661290145e+00,1.980846582296666769e+00,2.313894960553612989e+00
6.500000000000000222e-01,1.214907640299999912e+03,-6.106787922016128967e+00,5.293953786499999703e-01,2.313894960553612989e+00
7.000000000000000666e-01,1.156905046800000036e+03,-6.102421692419354393e+00,1.171737116136666534e+00,2.313894960553612989e+00
7.500000000000000000e-01,1.123714655700000094e+03,-6.103152885322580268e+00,1.017011894111666592e+00,2.313894960553612989e+00
8.000000000000000444e-01,1.141715760199999977e+03,-6.111915522661290012e+00,5.430130774766666057e-01,2.313894960553612989e+00
8.500000000000000888e-01,1.110994724399999996e+03,-6.115157379274193339e+00,1.070282157233333420e+00,2.313894960553612989e+00
9.000000000000000222e-01,1.034301676000000043e+03,-6.108140148629031430e+00,-7.087859837466666812e-01,2.313894960553612989e+00
9.500000000000000666e-01,1.175082020600000078e+03,-6.123148026532257759e+00,1.896958258779999795e+00,2.313894960553612989e+00
1.000000000000000000e+00,1.104200772500000085e+03,-6.107217791854838929e+00,8.469113070066666138e-01,2.313894960553612989e+00
1.050000000000000044e+00,1.196531874000000016e+03,-6.109162201854839047e+00,-6.449943087266666319e-01,2.313894960553612989e+00
1.100000000000000089e+00,1.292431469099999958e+03,-6.110171067661290145e+00,3.487242270233332775e-01,2.313894960553612989e+00
1.150000000000000133e+00,1.264106089899999915e+03,-6.098320251774193679e+00,2.643425668033333675e+00,2.313894960553612989e+00
1.200000000000000178e+00,1.294210538600000064e+03,-6.098826590241936074e+00,-8.427060635566666624e-01,2.313894960553612989e+00
1.250000000000000000e+00,1.236363764899999978e+03,-6.098427196693547714e+00,1.560922186350000018e+00,2.313894960553612989e+00
1.300000000000000044e+00,1.106980591000000004e+03,-6.103339194274193247e+00,1.467775187683333371e+00,2.313894960553612989e+00
1.350000000000000089e+00,1.209733460100000002e+03,-6.131112213629031693e+00,2.630750939666666802e-02,2.313894960553612989e+00
1.400000000000000133e+00,1.084662585199999967e+03,-6.119353405564515569e+00,5.941259231233334548e-01,2.313894960553612989e+00
1.450000000000000178e+00,1.118382165400000076e+03,-6.122686849596774117e+00,9.853592039333333163e-01,2.313894960553612989e+00
1.500000000000000000e+00,1.094420987199999900e+03,-6.113084440564516164e+00,1.352418663483333283e+00,2.313894960553612989e+00
1.550000000000000044e+00,1.321583614500000067e+03,-6.132292357338709365e+00,8.850997249199998862e-01,2.313894960553612989e+00
1.600000000000000089e+00,1.283271956099999898e+03,-6.118192708629032417e+00,6.903574779366666858e-01,2.313894960553612989e+00
1.650000000000000133e+00,1.193990154800000028e+03,-6.099550228064516411e+00,1.318354574900000076e+00,2.313894960553612989e+00
1.700000000000000178e+00,1.207898363400000108e+03,-6.098135730241936336e+00,1.774313021033333326e+00,2.313894960553612989e+00
1.750000000000000000e+00,1.309232554899999968e+03,-6.114477566451613555e+00,1.528933119666665286e-01,2.313894960553612989e+00
1.800000000000000044e+00,1.233243330699999888e+03,-6.111211392741934922e+00,2.395596653866666870e+00,2.313894960553612989e+00
1.850000000000000089e+00,1.150451655500000015e+03,-6.105964447983870613e+00,3.596708098600000514e-01,2.313894960553612989e+00
1.900000000000000133e+00,1.258014974599999960e+03,-6.123318297822580192e+00,1.356193742803333491e+00,2.313894960553612989e+00
1.950000000000000178e+00,1.220469877400000087e+03,-6.119182225241935669e+00,1.023050892479999918e+00,2.313894960553612989e+00
2.000000000000000000e+00,1.153201395099999900e+03,-6.113485782016129022e+00,2.655183550046666952e+00,2.313894960553612989e+00
2.050000000000000266e+00,1.172987521300000026e+03,-6.123270420564516314e+00,2.903547078633332834e-01,2.313894960553612989e+00
2.100000000000000089e+00,1.120291311400000041e+03,-6.132990820645161101e+00,9.372052055000000825e-01,2.313894960553612989e+00
2.149999999999999911e+00,9.757121233399999483e+02,-6.132897981854838143e+00,4.067517406666666946e-01,2.313894960553612989e+00
2.200000000000000178e+00,1.052894508500000029e+03,-6.144313968629032452e+00,-3.477265400000003476e-02,2.313894960553612989e+00
2.250000000000000000e+00,9.901384570400000484e+02,-6.129611382177419188e+00,-4.558771679740000748e-01,2.313894960553612989e+00
2.300000000000000266e+00,1.076558498200000031e+03,-6.128811353629032510e+00,2.232334655516666544e+00,2.313894960553612989e+00
2.350000000000000089e+00,1.120675986100000046e+03,-6.120127703870967828e+00,-1.138216327233333436e+00,2.313894960553612989e+00
2.400000000000000355e+00,1.016893703200000004e+03,-6.096888134032258044e+00,9.327060232766667403e-01,2.313894960553612989e+00
2.450000000000000178e+00,1.170348806299999978e+03,-6.108591300967741944e+00,9.964696935333333672e-01,2.313894960553612989e+00
2.500000000000000000e+00,1.150819131199999902e+03,-6.099297602500000082e+00,1.693215599650000014e+00,2.313894960553612989e+00
2.550000000000000266e+00,1.273726213599999937e+03,-6.107603565887097297e+00,1.539790075573333361e+00,2.313894960553612989e+00
2.600000000000000089e+00,1.273649870899999996e+03,-6.103299549193548224e+00,2.992312965299999572e+00,2.313894960553612989e+00
2.650000000000000355e+00,1.281405270700000074e+03,-6.105167957822580149e+00,1.851790510466666539e+00,2.313894960553612989e+00
2.700000000000000178e+00,1.149817603799999915e+03,-6.094320886209677823e+00,1.159588005203333383e+00,2.313894960553612989e+00
