time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
5.000000000000000278e-02,2.333512645899999995e+02,-6.274879257500000307e+00,-3.913023712899999507e-01,2.490390796690191255e+00
1.000000000000000056e-01,2.611404940900000042e+02,-6.277776620483870751e+00,-5.479402193666671472e-02,2.522529710630541544e+00
1.500000000000000222e-01,2.877551766099999782e+02,-6.278981120161290619e+00,2.572624463533333405e-01,2.537480037990532455e+00
2.000000000000000111e-01,2.928959182400000145e+02,-6.276480645564515903e+00,7.542137232000001301e-02,2.513800360059473160e+00
2.500000000000000000e-01,2.881645529300000135e+02,-6.272591290806451170e+00,-8.318931897666668185e-01,2.492746859713264040e+00
3.000000000000000444e-01,2.880255390600000283e+02,-6.270743776370967915e+00,3.092879544833333494e-01,2.493222721277842613e+00
3.500000000000000333e-01,2.657786335200000281e+02,-6.268221238387097216e+00,-3.310206483166666103e-01,2.481665170976367296e+00
4.000000000000000222e-01,2.837634535000000255e+02,-6.272031664999999201e+00,-4.174303029900000017e-01,2.478926631891152255e+00
4.500000000000000111e-01,2.480645766600000002e+02,-6.269313340241935428e+00,-8.159746915666666878e-01,2.497196536708115477e+00
5.000000000000000000e-01,2.914098265700000070e+02,-6.275844567016128472e+00,1.785192303079999876e+00,2.514489553611455097e+00
5.500000000000000444e-01,2.708560058200000071e+02,-6.274247108064516354e+00,-8.946242983113333880e-01,2.511797201060462115e+00
6.000000000000000888e-01,2.615160395699999754e+02,-6.273547435564516661e+00,3.000858266433332755e-01,2.493793883470380557e+00
6.500000000000000222e-01,2.608524413000000095e+02,-6.272642336854838518e+00,-1.042574797199999903e-01,2.468923560833722330e+00
7.000000000000000666e-01,2.676612786399999777e+02,-6.271777934596774351e+00,-8.347376665456666123e-01,2.477501443784582147e+00
7.500000000000000000e-01,2.878001044600000000e+02,-6.270920287177419894e+00,5.005292773666666223e-02,2.504379053020930002e+00
8.000000000000000444e-01,2.880218148899999733e+02,-6.267112648225806382e+00,1.008722862479999982e+00,2.521629287415544596e+00
8.500000000000000888e-01,2.994923381300000074e+02,-6.267374786612903037e+00,-4.806520106513332835e-01,2.519489745863138896e+00
9.000000000000000222e-01,2.898823113500000090e+02,-6.266826470080645528e+00,-3.270228177500000277e-01,2.509538400404091707e+00
9.500000000000000666e-01,3.005063406200000031e+02,-6.269782746451613598e+00,5.560351576999998935e-01,2.504439776835501341e+00
1.000000000000000000e+00,3.177101924899999972e+02,-6.274120828870967337e+00,-6.986288838499999931e-01,2.489436945206069840e+00
1.050000000000000044e+00,3.166745384199999762e+02,-6.275334204677418981e+00,-2.555213400733332696e-01,2.488533345337534008e+00
1.100000000000000089e+00,2.808601138799999717e+02,-6.271367169999999547e+00,7.219822182320000392e-01,2.501962172284609043e+00
1.150000000000000133e+00,2.896356943499999943e+02,-6.272985937338710016e+00,6.366452933999999786e-01,2.504441663954620978e+00
1.200000000000000178e+00,2.674500480699999798e+02,-6.269815221209677603e+00,-2.011126879833332604e-01,2.496171120245775921e+00
1.250000000000000000e+00,3.083782373099999745e+02,-6.273884246048387681e+00,1.040999416333339943e-02,2.490602848702967442e+00
1.300000000000000044e+00,2.904741029900000058e+02,-6.270135979516129332e+00,6.156122217733331903e-01,2.494158521497558123e+00
1.350000000000000089e+00,2.622329533299999866e+02,-6.265014691290322624e+00,-4.765699769066666924e-01,2.493506347170639348e+00
1.400000000000000133e+00,3.050526208100000076e+02,-6.268228756854838046e+00,2.377224233333333492e-01,2.490687653949685387e+00
1.450000000000000178e+00,3.391648391900000092e+02,-6.269508124516129044e+00,-2.826199005666666861e-02,2.486472544741158419e+00
1.500000000000000000e+00,3.236883864900000276e+02,-6.265011481774193314e+00,-4.883870715666667195e-01,2.482087315049822607e+00
1.550000000000000044e+00,3.280356263799999965e+02,-6.263861807661290193e+00,3.520276987333333385e-01,2.475825474602034060e+00
1.600000000000000089e+00,3.152447741299999961e+02,-6.262146431693548010e+00,-6.044405635033333057e-01,2.475932069038113248e+00
1.650000000000000133e+00,3.212603378599999928e+02,-6.264387613629032181e+00,5.957478604799999466e-01,2.488714670308206145e+00
1.700000000000000178e+00,3.096533867300000225e+02,-6.266725822822580838e+00,-3.012284668999998805e-01,2.474754072792671344e+00
1.750000000000000000e+00,3.014142342399999848e+02,-6.269684323870967191e+00,-1.454982596546666729e+00,2.456183980389768262e+00
1.800000000000000044e+00,2.930328688000000170e+02,-6.270576461370968246e+00,4.414498746666661866e-02,2.464217762486829333e+00
1.850000000000000089e+00,2.933306666999999948e+02,-6.270680517016129052e+00,-3.001600104766666832e-01,2.484245428277610301e+00
1.900000000000000133e+00,3.047173180699999762e+02,-6.271016929274193963e+00,6.682516828666665853e-01,2.510256473622092699e+00
1.950000000000000178e+00,2.781058079800000087e+02,-6.265691724596774037e+00,9.231419292433334922e-01,2.518629112094014744e+00
2.000000000000000000e+00,3.134749094499999842e+02,-6.267592121532258531e+00,-9.030713848333333793e-01,2.510776913068449634e+00
2.050000000000000266e+00,3.351196271599999932e+02,-6.267698571209677105e+00,9.265852371199999604e-01,2.500023425199981997e+00
2.100000000000000089e+00,3.080166260099999818e+02,-6.262125331774194059e+00,7.343385200666663337e-02,2.472191908480678268e+00
2.149999999999999911e+00,3.358015246300000172e+02,-6.263559735887096913e+00,-9.905062036533333059e-01,2.443485039160870897e+00
2.200000000000000178e+00,3.494941887400000269e+02,-6.264290892258064680e+00,-6.673752013933332838e-01,2.446312537078310534e+00
2.250000000000000000e+00,3.455809365900000216e+02,-6.263272446693548545e+00,-1.049268794196666743e+00,2.478505567173243662e+00
2.300000000000000266e+00,3.727270352499999717e+02,-6.266493934435484192e+00,1.079548055150000074e+00,2.510110227763548529e+00
2.350000000000000089e+00,3.423101602899999989e+02,-6.263898234516128483e+00,4.133498795333334086e-01,2.515708762097353723e+00
2.400000000000000355e+00,3.121630996800000162e+02,-6.264190313064515792e+00,1.059895881696666597e+00,2.492485200450230032e+00
2.450000000000000178e+00,2.961997203799999738e+02,-6.265255163225806889e+00,-6.527719171233333784e-01,2.452602954638914756e+00
2.500000000000000000e+00,3.001422114700000066e+02,-6.266753804193547772e+00,-1.209240519570000005e+00,2.431416237262374658e+00
2.550000000000000266e+00,3.024882226099999798e+02,-6.266610628225806501e+00,-3.715677449999998244e-02,2.442494755706768661e+00
2.600000000000000089e+00,3.440380122700000243e+02,-6.269519865887096977e+00,1.509950520499999949e-01,2.470291633666429121e+00
2.650000000000000355e+00,3.475796447499999999e+02,-6.266712269354838050e+00,-8.390870514333333141e-02,2.504130315481410740e+00
2.700000000000000178e+00,3.356079547699999921e+02,-6.261983579516129161e+00,9.886633483666665834e-01,2.515076759143787033e+00
2.750000000000000000e+00,3.448106838499999753e+02,-6.261097543951612998e+00,4.171715514466666774e-01,2.496852536435483660e+00
2.800000000000000266e+00,3.436633904700000244e+02,-6.259783019112903801e+00,-8.645374395933332901e-01,2.466706001730960551e+00
2.850000000000000089e+00,3.565257852400000047e+02,-6.260123768387097165e+00,-3.061617136333333877e-01,2.436617504397820433e+00
2.900000000000000355e+00,3.673374706600000081e+02,-6.260770739758064529e+00,-7.469934513999999526e-01,2.436685263342129204e+00
2.950000000000000178e+00,3.528368447999999944e+02,-6.258793401451613114e+00,-1.137338428833333664e-01,2.457042546073062717e+00
3.000000000000000000e+00,3.693883660299999860e+02,-6.260970833387096590e+00,8.619057675000000307e-01,2.470849383520146159e+00
3.050000000000000266e+00,3.233167389100000264e+02,-6.255181259596774623e+00,-3.962797094766667416e-01,2.463798689669157937e+00
3.100000000000000089e+00,3.422126091200000246e+02,-6.257342436209677672e+00,-6.175727837566666878e-01,2.469186757366846674e+00
3.150000000000000355e+00,3.988919186499999796e+02,-6.264655360322580968e+00,8.488714422900000001e-01,2.482169673636449581e+00
3.200000000000000178e+00,3.132524938399999996e+02,-6.254209790322581064e+00,-2.079184178066666444e-01,2.483596693964852609e+00
3.250000000000000000e+00,3.609790198800000098e+02,-6.260904150806451796e+00,6.344921583699999479e-01,2.476665945625255993e+00
3.300000000000000266e+00,3.566081122200000095e+02,-6.260622712016129299e+00,-5.372274247000000669e-01,2.459655150102864951e+00
3.350000000000000089e+00,3.226553345799999875e+02,-6.255134929435484104e+00,-2.317811399033332942e-01,2.439450846131093531e+00
3.400000000000000355e+00,3.805566153400000076e+02,-6.259022451693548206e+00,-6.922930900233333906e-01,2.430207496155113667e+00
3.450000000000000178e+00,3.899267669299999852e+02,-6.256636624516128897e+00,-9.250381113803332056e-01,2.440264058679316950e+00
