lag_ps,Li_A2,P_A2,O_A2,N_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,5.449895361414615058e-01,1.190779559258868803e-01,2.745022875133976692e-01,2.527678703919378211e-01
2.000000000000000111e-01,7.698081905505537170e-01,1.607560424503182150e-01,3.704027897978079409e-01,3.408330392072989601e-01
3.000000000000000444e-01,9.288924037559408431e-01,1.684947273020740988e-01,4.104959713750506722e-01,3.683115449439295364e-01
4.000000000000000222e-01,1.072499429509419677e+00,1.713634833378842315e-01,4.382492480299121085e-01,3.916365234862850819e-01
5.000000000000000000e-01,1.210579209121793509e+00,1.785362397825730196e-01,4.675080672916845370e-01,4.140115551871013100e-01
6.000000000000000888e-01,1.346061026149904194e+00,1.873634604964602990e-01,4.968039821593475680e-01,4.400469845874891428e-01
7.000000000000000666e-01,1.478700152063650464e+00,1.946958793922158037e-01,5.248370757281559662e-01,4.589023928482034997e-01
8.000000000000000444e-01,1.604849458583132327e+00,2.008213607182936511e-01,5.497026356661166568e-01,4.732902351838776944e-01
9.000000000000000222e-01,1.729335971425799867e+00,2.056566878550505906e-01,5.717103234256607491e-01,4.877519766075048557e-01
1.000000000000000000e+00,1.850659000834833368e+00,2.106926631361805413e-01,5.930362701820891536e-01,5.046557434094683936e-01
1.100000000000000089e+00,1.973967765700417987e+00,2.156672994672037824e-01,6.145570756104932197e-01,5.192417507937513443e-01
1.200000000000000178e+00,2.092335797933401409e+00,2.203943094353496279e-01,6.340810577747023613e-01,5.379864430379760476e-01
1.300000000000000044e+00,2.211659305512329254e+00,2.241766294943681181e-01,6.525188253407038230e-01,5.521646796947972113e-01
1.400000000000000133e+00,2.330577934600242873e+00,2.280804758331434201e-01,6.711451252612321561e-01,5.687562398193879432e-01
1.500000000000000000e+00,2.452087197282793340e+00,2.318650459441081446e-01,6.897342950361616820e-01,5.863711128835186193e-01
1.600000000000000089e+00,2.573148841581373691e+00,2.370287652923272481e-01,7.089277396050135405e-01,5.983988768160212190e-01
1.700000000000000178e+00,2.692959135761213929e+00,2.403885979997789635e-01,7.251053816224279913e-01,6.098218527142439394e-01
1.800000000000000044e+00,2.813777661093771254e+00,2.445239335902781030e-01,7.426158155666702232e-01,6.192652332954809991e-01
1.900000000000000133e+00,2.934677706015136778e+00,2.479489029443010251e-01,7.584635536438786296e-01,6.288444838275052406e-01
2.000000000000000000e+00,3.055456238709505001e+00,2.525668403580326182e-01,7.764194772703983949e-01,6.418395922086462813e-01
2.100000000000000089e+00,3.173680293394270269e+00,2.554952370237547621e-01,7.933357073921319946e-01,6.536262661958252007e-01
2.200000000000000178e+00,3.291540122155652615e+00,2.588127512368372241e-01,8.084140432503950091e-01,6.641394715252131320e-01
2.300000000000000266e+00,3.411868272554152703e+00,2.622946467652330638e-01,8.241171947707096601e-01,6.776928936767786515e-01
2.400000000000000355e+00,3.526671467391892190e+00,2.648446551940749072e-01,8.378574335483471858e-01,6.900852050705257312e-01
2.500000000000000000e+00,3.645290686224453847e+00,2.674276143878921430e-01,8.533047713658959976e-01,7.011573421965979769e-01
2.600000000000000089e+00,3.766201830952800034e+00,2.714576895634714382e-01,8.698356334157000269e-01,7.132833536876973524e-01
2.700000000000000178e+00,3.886679225379662039e+00,2.758244467497115715e-01,8.872647641395932094e-01,7.253597647373005719e-01
2.800000000000000266e+00,4.006851399397431734e+00,2.785228450469721118e-01,9.022432074092582299e-01,7.345399010918310934e-01
2.900000000000000355e+00,4.127654865958027663e+00,2.812702969368884309e-01,9.167375551823230273e-01,7.417226594598553824e-01
3.000000000000000000e+00,4.247513135594960687e+00,2.841934106491397216e-01,9.312660176379290444e-01,7.532991912986107819e-01
