time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
5.000000000000000278e-02,8.667772457900000518e+02,-6.186832757661290039e+00,1.156005198269900003e+00,2.379460488465251267e+00
1.000000000000000056e-01,8.218888475700000527e+02,-6.174246979112902878e+00,-8.803125232000000855e-01,2.361442932642707770e+00
1.500000000000000222e-01,8.244809991900000341e+02,-6.163021258064516061e+00,-4.114019421833334245e-01,2.339947848841791078e+00
2.000000000000000111e-01,8.247176347299999861e+02,-6.156821636048387170e+00,2.542850392973333484e+00,2.328417435991133377e+00
2.500000000000000000e-01,8.578583633599999985e+02,-6.160426972903225717e+00,-1.794984154393333364e+00,2.326166531705084140e+00
3.000000000000000444e-01,9.302431807599999729e+02,-6.169394837419354793e+00,-1.972202035163333589e+00,2.331868786480301381e+00
3.500000000000000333e-01,8.905047462799999494e+02,-6.164209314193549005e+00,2.696283916900000577e+00,2.345087257932555680e+00
4.000000000000000222e-01,9.647607900599999766e+02,-6.173310235967742088e+00,-7.967297980266666579e-01,2.356221364295525866e+00
4.500000000000000111e-01,9.495428392400000348e+02,-6.171952888225806788e+00,7.153822999999994055e-03,2.361467690145472975e+00
5.000000000000000000e-01,8.479900595200000453e+02,-6.160889996370968014e+00,3.188828489200000060e+00,2.355560195685406644e+00
5.500000000000000444e-01,8.572064465800000335e+02,-6.164328736048386936e+00,-1.273939653000000505e-01,2.332727756160808852e+00
6.000000000000000888e-01,8.182309579999999869e+02,-6.160464338709677357e+00,6.027435316666667625e-02,2.315092060574102106e+00
6.500000000000000222e-01,8.395580122300000312e+02,-6.161651117822580126e+00,-1.546155362336666839e+00,2.305317522283313103e+00
7.000000000000000666e-01,9.544585318499999858e+02,-6.171148687258064314e+00,-4.041469022433333280e-01,2.314078149696272568e+00
7.500000000000000000e-01,8.510703367700000399e+02,-6.151598713629032211e+00,-4.731315664533333187e-01,2.331198378530377813e+00
8.000000000000000444e-01,9.984810545300000513e+02,-6.164307821854838387e+00,-9.152199758133332530e-01,2.343935670627433243e+00
8.500000000000000888e-01,9.037089210200000480e+02,-6.149511048951612935e+00,1.069057053843333494e+00,2.350290893622351440e+00
9.000000000000000222e-01,9.823394822799999702e+02,-6.163068605241935671e+00,-4.272781681899999739e-01,2.346557644679891474e+00
