T_K,lo_ps,hi_ps,D_cm2_s,R2,alpha
600,10,50,1.5327885889920584e-06,0.9999081905676698,0.7914673672996039
600,20,80,1.5664465650678408e-06,0.9999278399880704,0.8829858445847764
600,20,100,1.5650965163043613e-06,0.9999655092516404,0.8953651096835817
600,20,150,1.5719215330822257e-06,0.9999556337143508,0.917125894206731
600,40,120,1.5731315976137312e-06,0.9999754097049488,0.9340122893750624
600,50,150,1.5733089069846334e-06,0.9999201502178982,0.9462201328840419
600,50,200,1.5227290694114534e-06,0.9994310888280741,0.9360667977717742
600,100,250,1.478029557779793e-06,0.9997449221141873,0.9258126280942256
600,100,300,1.4601707501438438e-06,0.9997649756338081,0.9242720489123178
900,10,50,2.1655033384611487e-05,0.9999757948484582,0.9996922584163485
900,20,80,2.2652707369416452e-05,0.9995465677637985,1.0294226576741021
900,20,100,2.2856189999346984e-05,0.9997493844785086,1.0339090590606783
900,20,150,2.287522513410551e-05,0.9999391625186927,1.0312208959030575
900,40,120,2.3055891509046136e-05,0.9999171965778865,1.042809399558704
900,50,150,2.2955612296507356e-05,0.999948853842535,1.0315141256476923
900,50,200,2.3003210752572966e-05,0.9999461259933512,1.0267746705166416
900,100,250,2.3762103049604966e-05,0.9995507104263219,1.0395325715359436
900,100,300,2.4236425149422625e-05,0.9979080449604826,1.0517969024536113
1200,10,50,6.937500007426078e-05,0.9999787143335116,0.9812561436027062
1200,20,80,6.88327916435083e-05,0.9999693340145869,0.9866587837999934
1200,20,100,6.93360846411642e-05,0.999940788455985,0.991076514308737
1200,20,150,6.79993833151981e-05,0.9995344742964494,0.98559002458382
1200,40,120,6.942269927699033e-05,0.9998950468691687,0.9954485487569756
1200,50,150,6.731107911291403e-05,0.9991566150636951,0.9802673549201388
1200,50,200,6.206623537741654e-05,0.995406403949329,0.9367676401584535
1200,100,250,5.3107219261493115e-05,0.9957362087281614,0.8241960766484667
1200,100,300,4.904479795961752e-05,0.9925971967844659,0.7897636544701063
1500,10,50,0.00014322427056942394,0.9997152079062533,1.0123986799940634
1500,20,80,0.00014501627240387567,0.9998899327155426,1.0271061770872003
1500,20,100,0.00014341685359961216,0.9998341388463423,1.0181590766746487
1500,20,150,0.00013701384052130773,0.9990501925783252,0.9921237165123179
1500,40,120,0.00013882673981844356,0.999528178543087,0.9851640989915109
1500,50,150,0.0001332783646842496,0.9992885675737087,0.9547193119086942
1500,50,200,0.00012706350648218615,0.9985266644100759,0.9314381271459137
1500,100,250,0.000113746950915312,0.9974988951981728,0.8617983108606034
1500,100,300,0.00012148764066396834,0.9923271896153042,0.9022716360601976
