lag_ps,Li_A2,P_A2,O_A2,N_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.893964516598506731e-01,7.327092593286260724e-02,1.670836179479696648e-01,1.471791109694585153e-01
2.000000000000000111e-01,3.548507393796281328e-01,8.683494862964799554e-02,1.983025710951705489e-01,1.762763251321623759e-01
3.000000000000000444e-01,3.839539872987826619e-01,8.253984685476443983e-02,2.001719237354893655e-01,1.793214040989160041e-01
4.000000000000000222e-01,4.080281960184022338e-01,7.990162526839024448e-02,2.021993721637683761e-01,1.809741702488014414e-01
5.000000000000000000e-01,4.320429685968460998e-01,8.300506419025045768e-02,2.105074509931467719e-01,1.882473351369937931e-01
6.000000000000000888e-01,4.541756118042897805e-01,8.595062834456022871e-02,2.182115680661610713e-01,1.966789879491192550e-01
7.000000000000000666e-01,4.747203219814239428e-01,8.820136274608011973e-02,2.255989775520887697e-01,2.022597467851009467e-01
8.000000000000000444e-01,4.939597231879476746e-01,8.985111909447732192e-02,2.310867923429937021e-01,2.070576973863888781e-01
9.000000000000000222e-01,5.102834963407577584e-01,9.096108693132883005e-02,2.362490548882760222e-01,2.107717211716811090e-01
1.000000000000000000e+00,5.262229613047547661e-01,9.219443889367318068e-02,2.402328410757858801e-01,2.144354502056075307e-01
1.100000000000000089e+00,5.424572047912806783e-01,9.278107742968559613e-02,2.434841037178886447e-01,2.170760128013383417e-01
1.200000000000000178e+00,5.574297749882537456e-01,9.379676896603104941e-02,2.472955301993680355e-01,2.213636932865085116e-01
1.300000000000000044e+00,5.723726826306728688e-01,9.498016411607855536e-02,2.514841337085200745e-01,2.240235094134384042e-01
1.400000000000000133e+00,5.870134842765615257e-01,9.603207652760184510e-02,2.560112833647441577e-01,2.269543697561748896e-01
1.500000000000000000e+00,6.013086297437227890e-01,9.708743509902684199e-02,2.593101462891743147e-01,2.311199052478348503e-01
1.600000000000000089e+00,6.142460242757926681e-01,9.764955449669825149e-02,2.615022201206479990e-01,2.335100936773152891e-01
1.700000000000000178e+00,6.263887117566724339e-01,9.794594781107800185e-02,2.644020868782707145e-01,2.370535217790092353e-01
1.800000000000000044e+00,6.388751868811284318e-01,9.851616342385180469e-02,2.673486729501287074e-01,2.399965418111844329e-01
1.900000000000000133e+00,6.530002797931491187e-01,9.970692701339244068e-02,2.708031344000905172e-01,2.423824208007411829e-01
2.000000000000000000e+00,6.656001844204685325e-01,1.000777518860578308e-01,2.736927646759100274e-01,2.452078572027218129e-01
2.100000000000000089e+00,6.786134532182329648e-01,1.010080727861409483e-01,2.762873005676392824e-01,2.478647682938636965e-01
2.200000000000000178e+00,6.902950872913995450e-01,1.016126057037188279e-01,2.786996010496310960e-01,2.511503912085352730e-01
2.300000000000000266e+00,7.027883436104357395e-01,1.018128186023049969e-01,2.804549589995974368e-01,2.519461191986847037e-01
2.400000000000000355e+00,7.157981665245000125e-01,1.022909263804065022e-01,2.830703928414536330e-01,2.541779865352558065e-01
2.500000000000000000e+00,7.275844821075744262e-01,1.029586513751485494e-01,2.855813087359840297e-01,2.568518450946292164e-01
2.600000000000000089e+00,7.402327184065436994e-01,1.032817546970033473e-01,2.876080318562173610e-01,2.579668041431589787e-01
2.700000000000000178e+00,7.526542988071883711e-01,1.036413604126278087e-01,2.893982429584540661e-01,2.600722045913749225e-01
2.800000000000000266e+00,7.655735813210526874e-01,1.046177489887849255e-01,2.921472704106842233e-01,2.635738862116899228e-01
