replica,lo_ps,hi_ps,D_cm2_s,R2,alpha
4,20,100,1.6651560063486259e-06,0.9998941820120293,0.8643910664454517
4,20,150,1.60223292359588e-06,0.9988462497070096,0.8723024567100925
4,50,150,1.566862738704412e-06,0.9983220435367697,0.887416029357515
4,50,200,1.5105181546355834e-06,0.9987870905922682,0.8767717382666218
4,100,250,1.5358833690939788e-06,0.9980917544806076,0.904414369160825
4,100,300,1.5493873748094296e-06,0.9988104776352602,0.9225311091265646
5,20,100,1.5650965163043613e-06,0.9999655092516404,0.8953651096835817
5,20,150,1.5719215330822257e-06,0.9999556337143508,0.917125894206731
5,50,150,1.5733089069846334e-06,0.9999201502178982,0.9462201328840419
5,50,200,1.5227290694114534e-06,0.9994310888280741,0.9360667977717742
5,100,250,1.478029557779793e-06,0.9997449221141873,0.9258126280942256
5,100,300,1.4601707501438438e-06,0.9997649756338081,0.9242720489123178
