lag_ps,Li_A2,P_A2,O_A2,N_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.946698559903843662e-01,7.346446710130173641e-02,1.668424226368740715e-01,1.490062788977457586e-01
2.000000000000000111e-01,3.632825424091510325e-01,8.719193077394074565e-02,1.972618335142633239e-01,1.833850763275546025e-01
3.000000000000000444e-01,3.945792008555281116e-01,8.266840089057697627e-02,1.983472864559947535e-01,1.904420784286879331e-01
4.000000000000000222e-01,4.191831323077919724e-01,8.028944766867722460e-02,2.003514983726361054e-01,1.945490902841555680e-01
5.000000000000000000e-01,4.437972962662715681e-01,8.305467091160097237e-02,2.082019495141890220e-01,2.017825941026395731e-01
6.000000000000000888e-01,4.687940755438726459e-01,8.658031205168345568e-02,2.157608726910108243e-01,2.115795843068618842e-01
7.000000000000000666e-01,4.887323953192359016e-01,8.800229456949357210e-02,2.214245767149292388e-01,2.148705901406736118e-01
8.000000000000000444e-01,5.077766249295567746e-01,8.907733454595137546e-02,2.263123783693140323e-01,2.195787157007839663e-01
9.000000000000000222e-01,5.251657911991115535e-01,8.974552101705718377e-02,2.302657914965993702e-01,2.251311812705129312e-01
1.000000000000000000e+00,5.426754899108382491e-01,9.121419401006164440e-02,2.350222491227841048e-01,2.324946597257304126e-01
1.100000000000000089e+00,5.599387077500775911e-01,9.289581699685486860e-02,2.388551567170714707e-01,2.364034170289407988e-01
1.200000000000000178e+00,5.744492275901488254e-01,9.357716530766539698e-02,2.414271247288448663e-01,2.392032842767080891e-01
1.300000000000000044e+00,5.903894734324212079e-01,9.323669573107790098e-02,2.430618358640291854e-01,2.433647411231516788e-01
1.400000000000000133e+00,6.061823902621477078e-01,9.427373013401975366e-02,2.465045372479666985e-01,2.484266936100972267e-01
1.500000000000000000e+00,6.213766126452060501e-01,9.643805511393559182e-02,2.513344746674248675e-01,2.522336490515584839e-01
1.600000000000000089e+00,6.342096983316281023e-01,9.727867413771644489e-02,2.543446103195657892e-01,2.580573384330733244e-01
1.700000000000000178e+00,6.481944085977712211e-01,9.784876549323505424e-02,2.573114035551000711e-01,2.623992682037815660e-01
1.800000000000000044e+00,6.635207836992985664e-01,9.875351189750673775e-02,2.603915546951464655e-01,2.671867083071319260e-01
1.900000000000000133e+00,6.779043478303071746e-01,9.950585282385233932e-02,2.629745779329360489e-01,2.719094065301043139e-01
2.000000000000000000e+00,6.919428957122729651e-01,1.003750508525432517e-01,2.662193172534171870e-01,2.738431824204650145e-01
2.100000000000000089e+00,7.065848920273821721e-01,1.007811904268503672e-01,2.692024868158935935e-01,2.778499245126614947e-01
2.200000000000000178e+00,7.209977106007751102e-01,1.015235370674080900e-01,2.721553975951183091e-01,2.826962465038037053e-01
2.300000000000000266e+00,7.347540615503854733e-01,1.025711862690895509e-01,2.746364913713499889e-01,2.875777623774742331e-01
2.400000000000000355e+00,7.478207020556265627e-01,1.032637785649067469e-01,2.772612509663388569e-01,2.906679732938801108e-01
2.500000000000000000e+00,7.624947064224872895e-01,1.033355117446780325e-01,2.799697571715363265e-01,2.926022873327725482e-01
2.600000000000000089e+00,7.793497387173735635e-01,1.041782205599235955e-01,2.828655548769095640e-01,2.968230213281471408e-01
2.700000000000000178e+00,7.923704214130122825e-01,1.044883804299074764e-01,2.839309022814406336e-01,2.989766250776202949e-01
2.800000000000000266e+00,8.058054974497197431e-01,1.051701033830614862e-01,2.861706012970692825e-01,3.000343211939245913e-01
2.900000000000000355e+00,8.202651375882310525e-01,1.055999973869989339e-01,2.885010462843136114e-01,3.051366484763675113e-01
3.000000000000000000e+00,8.342448177002894649e-01,1.056351680358717376e-01,2.901072771439618947e-01,3.080267490483133974e-01
3.100000000000000089e+00,8.467619043760691300e-01,1.065593988614740445e-01,2.933601477242183120e-01,3.126975758425100116e-01
3.200000000000000178e+00,8.599963244841720700e-01,1.072080708741249833e-01,2.958741206573162752e-01,3.163349614788278918e-01
3.300000000000000266e+00,8.724658122299046026e-01,1.077412270200910904e-01,2.983345394638634573e-01,3.188385904506822466e-01
3.400000000000000355e+00,8.844642860383545857e-01,1.076800896385903816e-01,2.994152472226138118e-01,3.198151507594432230e-01
3.500000000000000000e+00,8.980187804429181631e-01,1.078940511280443021e-01,3.011347724689211192e-01,3.241275650484893300e-01
3.600000000000000089e+00,9.129032728755324122e-01,1.090529679987232020e-01,3.040531269635298184e-01,3.267202640337306674e-01
3.700000000000000178e+00,9.262752564055584115e-01,1.098469095958984204e-01,3.066094796753009999e-01,3.295558111325102013e-01
3.800000000000000266e+00,9.383530652191052202e-01,1.101215906891235274e-01,3.094593866848548425e-01,3.312536190759556298e-01
3.900000000000000355e+00,9.491419221164854036e-01,1.105205091500238018e-01,3.108139619170761647e-01,3.336147730058600658e-01
4.000000000000000000e+00,9.627433226371545638e-01,1.107641740983700551e-01,3.124346438983921503e-01,3.369710269811716508e-01
4.100000000000000533e+00,9.761137737705158912e-01,1.112505422340177574e-01,3.155763961025858100e-01,3.367675174869066979e-01
4.200000000000000178e+00,9.906919693309985675e-01,1.129337561642329707e-01,3.185933880540844920e-01,3.392524487807456746e-01
4.299999999999999822e+00,1.001997542853189316e+00,1.132074609356357453e-01,3.204803697951620345e-01,3.436713591844524074e-01
4.400000000000000355e+00,1.013359277828560945e+00,1.131189973231129242e-01,3.219694959125167233e-01,3.463487735878635898e-01
4.500000000000000000e+00,1.024510643410623700e+00,1.128250457916743221e-01,3.231062475375104381e-01,3.466418991024589058e-01
4.600000000000000533e+00,1.037475796313827914e+00,1.138716684040389227e-01,3.258405751232409941e-01,3.495755382234167485e-01
4.700000000000000178e+00,1.051005542604009246e+00,1.145828043413067848e-01,3.280056870578822448e-01,3.527684713550689466e-01
4.800000000000000711e+00,1.065280750818713651e+00,1.153064747565387266e-01,3.303994536854082953e-01,3.548504101908641628e-01
4.900000000000000355e+00,1.076075776454607169e+00,1.155784521627419292e-01,3.317238813095594319e-01,3.565351584340394897e-01
5.000000000000000000e+00,1.088267900747542205e+00,1.159915901481599898e-01,3.339642114804122763e-01,3.567018281881747521e-01
5.100000000000000533e+00,1.099994212804913607e+00,1.160909189525199253e-01,3.352257009471595883e-01,3.557172742357738726e-01
5.200000000000000178e+00,1.111691243259478101e+00,1.168463295174555633e-01,3.365856052226148254e-01,3.581296845213918778e-01
5.300000000000000711e+00,1.124728458136420528e+00,1.168281797978285852e-01,3.382338120043542617e-01,3.608571907192512085e-01
5.400000000000000355e+00,1.138087305505436797e+00,1.170654793692939427e-01,3.400744758469155804e-01,3.616265185155384532e-01
5.500000000000000000e+00,1.151548042592846377e+00,1.178089968798789189e-01,3.418975033937753927e-01,3.643960942112615675e-01
5.600000000000000533e+00,1.164501837245315752e+00,1.183296900621116782e-01,3.438746791559162408e-01,3.665097728921455356e-01
5.700000000000000178e+00,1.176390656555144743e+00,1.188870115992202159e-01,3.456143775745606495e-01,3.691632356165684969e-01
