hold_time_ps,S_O,Zr_O,Zr_Cl,Li_Cl,minimum_pair_A
1.000000000000000056e-01,4.000000000000000000e+00,1.500000000000000000e+00,4.156250000000000000e+00,4.375000000000000000e+00,1.392254515806039095e+00
2.000000000000000111e-01,4.000000000000000000e+00,1.500000000000000000e+00,4.156250000000000000e+00,4.281250000000000000e+00,1.370722621907804584e+00
3.000000000000000444e-01,4.000000000000000000e+00,1.500000000000000000e+00,4.187500000000000000e+00,4.312500000000000000e+00,1.406062085852156196e+00
4.000000000000000222e-01,4.000000000000000000e+00,1.500000000000000000e+00,4.218750000000000000e+00,4.375000000000000000e+00,1.398795591854091969e+00
5.000000000000000000e-01,4.000000000000000000e+00,1.500000000000000000e+00,4.187500000000000000e+00,4.218750000000000000e+00,1.407461464800870754e+00
6.000000000000000888e-01,4.000000000000000000e+00,1.531250000000000000e+00,4.218750000000000000e+00,4.218750000000000000e+00,1.382278564818447020e+00
7.000000000000000666e-01,4.000000000000000000e+00,1.531250000000000000e+00,4.156250000000000000e+00,4.187500000000000000e+00,1.402672160011342095e+00
8.000000000000000444e-01,4.000000000000000000e+00,1.531250000000000000e+00,4.187500000000000000e+00,4.218750000000000000e+00,1.384111278243688625e+00
9.000000000000000222e-01,4.000000000000000000e+00,1.562500000000000000e+00,4.218750000000000000e+00,4.187500000000000000e+00,1.395735364186369010e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.562500000000000000e+00,4.187500000000000000e+00,4.156250000000000000e+00,1.402226114977259464e+00
1.100000000000000089e+00,4.000000000000000000e+00,1.531250000000000000e+00,4.125000000000000000e+00,4.156250000000000000e+00,1.391236424916193926e+00
1.200000000000000178e+00,4.000000000000000000e+00,1.531250000000000000e+00,4.125000000000000000e+00,4.437500000000000000e+00,1.398530657422937695e+00
1.300000000000000044e+00,4.000000000000000000e+00,1.531250000000000000e+00,4.156250000000000000e+00,4.343750000000000000e+00,1.397899389131483927e+00
