time_ps,T_K,PE_eV_atom,P_GPa
5.000000000000000278e-02,2.936918287600000212e+02,-5.469224515073529247e+00,-8.060531771033334347e-02
1.000000000000000056e-01,3.163406486299999756e+02,-5.471529905882353439e+00,5.074318805299999485e-02
1.500000000000000222e-01,2.959458441500000276e+02,-5.468636698161764897e+00,-1.410063299706666717e-01
2.000000000000000111e-01,3.081470159200000012e+02,-5.468882125735293975e+00,1.238123482043333307e-01
2.500000000000000000e-01,3.137107977300000243e+02,-5.467439527941175825e+00,-3.599806743833333100e-01
3.000000000000000444e-01,3.171972779100000253e+02,-5.466086695220588432e+00,-5.344960007666666596e-02
3.500000000000000333e-01,2.958299893999999881e+02,-5.462440111764705897e+00,-3.924335773425666890e-02
4.000000000000000222e-01,3.098260161599999947e+02,-5.464017081249999741e+00,-3.481945547066666591e-01
4.500000000000000111e-01,3.138481688100000042e+02,-5.465384565808824036e+00,4.495153629266666617e-01
5.000000000000000000e-01,2.965789179600000125e+02,-5.465827940073530122e+00,-3.233340142733333589e-01
5.500000000000000444e-01,3.138471839100000125e+02,-5.470328093750000065e+00,3.167342919303333670e-01
6.000000000000000888e-01,2.963211089299999799e+02,-5.469326825735294051e+00,6.939804264166665737e-02
6.500000000000000222e-01,3.100860864900000138e+02,-5.471300790808823145e+00,1.866010025400000050e-01
7.000000000000000666e-01,2.843688202999999817e+02,-5.468039202205882354e+00,1.598410173026666714e-01
7.500000000000000000e-01,2.839689099299999953e+02,-5.467398593749999591e+00,1.059599216246666642e-01
8.000000000000000444e-01,3.301788048899999808e+02,-5.471668825735294561e+00,1.690947474113333460e-01
8.500000000000000888e-01,3.035800639299999943e+02,-5.467137348897058935e+00,2.143789518290000196e-01
9.000000000000000222e-01,3.046276097699999923e+02,-5.466320528308822979e+00,9.883132501140000359e-02
9.500000000000000666e-01,3.187112260499999934e+02,-5.467211325367647312e+00,2.949066668133333291e-01
1.000000000000000000e+00,3.077487189899999862e+02,-5.464830800735294147e+00,4.571975529233333613e-01
1.050000000000000044e+00,3.101791111800000067e+02,-5.463608497058823232e+00,4.832157817433333502e-01
1.100000000000000089e+00,3.379775210799999741e+02,-5.466181923161764544e+00,1.477361981303333405e-01
1.150000000000000133e+00,3.192756528499999717e+02,-5.465117020955881699e+00,7.445681960763333995e-02
1.200000000000000178e+00,3.010532098200000064e+02,-5.465532805882353351e+00,-2.462636203233333279e-02
1.250000000000000000e+00,3.051646638899999857e+02,-5.467767893382352362e+00,1.735025103233333310e-01
1.300000000000000044e+00,3.080562106300000096e+02,-5.468932839705882287e+00,4.159009544033333283e-02
1.350000000000000089e+00,3.077441317600000161e+02,-5.469357670220587941e+00,-3.158762077699999726e-01
1.400000000000000133e+00,3.039349322200000074e+02,-5.469244303676470409e+00,9.358013923276665980e-02
1.450000000000000178e+00,2.821714957199999958e+02,-5.466820498161764519e+00,-1.274777057831666671e-01
1.500000000000000000e+00,2.812721087499999726e+02,-5.466454362132353140e+00,1.507622025910000108e-01
1.550000000000000044e+00,3.002607956900000090e+02,-5.467277140073528940e+00,1.000375654823333349e-01
1.600000000000000089e+00,3.266761788000000024e+02,-5.467412402573529562e+00,2.000300474456666588e-01
1.650000000000000133e+00,3.081568864999999846e+02,-5.463251130882352591e+00,5.039637424399999732e-01
