lag_ps,MSD_A2
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.945234572771483483e-01
2.000000000000000111e-01,4.136335277351369522e-01
3.000000000000000444e-01,4.801405571811806494e-01
4.000000000000000222e-01,5.318832271112400312e-01
5.000000000000000000e-01,5.683503603247211933e-01
6.000000000000000888e-01,5.957067524078658582e-01
7.000000000000000666e-01,6.146150175963484008e-01
8.000000000000000444e-01,6.295323817636767627e-01
9.000000000000000222e-01,6.410242732149860068e-01
1.000000000000000000e+00,6.502273646601377521e-01
1.100000000000000089e+00,6.570434402765871207e-01
1.200000000000000178e+00,6.648496127219420959e-01
1.300000000000000044e+00,6.739257626147419078e-01
1.400000000000000133e+00,6.814678590312790440e-01
1.500000000000000000e+00,6.905777553755759746e-01
1.600000000000000089e+00,6.993422972679838034e-01
1.700000000000000178e+00,7.098742772755317620e-01
1.800000000000000044e+00,7.209111825507811266e-01
1.900000000000000133e+00,7.321921517031837467e-01
2.000000000000000000e+00,7.416142120322400944e-01
2.100000000000000089e+00,7.502002172936367286e-01
2.200000000000000178e+00,7.580599345179457327e-01
2.300000000000000266e+00,7.684470716028816151e-01
2.400000000000000355e+00,7.759329834585992902e-01
2.500000000000000000e+00,7.829264770512355254e-01
2.600000000000000089e+00,7.898533793575217565e-01
2.700000000000000178e+00,7.953093758767011412e-01
2.800000000000000266e+00,8.023607944793081925e-01
2.900000000000000355e+00,8.096977522767851987e-01
3.000000000000000000e+00,8.168352312856710373e-01
3.100000000000000089e+00,8.237757181536642381e-01
3.200000000000000178e+00,8.291750542980464989e-01
3.300000000000000266e+00,8.352203897399048671e-01
3.400000000000000355e+00,8.399405591227767642e-01
3.500000000000000000e+00,8.445073764383869142e-01
3.600000000000000089e+00,8.500014504650078573e-01
3.700000000000000178e+00,8.569409051397629540e-01
3.800000000000000266e+00,8.655752030917903683e-01
3.900000000000000355e+00,8.711134726551625906e-01
4.000000000000000000e+00,8.764933094740593456e-01
