time_ps,Li_Cl,Zr_Cl,Zr_O,Cl_Cl,minimum_pair_A
1.000000000000000000e+00,4.952380952380952550e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.105263157894737169e+00,1.871229016106669141e+00
2.000000000000000000e+00,4.714285714285714413e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.157894736842105310e+00,1.893091030705973177e+00
3.000000000000000000e+00,4.619047619047618625e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.263157894736842479e+00,1.924445584739324921e+00
4.000000000000000000e+00,4.785714285714285587e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.052631578947368141e+00,1.872717064798291586e+00
5.000000000000000000e+00,4.619047619047618625e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.087719298245613864e+00,1.870933997389495396e+00
6.000000000000000000e+00,4.785714285714285587e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.315789473684210620e+00,1.764685052219047590e+00
7.000000000000000000e+00,4.714285714285714413e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.105263157894737169e+00,1.846843016989729858e+00
8.000000000000000000e+00,4.738095238095238138e+00,5.000000000000000000e+00,1.333333333333333259e+00,6.982456140350877583e+00,1.825190133788794578e+00
9.000000000000000000e+00,4.690476190476190688e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.000000000000000000e+00,1.809415453494523707e+00
1.000000000000000000e+01,4.714285714285714413e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.105263157894737169e+00,1.887490925456248636e+00
1.100000000000000000e+01,4.714285714285714413e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.017543859649122417e+00,1.784860149086669345e+00
1.200000000000000000e+01,4.523809523809523725e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.122807017543859587e+00,1.897106727461653986e+00
1.300000000000000000e+01,4.547619047619047450e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.052631578947368141e+00,1.735431712532726767e+00
1.400000000000000000e+01,4.761904761904761862e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.105263157894737169e+00,1.830099928706160117e+00
1.500000000000000000e+01,4.738095238095238138e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.140350877192982892e+00,1.876643630177626365e+00
1.600000000000000000e+01,4.761904761904761862e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.140350877192982892e+00,1.916971894791571929e+00
1.700000000000000000e+01,4.690476190476190688e+00,5.041666666666666963e+00,1.333333333333333259e+00,6.964912280701754277e+00,1.905213932756341544e+00
1.800000000000000000e+01,4.785714285714285587e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.087719298245613864e+00,1.898613065111061537e+00
1.900000000000000000e+01,4.714285714285714413e+00,4.958333333333333037e+00,1.333333333333333259e+00,7.052631578947368141e+00,1.871973184263551859e+00
2.000000000000000000e+01,4.714285714285714413e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.105263157894737169e+00,1.867353917787218709e+00
2.100000000000000000e+01,4.690476190476190688e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.105263157894737169e+00,1.880321899133180041e+00
2.200000000000000000e+01,4.714285714285714413e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.122807017543859587e+00,1.885853163572447144e+00
2.300000000000000000e+01,4.761904761904761862e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.175438596491227727e+00,1.886337207544419803e+00
2.400000000000000000e+01,4.738095238095238138e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.122807017543859587e+00,1.848458345109093681e+00
2.500000000000000000e+01,4.785714285714285587e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.175438596491227727e+00,1.844787081769058590e+00
2.600000000000000000e+01,4.666666666666666963e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.192982456140351033e+00,1.906451465822088132e+00
2.700000000000000000e+01,4.666666666666666963e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.105263157894737169e+00,1.876035229490499390e+00
2.800000000000000000e+01,4.714285714285714413e+00,4.958333333333333037e+00,1.333333333333333259e+00,7.175438596491227727e+00,1.876953038499534543e+00
2.900000000000000000e+01,4.690476190476190688e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.228070175438596756e+00,1.878006961591953461e+00
3.000000000000000000e+01,4.857142857142856762e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.175438596491227727e+00,1.870177163285735356e+00
3.100000000000000000e+01,4.619047619047618625e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.157894736842105310e+00,1.852435117927149211e+00
3.200000000000000000e+01,4.666666666666666963e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.000000000000000000e+00,1.889789570847988820e+00
3.300000000000000000e+01,4.785714285714285587e+00,5.000000000000000000e+00,1.333333333333333259e+00,7.140350877192982892e+00,1.866619545235290278e+00
3.400000000000000000e+01,4.809523809523809312e+00,5.041666666666666963e+00,1.333333333333333259e+00,7.245614035087719174e+00,1.858058609718026277e+00
3.500000000000000000e+01,4.738095238095238138e+00,4.958333333333333037e+00,1.333333333333333259e+00,7.157894736842105310e+00,1.901140452274975523e+00
