lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.430937510027021409e-01,4.359982671605515392e-02,1.220794357802939545e-01,4.455208113985797275e-02,9.087618850107780089e-02
2.000000000000000111e-01,3.308213358245179481e-01,9.540845862767623198e-02,2.373320068866200117e-01,8.484567381359907345e-02,1.453030809642628929e-01
3.000000000000000444e-01,3.856233216890569970e-01,1.371443142469454535e-01,3.147054464934201934e-01,1.226841311976595017e-01,1.908819367521903398e-01
4.000000000000000222e-01,4.348102663493550457e-01,1.785050371898145860e-01,3.751477661449655332e-01,1.507528987991736125e-01,2.241617545523443555e-01
5.000000000000000000e-01,4.706424093043845014e-01,2.082895377952317384e-01,4.134941695974205245e-01,1.728442729064225136e-01,2.498007856203335042e-01
6.000000000000000888e-01,4.998248152552224877e-01,2.320057701583242982e-01,4.433562340444187067e-01,1.901416289386678726e-01,2.696794510978284265e-01
7.000000000000000666e-01,5.243464128172804495e-01,2.499619070669143739e-01,4.655833343102856459e-01,2.027204393634671198e-01,2.840770959325318312e-01
8.000000000000000444e-01,5.434969799235276344e-01,2.624951941533671396e-01,4.814918629796726135e-01,2.128492154485474297e-01,2.952131715256098299e-01
9.000000000000000222e-01,5.613708626230550225e-01,2.708747604662647412e-01,4.937232667761313198e-01,2.202709773534961835e-01,3.042543166922254128e-01
1.000000000000000000e+00,5.776176985874745817e-01,2.763171765106849365e-01,5.022914152574474711e-01,2.260118447931902808e-01,3.105577463482566691e-01
1.100000000000000089e+00,5.879694010696797646e-01,2.787754932432400246e-01,5.060901287345930255e-01,2.288869894069718580e-01,3.138809340459329245e-01
1.200000000000000178e+00,5.968033524224501951e-01,2.792287652442237422e-01,5.071579561620535026e-01,2.300374150332848422e-01,3.150149552593197733e-01
1.300000000000000044e+00,6.034667291991295812e-01,2.784010556803881986e-01,5.065394218689562855e-01,2.294684957741152387e-01,3.142924444143867513e-01
1.400000000000000133e+00,6.100761718216900498e-01,2.763898054955797323e-01,5.055755762436805467e-01,2.278914134602607611e-01,3.131541753821364127e-01
1.500000000000000000e+00,6.155444890107545364e-01,2.739342676019401734e-01,5.042454493262925608e-01,2.255462171703324914e-01,3.112633869332024350e-01
1.600000000000000089e+00,6.203636389371361970e-01,2.706704446887640003e-01,5.013929666122936002e-01,2.221529642882059674e-01,3.083596931099084615e-01
1.700000000000000178e+00,6.223282401861740532e-01,2.672390606763444532e-01,4.975597769928165048e-01,2.183705263102931338e-01,3.048275853200976271e-01
1.800000000000000044e+00,6.266971169210552306e-01,2.637937791744503491e-01,4.936242928432248434e-01,2.146252233346427618e-01,3.011297487689953978e-01
1.900000000000000133e+00,6.284513734587265921e-01,2.602258158661509557e-01,4.898027929725475293e-01,2.107643726283965346e-01,2.968994384152408017e-01
2.000000000000000000e+00,6.316304463820603399e-01,2.569829068922918625e-01,4.871986995997291126e-01,2.073970442578010054e-01,2.939353845975564705e-01
2.100000000000000089e+00,6.365026037131215064e-01,2.535664730572226300e-01,4.841411100047577909e-01,2.044707806148255702e-01,2.908219624571897199e-01
2.200000000000000178e+00,6.388298871719929606e-01,2.501763106999446706e-01,4.807502290261236877e-01,2.021325534471107577e-01,2.880582662787248283e-01
2.300000000000000266e+00,6.418325927544028531e-01,2.473011740468310238e-01,4.780737991450724200e-01,2.002138432060107109e-01,2.860429928069549432e-01
2.400000000000000355e+00,6.447659626180615167e-01,2.450906856650747478e-01,4.761935997079203564e-01,1.992481676376690880e-01,2.855726224344635189e-01
2.500000000000000000e+00,6.482601184717713405e-01,2.429876002146674763e-01,4.745234412882311514e-01,1.988971876046248255e-01,2.849801424327337296e-01
2.600000000000000089e+00,6.520673444685345377e-01,2.414146441175869517e-01,4.729786113995336772e-01,1.988665510075481868e-01,2.852616843243451772e-01
2.700000000000000178e+00,6.571434035038804522e-01,2.409002517246511266e-01,4.723047170161090436e-01,1.993729822982317768e-01,2.861487605467668560e-01
2.800000000000000266e+00,6.628546802111202618e-01,2.408989211553192733e-01,4.722862605692418891e-01,1.996791303609359303e-01,2.872528599306619079e-01
2.900000000000000355e+00,6.675898931528390090e-01,2.415191466868568948e-01,4.736021349123507584e-01,2.006010448961255965e-01,2.885022760802745667e-01
3.000000000000000000e+00,6.731201271489332116e-01,2.426325654148096256e-01,4.760109300536322641e-01,2.021385427770105991e-01,2.907819090755466851e-01
3.100000000000000089e+00,6.773590649853964418e-01,2.438136181308776795e-01,4.782845989534725284e-01,2.034616120952448259e-01,2.923641124510122369e-01
3.200000000000000178e+00,6.827430201847470848e-01,2.450707056944737561e-01,4.808236700024831056e-01,2.044515338276626237e-01,2.940325796486882859e-01
3.300000000000000266e+00,6.874510768522320570e-01,2.463946933143478235e-01,4.831777952013268651e-01,2.049461010055448618e-01,2.943629066129077598e-01
3.400000000000000355e+00,6.911309764812023637e-01,2.481085545866283659e-01,4.857958165911256398e-01,2.059116242415209297e-01,2.955097575757771322e-01
3.500000000000000000e+00,6.968793069674908969e-01,2.502658670670055430e-01,4.887040393288712425e-01,2.074912197057846575e-01,2.974976630015355727e-01
3.600000000000000089e+00,7.030999579903032259e-01,2.525651858351157242e-01,4.923476831444453805e-01,2.093983236000417913e-01,2.994900304537606028e-01
3.700000000000000178e+00,7.069031088332589086e-01,2.546953716957982006e-01,4.954493808431055246e-01,2.111168015157291467e-01,3.015168774559773279e-01
3.800000000000000266e+00,7.120479358491629274e-01,2.567136397309159879e-01,4.981803505070452887e-01,2.125376461521767124e-01,3.036123422552639561e-01
3.900000000000000355e+00,7.176509442525800253e-01,2.588972938967122328e-01,5.013436259497358050e-01,2.141153106701505771e-01,3.058983196443612607e-01
4.000000000000000000e+00,7.228483338436626493e-01,2.612775902647032633e-01,5.047554320466371980e-01,2.156905258943492831e-01,3.076464876519204861e-01
4.100000000000000533e+00,7.298312914684543795e-01,2.636172725614513435e-01,5.080805418263585338e-01,2.172143099364099161e-01,3.092490491433307898e-01
4.200000000000000178e+00,7.344764719297899314e-01,2.658095176658973324e-01,5.112833230341714552e-01,2.186541293974195443e-01,3.111525494068402842e-01
4.299999999999999822e+00,7.399088764066715784e-01,2.671626917897284015e-01,5.135031310726382303e-01,2.199508079772340974e-01,3.130791425218132917e-01
4.400000000000000355e+00,7.429566125292937917e-01,2.680919549177037120e-01,5.149861763133277703e-01,2.210143599291694294e-01,3.146119542714830852e-01
4.500000000000000000e+00,7.463092998789876420e-01,2.687723745037670642e-01,5.166251321377530736e-01,2.219411103272481700e-01,3.159510514832161721e-01
