T_K,lo_ps,hi_ps,D_cm2_s,R2,alpha
3.200000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,3.257896667909870142e-07,9.889019022488845234e-01,2.643110094481655459e-01
3.200000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,2.090076301460041237e-07,9.719935883163687285e-01,2.838490569655353069e-01
3.200000000000000000e+02,2.000000000000000000e+01,8.000000000000000000e+01,1.408476755375042953e-07,9.908224836216924514e-01,3.030466290522226824e-01
3.200000000000000000e+02,4.000000000000000000e+01,1.000000000000000000e+02,1.636465381899116965e-07,9.901310544277726056e-01,4.494241110228524017e-01
3.300000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,5.390936200571670951e-07,9.976374180204913289e-01,3.669294402752060202e-01
3.300000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,4.743513153789750490e-07,9.982934692021968592e-01,4.784775457031283374e-01
3.300000000000000000e+02,2.000000000000000000e+01,8.000000000000000000e+01,4.003476648080340198e-07,9.964609401717597903e-01,5.722683240617902900e-01
3.300000000000000000e+02,4.000000000000000000e+01,1.000000000000000000e+02,3.763226725024171978e-07,9.993481217126178873e-01,6.199152599301896993e-01
3.400000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,3.806653055795569847e-07,9.948774389292168729e-01,2.655920923996297756e-01
3.400000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,3.027500179080683315e-07,9.964756780221722954e-01,3.406375275549339277e-01
3.400000000000000000e+02,2.000000000000000000e+01,8.000000000000000000e+01,2.661089466025111387e-07,9.990403804184138092e-01,4.470771294851182964e-01
3.400000000000000000e+02,4.000000000000000000e+01,1.000000000000000000e+02,2.632210541478172109e-07,9.989373908113975409e-01,5.463431733740240492e-01
3.500000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,1.588447933720520033e-07,9.545737751217774347e-01,1.365200440289420503e-01
3.500000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,1.404682969495616791e-07,9.951869319743784637e-01,2.055164323590927544e-01
3.500000000000000000e+02,2.000000000000000000e+01,8.000000000000000000e+01,1.043429512728301768e-07,9.921156734376180841e-01,2.603201864105143537e-01
3.500000000000000000e+02,4.000000000000000000e+01,1.000000000000000000e+02,1.211370098437425296e-07,9.885408130064938792e-01,3.888200061049514877e-01
