time_ps,MSD_A2
0.72,0.95255
1.44,1.09033
2.16,1.14239
2.88,1.1771
3.6,1.22022
4.32,1.26073
5.04,1.30958
5.76,1.33656
6.48,1.37039
7.2,1.40361
7.92,1.42649
8.64,1.45087
9.36,1.47542
10.08,1.49921
10.8,1.53198
11.52,1.55791
12.24,1.57377
12.96,1.59414
13.68,1.61423
14.4,1.63386
15.12,1.64732
15.84,1.67259
16.56,1.69925
17.28,1.71201
18,1.74254
18.72,1.7566
19.44,1.77469
20.16,1.79346
20.88,1.80223
21.6,1.82369
22.32,1.84167
23.04,1.85059
23.76,1.86494
24.48,1.86925
25.2,1.89583
25.92,1.90369
26.64,1.91448
27.36,1.92464
28.08,1.94085
28.8,1.94853
29.52,1.95721
30.24,1.97093
30.96,1.98406
31.68,1.98311
32.4,1.99867
33.12,2.0057
33.84,2.01297
34.56,2.03218
35.28,2.05181
36,2.04923
36.72,2.06287
37.44,2.08031
38.16,2.09576
38.88,2.10956
39.6,2.12337
40.32,2.13918
41.04,2.164
41.76,2.18076
42.48,2.17744
43.2,2.18026
43.92,2.19779
44.64,2.20652
45.36,2.22369
46.08,2.22822
46.8,2.24957
47.52,2.25592
48.24,2.27872
48.96,2.28765
49.68,2.2937
50.4,2.30826
51.12,2.32274
51.84,2.33271
52.56,2.33742
53.28,2.34271
54,2.3523
54.72,2.36643
55.44,2.37748
56.16,2.38886
56.88,2.40614
57.6,2.42149
58.32,2.42668
59.04,2.43054
59.76,2.43435
60.48,2.4485
61.2,2.4635
61.92,2.48388
62.64,2.48379
63.36,2.49377
64.08,2.49494
64.8,2.5087
65.52,2.51346
66.24,2.51993
66.96,2.5194
67.68,2.53399
68.4,2.54869
69.12,2.55962
69.84,2.57794
70.56,2.5921
71.28,2.60777
72,2.61394
72.72,2.62766
73.44,2.64674
74.16,2.65928
74.88,2.68516
75.6,2.70686
76.32,2.71721
77.04,2.73544
77.76,2.7541
78.48,2.77231
79.2,2.78913
79.92,2.80044
80.64,2.81555
81.36,2.82689
82.08,2.84852
82.8,2.86864
83.52,2.87741
84.24,2.89043
84.96,2.90671
85.68,2.90772
86.4,2.92114
87.12,2.9224
87.84,2.92537
88.56,2.9259
89.28,2.93844
90,2.94732
90.72,2.95879
91.44,2.96593
92.16,2.98232
92.88,2.99065
93.6,3.00156
94.32,3.00852
95.04,3.01165
95.76,3.01338
96.48,3.02321
97.2,3.03329
97.92,3.03381
98.64,3.03716
99.36,3.04102
100.08,3.03848
100.8,3.04787
101.52,3.05375
102.24,3.06435
102.96,3.06921
103.68,3.07452
104.4,3.08385
105.12,3.08825
105.84,3.08649
106.56,3.1038
107.28,3.11771
108,3.1308
108.72,3.13805
109.44,3.14283
110.16,3.15193
110.88,3.15985
111.6,3.17313
112.32,3.17937
113.04,3.19841
113.76,3.1982
114.48,3.20617
115.2,3.21297
115.92,3.23912
116.64,3.25512
117.36,3.25417
118.08,3.25606
118.8,3.2668
119.52,3.28835
120.24,3.29091
120.96,3.29165
