time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3
5.000000000000000278e-02,7.818974785599999677e+02,-2.618875846622000236e-01,-4.773739490156249765e+00,1.661316965707920978e+00
1.000000000000000056e-01,8.420503663099999585e+02,7.052539953866666655e-01,-4.785231607812499455e+00,1.663170913297544740e+00
1.500000000000000222e-01,7.577048699800000122e+02,-2.698655338733333409e-01,-4.783156677708332971e+00,1.648279157891170188e+00
2.000000000000000111e-01,7.436761940500000492e+02,-7.448168683766666354e-02,-4.786578673593750111e+00,1.637579091118315233e+00
2.500000000000000000e-01,7.839437599200000477e+02,-1.056397689133333345e-01,-4.792605568333333288e+00,1.628338705415703025e+00
3.000000000000000444e-01,8.300123219199999767e+02,-3.955229178866666584e-01,-4.797781572447916254e+00,1.622748851869945774e+00
3.500000000000000333e-01,7.178925440599999774e+02,-9.466841666233334618e-02,-4.783678604062500561e+00,1.630335334176271411e+00
4.000000000000000222e-01,7.582951094100000091e+02,-4.589864688333333831e-02,-4.785543203541666735e+00,1.640335095330517579e+00
4.500000000000000111e-01,7.761757913100000223e+02,5.058380494133333238e-01,-4.782398592604166332e+00,1.649922426814763199e+00
5.000000000000000000e-01,7.652465046099999881e+02,1.478009414553333178e-01,-4.777258072916667153e+00,1.648654016492192786e+00
5.500000000000000444e-01,8.148943724700000075e+02,3.817116576366666458e-01,-4.781300739218750095e+00,1.644533546785609701e+00
6.000000000000000888e-01,7.943515360599999440e+02,-1.641914602333323370e-03,-4.778426477552083718e+00,1.632398903884798580e+00
6.500000000000000222e-01,7.945078957099999570e+02,-4.336489292333332163e-02,-4.778105883020833389e+00,1.618810043616190075e+00
7.000000000000000666e-01,8.384562021299999515e+02,-3.091655940970000072e-01,-4.783611972552082925e+00,1.610177861438300440e+00
7.500000000000000000e-01,8.240865294899999753e+02,3.802175810166667780e-02,-4.783475634895833828e+00,1.608557610791268688e+00
8.000000000000000444e-01,7.928476430399999799e+02,-1.930036259773333374e-01,-4.781226451145832890e+00,1.608213454204216353e+00
8.500000000000000888e-01,8.242655676699999958e+02,4.642010276033333160e-01,-4.786851441145833164e+00,1.609114905874762913e+00
9.000000000000000222e-01,7.714271426000000247e+02,-5.358525920100000173e-01,-4.782275798854166204e+00,1.600749314493663977e+00
9.500000000000000666e-01,8.379058339499999875e+02,2.100529501066666915e-01,-4.792050742708332756e+00,1.602750544341631000e+00
1.000000000000000000e+00,8.032029150500000014e+02,-1.939070507459999815e-01,-4.791138989635416401e+00,1.601170526398636218e+00
1.050000000000000044e+00,7.443775630400000409e+02,-6.474657410133338731e-03,-4.788884829687499511e+00,1.600904228877233049e+00
1.100000000000000089e+00,7.550092230499999459e+02,-3.967158925933333413e-01,-4.792998747812499793e+00,1.604690089400922615e+00
1.150000000000000133e+00,7.478115490400000454e+02,-3.066920971333332926e-02,-4.790901263177083536e+00,1.619053102154857093e+00
1.200000000000000178e+00,8.305772994300000391e+02,-1.065376404126666676e-01,-4.797232271614583432e+00,1.636527900574574534e+00
1.250000000000000000e+00,8.242577524700000140e+02,2.577687128066666333e-01,-4.788687628489583403e+00,1.654207544415064568e+00
1.300000000000000044e+00,8.679407311799999434e+02,-1.905583442799999860e-01,-4.788301642604166908e+00,1.662698125734190402e+00
1.350000000000000089e+00,7.924806432300000552e+02,-1.567037778999998479e-02,-4.777390613229166583e+00,1.675713248495662056e+00
1.400000000000000133e+00,8.238967756499999950e+02,5.722942818799999776e-01,-4.779971297447916712e+00,1.686503200272066572e+00
1.450000000000000178e+00,8.405329701699999987e+02,-3.154055662833333273e-01,-4.782849355729166696e+00,1.683894481539682797e+00
1.500000000000000000e+00,8.089203872099999444e+02,3.553064837266666776e-01,-4.781695340833333141e+00,1.683844739766497289e+00
1.550000000000000044e+00,7.770628285100000312e+02,1.079779599266666862e-01,-4.780522585572916761e+00,1.673154961758924975e+00
1.600000000000000089e+00,7.674056037000000288e+02,3.951108809066666283e-01,-4.780174078229166845e+00,1.656343698240465345e+00
1.650000000000000133e+00,8.129370517700000391e+02,-3.876609110800000729e-02,-4.786329864895833452e+00,1.630480164365035289e+00
1.700000000000000178e+00,8.026539193999999497e+02,-2.426003337400000071e-01,-4.784844307604166680e+00,1.605528681404470914e+00
1.750000000000000000e+00,8.247295206899999584e+02,2.346695863733333220e-01,-4.787790660989583280e+00,1.584690254986995894e+00
1.800000000000000044e+00,8.152706202299999632e+02,-5.052547580400001265e-02,-4.786753528020833315e+00,1.559243903564155431e+00
1.850000000000000089e+00,7.800899392999999691e+02,-2.158728262733333458e-01,-4.783115266093750151e+00,1.536908145855963692e+00
1.900000000000000133e+00,7.486623983900000212e+02,-1.952756396006666562e-01,-4.779674345572916927e+00,1.522579898801038611e+00
