t1,LiPON,t2,Li7P3S11GC,t3,Li10GeP2S12,t4,Li7La3Zr2O12,t5,Li1.5Al0.5Ge1.5(PO4)3,t6,Amorphous Li3PS4,t7,Nanoporous β-Li3PS4,t8,Bulk Li3PS4,t9,Li1.3Al0.3Ti1.7(PO4)3,t10,P(EO)12-LiTFSI,t11,EC:DEC:LPF6
2.809968965,-4.913438142,3.298032725,-1.750965279,2.740227587,-1.093992686,2.626971282,-2.328238602,2.701391459,-2.378651669,2.546969697,-1.949458484,2.684967355,-2.585284281,1.80250798,-2.384615385,2.646209386,0.272727273,2.725806452,-1.956790123,3.368663594,-1.833333333
2.869387612,-5.048416942,3.350066003,-1.835268748,2.814605802,-1.178208733,2.701307534,-2.446257631,2.768279399,-2.496699838,2.612121212,-2.0433213,2.75888497,-2.685618729,1.847951791,-2.484949833,2.754512635,0.090909091,2.760368664,-2.00308642,3.403225806,-1.864197531
2.93623359,-5.200268093,3.431850568,-1.953258637,2.888984016,-1.262424781,2.775643787,-2.56427666,2.835167339,-2.614748008,2.683333333,-2.151624549,2.838459253,-2.819397993,1.882044172,-2.551839465,2.874368231,-0.103448276,2.794930876,-2.049382716,3.444700461,-1.910493827
2.995652237,-5.335246893,3.513635132,-2.071248525,2.963362231,-1.346640829,2.842531727,-2.682324829,2.902034298,-2.749697667,2.756060606,-2.267148014,2.918033536,-2.953177258,1.921812267,-2.635451505,3.002888087,-0.304075235,2.829493088,-2.12654321,3.479262673,-1.941358025
3.055070884,-5.470225693,3.587992365,-2.172366063,3.045167776,-1.447729226,2.909440648,-2.783471508,2.968901257,-2.884647327,2.833333333,-2.389891697,3.003264488,-3.120401338,1.955866556,-2.735785953,3.142960289,-0.529780564,2.8640553,-2.188271605,3.520737327,-1.972222222
3.121937843,-5.605175353,3.654901287,-2.273512742,3.119545991,-1.531945274,2.9837769,-2.901490537,3.035789198,-3.002695496,2.915151515,-2.541516245,3.094171155,-3.304347826,2.018356557,-2.869565217,3.298916968,-0.742946708,2.898617512,-2.265432099,3.562211982,-2.018518519
3.188783821,-5.757026503,3.729237539,-2.39153177,3.201372518,-1.616132181,3.050664841,-3.019538706,3.110104469,-3.137616016,3.001515152,-2.707581227,3.196467344,-3.488294314,2.069476082,-2.986622074,,,2.940092166,-2.358024691,3.610599078,-2.064814815
3.240775137,-5.875132954,3.796167441,-2.475776959,3.275750732,-1.700348229,3.125022074,-3.120656244,3.169544097,-3.255693325,3.096969697,-2.873646209,3.298744486,-3.688963211,2.120576561,-3.120401338,,,2.974654378,-2.435185185,3.658986175,-2.111111111
3.307621115,-6.026984104,3.870482712,-2.610697478,3.350128947,-1.784564277,3.191910014,-3.238704413,3.243859368,-3.390613845,3.195454545,-3.061371841,3.355577818,-3.789297659,2.154554666,-3.287625418,,,3.00921659,-2.527777778,3.707373272,-2.157407407
3.34475777,-6.111345854,3.937391634,-2.711844157,3.424507161,-1.868780324,3.266246266,-3.356723442,3.318174639,-3.525534364,3.301515152,-3.249097473,3.41241115,-3.889632107,2.160020874,-3.488294314,,,3.050691244,-2.651234568,3.762672811,-2.219135802
,,4.011727886,-2.829863185,3.506312707,-1.969868722,3.333134207,-3.474771611,3.362759605,-3.609866974,3.409090909,-3.451263538,3.531753529,-4.107023411,2.188228034,-3.722408027,,,3.085253456,-2.74382716,3.804147465,-2.280864198
,,4.086085119,-2.930980724,3.58066994,-2.07098626,3.407470459,-3.59279064,3.437074877,-3.744787493,,,3.662466384,-4.341137124,2.245023274,-3.856187291,,,3.112903226,-2.867283951,3.852534562,-2.342592593
,,4.138118398,-3.015284193,3.655027174,-2.172103798,3.47437938,-3.693937319,3.511390148,-3.879708012,,,3.798835907,-4.608695652,2.284715186,-4.006688963,,,3.147465438,-2.990740741,3.894009217,-2.404320988
,,,,3.721957076,-2.256348987,3.548715632,-3.811956348,3.578278088,-3.997756181,,,3.952308759,-4.859531773,2.358575662,-4.157190635,,,3.175115207,-3.114197531,3.935483871,-2.450617284
,,,,3.80374164,-2.374338875,3.615603573,-3.930004517,3.637738697,-4.098932001,,,,,2.438111853,-4.324414716,,,3.202764977,-3.25308642,3.976958525,-2.512345679
,,,,3.870629581,-2.492387044,3.689939825,-4.048023546,3.712053968,-4.23385252,,,,,2.494888047,-4.474916388,,,3.223502304,-3.407407407,4.025345622,-2.574074074
,,,,3.937517521,-2.610435213,3.756848746,-4.149170224,3.786369239,-4.368773039,,,,,2.528961382,-4.558528428,,,3.251152074,-3.546296296,4.059907834,-2.635802469
