time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
5.000000000000000278e-02,3.949638040199999978e+02,-5.459384343014705543e+00,-1.475399643320000065e-01,1.863762347834741373e+00
1.000000000000000056e-01,4.018660114799999974e+02,-5.460763996691176736e+00,3.070751904679999700e-01,1.863762347834741373e+00
1.500000000000000222e-01,3.895585148700000104e+02,-5.460987361397059203e+00,1.054573773083000016e-01,1.863762347834741373e+00
2.000000000000000111e-01,3.891044691000000171e+02,-5.464710945220588201e+00,-2.893061903266666568e-01,1.863762347834741373e+00
2.500000000000000000e-01,3.483794227700000192e+02,-5.462150266544117727e+00,2.064894942519999999e-01,1.863762347834741373e+00
3.000000000000000444e-01,3.707169486299999903e+02,-5.464812132720588522e+00,-7.671238150296666447e-02,1.863762347834741373e+00
3.500000000000000333e-01,3.763227435200000173e+02,-5.464336940441176793e+00,2.472537270066666737e-01,1.863762347834741373e+00
4.000000000000000222e-01,3.871122565200000167e+02,-5.464645805514705579e+00,-3.327901818800000355e-01,1.863762347834741373e+00
4.500000000000000111e-01,4.015385760600000253e+02,-5.465820402941176326e+00,3.790431772166666935e-01,1.863762347834741373e+00
5.000000000000000000e-01,3.868936312499999985e+02,-5.463764753308823607e+00,7.557605621366665638e-02,1.863762347834741373e+00
5.500000000000000444e-01,3.936610227499999723e+02,-5.463825643014706301e+00,-8.971634649000003944e-03,1.863762347834741373e+00
6.000000000000000888e-01,3.972859560399999737e+02,-5.462261221323529092e+00,2.392685840316666479e-01,1.863762347834741373e+00
6.500000000000000222e-01,3.999042779900000255e+02,-5.460051794485294430e+00,-3.572948091359999800e-01,1.863762347834741373e+00
7.000000000000000666e-01,4.111842755700000112e+02,-5.458937877941176353e+00,7.906091852966666556e-02,1.863762347834741373e+00
7.500000000000000000e-01,3.979485785200000123e+02,-5.456136377205882404e+00,-2.404691224399999883e-01,1.863762347834741373e+00
8.000000000000000444e-01,4.201796622200000115e+02,-5.458340562500000104e+00,6.878834800000001304e-02,1.863762347834741373e+00
8.500000000000000888e-01,4.190250944300000242e+02,-5.458213447794117101e+00,-3.783151701000001758e-03,1.863762347834741373e+00
9.000000000000000222e-01,3.925309727299999736e+02,-5.455502700367647506e+00,1.402926156586666584e-01,1.863762347834741373e+00
9.500000000000000666e-01,4.141035076699999991e+02,-5.459158087499999645e+00,3.335674623933333471e-01,1.863762347834741373e+00
