r_A,S_O,Zr_O,Zr_Cl
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,9.246480501744388292e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,5.291111934807264561e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000089e+00,8.739161868541185640e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.524999999999999911e+00,1.065015885933331106e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000178e+00,6.821110363569691515e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000000e+00,2.232595902229770601e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,5.685351018163097514e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000089e+00,2.015572362415668728e+00,1.929803325717131257e-01,0.000000000000000000e+00
1.774999999999999911e+00,8.910588549471845088e-01,2.571919876779371616e+00,0.000000000000000000e+00
1.825000000000000178e+00,3.065111133855216718e-01,1.143669591819727849e+01,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00,1.969158180876824815e+01,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00,1.756278697163773117e+01,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00,1.076335448479053447e+01,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00,3.858857196327953876e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00,2.059855379186046775e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00,1.639076521768597194e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00,2.144562074071978408e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00,2.294144880869640524e+00,2.899902237054320375e-01
2.275000000000000355e+00,0.000000000000000000e+00,2.650558060733111621e+00,1.954016058726503413e+00
2.325000000000000178e+00,0.000000000000000000e+00,1.853173775162861636e+00,6.905137952039962279e+00
2.375000000000000000e+00,0.000000000000000000e+00,9.162645750512968812e-01,1.313878152990222858e+01
2.425000000000000266e+00,0.000000000000000000e+00,5.642136872121709112e-01,1.475093284163358476e+01
2.475000000000000089e+00,0.000000000000000000e+00,4.270687808485187364e-01,1.164022835605412887e+01
2.525000000000000355e+00,0.000000000000000000e+00,1.200945876553971003e-01,7.600986610356171624e+00
2.575000000000000178e+00,0.000000000000000000e+00,6.736108490490722023e-02,4.917359198058228742e+00
2.625000000000000000e+00,0.000000000000000000e+00,6.481946457713633203e-02,2.847426479638491159e+00
2.675000000000000266e+00,0.000000000000000000e+00,2.675100996132095607e-02,1.961740730496872143e+00
2.725000000000000089e+00,0.000000000000000000e+00,1.718557008475387338e-01,1.160025980720885919e+00
2.775000000000000355e+00,0.000000000000000000e+00,1.491467952848355427e-01,8.410222067450454642e-01
2.825000000000000178e+00,0.000000000000000000e+00,1.758950365748835343e-01,6.516111582205907915e-01
2.875000000000000000e+00,0.000000000000000000e+00,3.242214855862529665e-01,4.786126691987544479e-01
2.925000000000000266e+00,0.000000000000000000e+00,4.847638052323320346e-01,3.430636160105734467e-01
2.975000000000000089e+00,4.325598767307464732e-02,7.065144653268863317e-01,2.306986009230649060e-01
3.025000000000000355e+00,2.789192514802669651e-02,1.011082286615966774e+00,2.440543450452334617e-01
3.075000000000000178e+00,5.398452984057162951e-02,1.309124848633861360e+00,1.518314901766077696e-01
3.125000000000000000e+00,1.568126444494314375e-01,1.502787842640385341e+00,8.494018241010868608e-02
3.175000000000000266e+00,2.278689816032361537e-01,1.886248792160121424e+00,1.107696438349064505e-01
3.225000000000000089e+00,3.680969834754636572e-01,2.049073208013416192e+00,1.012266704557524960e-01
3.275000000000000355e+00,5.830075469067493854e-01,2.320132074424815727e+00,8.923584901633919986e-02
3.325000000000000178e+00,7.502932069526440095e-01,2.366309345004493636e+00,1.067724948355685821e-01
3.375000000000000000e+00,8.962798450522542204e-01,2.229496114567484533e+00,8.402623547364884704e-02
3.425000000000000266e+00,1.055241859589999054e+00,2.094165546093553321e+00,7.343177888899471428e-02
3.475000000000000089e+00,9.511183046216123982e-01,1.939224543311842019e+00,7.397586813723650012e-02
3.525000000000000355e+00,1.201626447451757507e+00,2.018116213027955297e+00,7.445975849594224649e-02
3.575000000000000178e+00,9.086389755034854909e-01,2.036948912117704680e+00,8.487287133823773200e-02
