time_ps,T_K,PE_eV_atom,P_GPa
5.000000000000000278e-02,3.253719170300000201e+02,-4.892192993802082945e+00,-1.658793243666666362e-01
1.000000000000000056e-01,3.606703400200000260e+02,-4.897333685937500292e+00,-1.472479008123333266e-01
1.500000000000000222e-01,3.066187611700000275e+02,-4.892195402968749995e+00,-1.377322637063333188e-01
2.000000000000000111e-01,3.338976355699999772e+02,-4.897700795156249676e+00,-1.712658721020000330e-01
2.500000000000000000e-01,3.047382714199999896e+02,-4.896487717291666542e+00,-1.161588483209999856e-01
3.000000000000000444e-01,3.067403561900000000e+02,-4.898127931249999456e+00,1.043904596653331442e-02
3.500000000000000333e-01,3.223599578600000086e+02,-4.899836968958333649e+00,-1.839462583283333341e-01
4.000000000000000222e-01,3.129886358599999880e+02,-4.897135633906249730e+00,-1.891598948449999817e-01
4.500000000000000111e-01,3.291190627700000277e+02,-4.896566190885416781e+00,-1.145738925313333351e-01
5.000000000000000000e-01,3.219252024900000038e+02,-4.892696378124999690e+00,-2.290041431999999821e-01
5.500000000000000444e-01,3.248296430199999918e+02,-4.891067115520833397e+00,3.138977673900000265e-01
6.000000000000000888e-01,3.275813652699999921e+02,-4.890582148854166533e+00,-5.281764845299999900e-01
6.500000000000000222e-01,3.693842896900000028e+02,-4.895029521718750054e+00,-3.413530615566666704e-01
7.000000000000000666e-01,3.685755488600000263e+02,-4.894396788020833888e+00,1.898510506396666742e-01
7.500000000000000000e-01,3.487999609199999895e+02,-4.891926432968749516e+00,-2.766521867933333101e-01
8.000000000000000444e-01,3.749608269899999868e+02,-4.896737185989583629e+00,-4.470639777999999703e-02
8.500000000000000888e-01,3.386432653599999867e+02,-4.895460078385416303e+00,-5.600962072099999745e-01
9.000000000000000222e-01,3.301652067699999975e+02,-4.896469115624999979e+00,1.467722672566666720e-01
9.500000000000000666e-01,3.140672253600000090e+02,-4.895011748177083177e+00,-1.430203346773333273e-01
1.000000000000000000e+00,3.212736898200000155e+02,-4.895086465260416908e+00,-4.674677314999999833e-01
1.050000000000000044e+00,3.464768015700000205e+02,-4.896212554375000359e+00,-8.380605226399999441e-02
1.100000000000000089e+00,3.492200043199999868e+02,-4.894216628437500383e+00,-4.113882782166666807e-01
1.150000000000000133e+00,3.398496978000000013e+02,-4.891065907395833356e+00,3.206378764999999464e-02
1.200000000000000178e+00,3.756357849999999985e+02,-4.894470066093750127e+00,-4.912455920566665690e-01
1.250000000000000000e+00,3.187640600500000119e+02,-4.888147256302083576e+00,-1.619708698163333238e-01
1.300000000000000044e+00,3.571105033399999797e+02,-4.893803778958333517e+00,-1.931623648773333202e-01
1.350000000000000089e+00,3.341130371099999934e+02,-4.891547229479166425e+00,-2.376614266350000060e-01
1.400000000000000133e+00,3.292015056199999776e+02,-4.891138855781250072e+00,4.779186899599999899e-02
1.450000000000000178e+00,3.348941818999999782e+02,-4.891963422864583855e+00,-3.683386692566666398e-01
1.500000000000000000e+00,3.450390474899999731e+02,-4.893725268749999913e+00,-2.719120184966666298e-01
1.550000000000000044e+00,3.322170998000000282e+02,-4.893933117031250113e+00,-9.695824903966666908e-02
1.600000000000000089e+00,3.096517690399999765e+02,-4.894148408697916786e+00,1.083867676766666621e-01
1.650000000000000133e+00,3.343912823900000149e+02,-4.899060715885416251e+00,-4.679632861333333227e-01
1.700000000000000178e+00,3.161646124200000258e+02,-4.897647792708332837e+00,1.684915700866667088e-01
1.750000000000000000e+00,3.075376920300000165e+02,-4.896388709062500233e+00,-7.820713435966665239e-01
1.800000000000000044e+00,3.182499415799999838e+02,-4.895755058229166679e+00,2.770456851633333328e-01
1.850000000000000089e+00,3.319350775500000168e+02,-4.893443382135417075e+00,-5.510884258700000649e-01
1.900000000000000133e+00,3.623236120299999925e+02,-4.894396749739583719e+00,1.736462666366666296e-01
1.950000000000000178e+00,3.340519604300000083e+02,-4.890179535729166638e+00,-4.916070986933333553e-01
2.000000000000000000e+00,3.569484430300000213e+02,-4.892523083072917167e+00,-1.625428184383333197e-01
