lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.809056983054402656e-01,4.615952220920860327e-02,7.204597082611825798e-02,1.209925814371139580e-01
2.000000000000000111e-01,3.817775063152048509e-01,9.213541002899959531e-02,1.048928234906279372e-01,2.152889243090368998e-01
3.000000000000000444e-01,4.420299787488558008e-01,1.217413184503478851e-01,1.205811030558253949e-01,2.600720716201792015e-01
4.000000000000000222e-01,4.886278209037399067e-01,1.467498628493427715e-01,1.344368792821682979e-01,2.914838851107294238e-01
5.000000000000000000e-01,5.225691059806608640e-01,1.579714212447967669e-01,1.435032030494212130e-01,3.073694945754050223e-01
6.000000000000000888e-01,5.438749906357777109e-01,1.619283486442823217e-01,1.465595614886396059e-01,3.134840332837300347e-01
7.000000000000000666e-01,5.631376506385985525e-01,1.628873375746158481e-01,1.492005583656582091e-01,3.177684067324744732e-01
8.000000000000000444e-01,5.836786453098492533e-01,1.626356084726772455e-01,1.491324030337503326e-01,3.215018130217441317e-01
9.000000000000000222e-01,5.996726275002443041e-01,1.621410598729969288e-01,1.492620197477319555e-01,3.241834401215963335e-01
1.000000000000000000e+00,6.120725256061229080e-01,1.610370707785296895e-01,1.470624431543822719e-01,3.252081763389063629e-01
1.100000000000000089e+00,6.268514691448430209e-01,1.598076634464075385e-01,1.457146694204586035e-01,3.278637542198464816e-01
1.200000000000000178e+00,6.342868157836777376e-01,1.577965224663099020e-01,1.438002210395868674e-01,3.281866219456373024e-01
1.300000000000000044e+00,6.446558143083008785e-01,1.558372318254337974e-01,1.415621319650344767e-01,3.272210018278441379e-01
1.400000000000000133e+00,6.521990165571143194e-01,1.536710585663448592e-01,1.399182890104206378e-01,3.259969961104700609e-01
1.500000000000000000e+00,6.593278191770937102e-01,1.524184279099675410e-01,1.386368735265241237e-01,3.237598690270945267e-01
1.600000000000000089e+00,6.703292442477793989e-01,1.518395070687035553e-01,1.387870340309327044e-01,3.246029846743161418e-01
1.700000000000000178e+00,6.745237131225165772e-01,1.522350021201611392e-01,1.390757138789709135e-01,3.270459821532711309e-01
1.800000000000000044e+00,6.819837636751389098e-01,1.533057636264703871e-01,1.411044629368441161e-01,3.298287932894587993e-01
1.900000000000000133e+00,6.898350204458482127e-01,1.553528278552742947e-01,1.430518828050143798e-01,3.333359019402974410e-01
2.000000000000000000e+00,6.977688868036182601e-01,1.578293328084485192e-01,1.446435338718865260e-01,3.381993742872669295e-01
2.100000000000000089e+00,7.051400689521208909e-01,1.605018299907927104e-01,1.456313684331520530e-01,3.421504846903948294e-01
2.200000000000000178e+00,7.117713921040441649e-01,1.625690920268044182e-01,1.471808929537489763e-01,3.451292433088814504e-01
2.300000000000000266e+00,7.208169653506520946e-01,1.645175046668379548e-01,1.491867628238271737e-01,3.482271958886556384e-01
2.400000000000000355e+00,7.286975129089977576e-01,1.660827809877490624e-01,1.512149072532100180e-01,3.518797940209586472e-01
2.500000000000000000e+00,7.342952251107202066e-01,1.669954788643457644e-01,1.513908509700176430e-01,3.544737996705609184e-01
2.600000000000000089e+00,7.377432146792802792e-01,1.679358090806079562e-01,1.526602395387526012e-01,3.563615155351007036e-01
2.700000000000000178e+00,7.423682173148323793e-01,1.681142734101813419e-01,1.517374833515452992e-01,3.580590539478107903e-01
2.800000000000000266e+00,7.483001980506647222e-01,1.679007793486131661e-01,1.494285374617659590e-01,3.593149454511369023e-01
2.900000000000000355e+00,7.514475552159181060e-01,1.675334641897565646e-01,1.478097182255468656e-01,3.586535164963727262e-01
3.000000000000000000e+00,7.606131916849796504e-01,1.668679493693842886e-01,1.487945807072379167e-01,3.597041684262660133e-01
3.100000000000000089e+00,7.651907832130303566e-01,1.669588518793949650e-01,1.513282163177142869e-01,3.604323888026979561e-01
3.200000000000000178e+00,7.702219747991920773e-01,1.671552202447147417e-01,1.506859312139314511e-01,3.602002652748869660e-01
3.300000000000000266e+00,7.766665774595841176e-01,1.674502263099055810e-01,1.502525598365635207e-01,3.612291315841146822e-01
3.400000000000000355e+00,7.822895949431182272e-01,1.686904594502052213e-01,1.505080218152569926e-01,3.638707115931241187e-01
