time_ps,T_K,PE_eV_atom,P_GPa
5.000000000000000278e-02,3.230744691099999955e+02,-4.892328428385416927e+00,-1.693530087000000017e-01
1.000000000000000056e-01,3.563444638400000031e+02,-4.897712436041666173e+00,-1.506198595233333437e-01
1.500000000000000222e-01,3.033629317599999808e+02,-4.892703318489583175e+00,-1.405092357409999937e-01
2.000000000000000111e-01,3.364031382699999995e+02,-4.897715197187499925e+00,-1.654462780883333428e-01
2.500000000000000000e-01,3.154761525000000120e+02,-4.895220660833333071e+00,-1.020235766186666782e-01
3.000000000000000444e-01,3.275063329000000181e+02,-4.895633126927083190e+00,3.197151526306666464e-02
3.500000000000000333e-01,3.552059255099999859e+02,-4.895912484218750471e+00,-1.469602825609999941e-01
4.000000000000000222e-01,3.467055936599999768e+02,-4.891875129114583665e+00,-1.569313695160000077e-01
4.500000000000000111e-01,3.547294534200000271e+02,-4.891798538749999814e+00,-4.210106346266665606e-02
5.000000000000000000e-01,3.297373035599999866e+02,-4.888437428385416617e+00,-2.366361265866666619e-01
5.500000000000000444e-01,3.307312792100000252e+02,-4.889139052968750399e+00,2.951743730429999824e-01
6.000000000000000888e-01,3.241150604700000031e+02,-4.890469281979166638e+00,-5.037782423100000129e-01
6.500000000000000222e-01,3.468301190899999824e+02,-4.895936785624999565e+00,-3.851031778666666461e-01
7.000000000000000666e-01,3.436762673999999720e+02,-4.897958513749999909e+00,1.293558053860000001e-01
7.500000000000000000e-01,3.201377131699999836e+02,-4.896553725885416597e+00,-3.065861537100000311e-01
8.000000000000000444e-01,3.337079063300000143e+02,-4.899055555416667040e+00,-3.983870436999999848e-02
8.500000000000000888e-01,3.200407195000000229e+02,-4.898003780624999415e+00,-5.576215229300000020e-01
9.000000000000000222e-01,3.285584970099999964e+02,-4.899047260833333084e+00,9.326681349366666707e-02
9.500000000000000666e-01,3.217380609400000253e+02,-4.896181100729166680e+00,-1.462181719183333339e-01
1.000000000000000000e+00,3.366483889400000180e+02,-4.894107666041667137e+00,-3.641858446733333143e-01
1.050000000000000044e+00,3.649568908200000124e+02,-4.895193835885416789e+00,5.886015017433333246e-02
1.100000000000000089e+00,3.575446311499999865e+02,-4.893940216093749740e+00,-4.031546171966666758e-01
1.150000000000000133e+00,3.615515659399999890e+02,-4.895014154843750021e+00,-1.402147412270000060e-01
1.200000000000000178e+00,3.614400284299999839e+02,-4.896603707187499488e+00,-3.181950202173333131e-01
1.250000000000000000e+00,2.897862778800000001e+02,-4.889596631822916706e+00,-2.304563269780000312e-01
1.300000000000000044e+00,3.362600984200000198e+02,-4.895722703020832789e+00,-3.972954635566667281e-01
1.350000000000000089e+00,3.164177234200000157e+02,-4.892387306093749721e+00,-8.218033588666666389e-02
1.400000000000000133e+00,3.272609992700000134e+02,-4.890566677760416425e+00,-8.983991310199999913e-02
1.450000000000000178e+00,3.614944596600000182e+02,-4.890602575625000448e+00,-1.043102716796666662e-01
1.500000000000000000e+00,3.783570866200000182e+02,-4.891903170937499823e+00,-3.642359491600000165e-01
1.550000000000000044e+00,3.411815654700000096e+02,-4.887857352812500444e+00,4.475009348666664395e-03
1.600000000000000089e+00,3.485024140599999782e+02,-4.890050195833333113e+00,-4.896559397266666419e-02
1.650000000000000133e+00,3.530275091600000223e+02,-4.892334361614583571e+00,-1.017832251946666627e-01
1.700000000000000178e+00,3.582656146900000067e+02,-4.895193050989583128e+00,-4.096855307300001359e-02
1.750000000000000000e+00,3.377630870799999911e+02,-4.894271832083333607e+00,-3.298400157166667124e-01
1.800000000000000044e+00,3.215061496100000227e+02,-4.892824136562500037e+00,-4.505631310366668002e-02
1.850000000000000089e+00,3.474308342300000163e+02,-4.896024875677083443e+00,-2.668617348501332587e-01
1.900000000000000133e+00,3.249959377299999801e+02,-4.892730075833333636e+00,-8.976427631673333796e-02
1.950000000000000178e+00,3.373737467700000252e+02,-4.893423334635416566e+00,-6.166969870000000437e-02
2.000000000000000000e+00,3.580762676200000101e+02,-4.895330460572917097e+00,-2.006767642533332785e-01
2.050000000000000266e+00,3.575951575899999852e+02,-4.894849052343750451e+00,-2.183098383666667031e-01
2.100000000000000089e+00,3.310298800499999743e+02,-4.891948050572916706e+00,-1.900229117366666609e-01
2.149999999999999911e+00,3.231954407599999968e+02,-4.892872694322917049e+00,-2.432561986566666723e-01
2.200000000000000178e+00,3.015144549600000232e+02,-4.892307342864583575e+00,-3.522358576433333721e-01
2.250000000000000000e+00,3.095005231900000240e+02,-4.894785432135416947e+00,-3.764214958333333971e-02
2.300000000000000266e+00,3.123676756200000000e+02,-4.895534663489583771e+00,-6.414162806666660714e-03
2.350000000000000089e+00,3.421193970900000068e+02,-4.898380779635416182e+00,-5.092534897399999538e-01
2.400000000000000355e+00,3.454683711199999721e+02,-4.896762301562500141e+00,1.835373370646666835e-01
2.450000000000000178e+00,3.622585516099999836e+02,-4.895257035104166654e+00,-1.560004046355999985e-01
2.500000000000000000e+00,3.538273072399999819e+02,-4.891496719843750007e+00,-5.143616684700000330e-02
2.550000000000000266e+00,3.455610084200000074e+02,-4.889691712083332753e+00,-4.393046327300000331e-01
2.600000000000000089e+00,3.657607640699999934e+02,-4.892183397291666402e+00,-2.453265772000000691e-02
2.650000000000000355e+00,3.621195729300000039e+02,-4.892265840572917135e+00,-2.084518247146666392e-01
2.700000000000000178e+00,3.714211061899999891e+02,-4.894661253697916159e+00,-2.391499515433332945e-01
2.750000000000000000e+00,3.516986180299999774e+02,-4.895203099739583230e+00,-1.130076163723333221e-01
2.800000000000000266e+00,3.344059024900000168e+02,-4.896190483541666971e+00,-3.498294026166666737e-01
