lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.336422230096494634e-01,5.123695044641417978e-02,7.867612194320050545e-02,1.361043364419422530e-01
2.000000000000000111e-01,4.729288752610149027e-01,1.031836211567111750e-01,1.156203128515237849e-01,2.435622479252566863e-01
3.000000000000000444e-01,5.546750998107574659e-01,1.373004847336507239e-01,1.325461711224577566e-01,2.935767097616824306e-01
4.000000000000000222e-01,6.268668311675792415e-01,1.672048447511848557e-01,1.520595243676395592e-01,3.301117085847053434e-01
5.000000000000000000e-01,6.791114276483132262e-01,1.823710020806288412e-01,1.698106014356350613e-01,3.515160080350256400e-01
6.000000000000000888e-01,7.225289842730167056e-01,1.897258198710709276e-01,1.776278946244651269e-01,3.610805509647452283e-01
7.000000000000000666e-01,7.531936981681549570e-01,1.917006263428231716e-01,1.776538594966194928e-01,3.645987131843302365e-01
8.000000000000000444e-01,7.859883661331176219e-01,1.907940059148424405e-01,1.766337848984187442e-01,3.673347823523346878e-01
9.000000000000000222e-01,8.132341764147952290e-01,1.879637507947219954e-01,1.745897190136342092e-01,3.687204150572627182e-01
1.000000000000000000e+00,8.385032740853519684e-01,1.836189051778239767e-01,1.698900602423111250e-01,3.680880384614635403e-01
1.100000000000000089e+00,8.560751848775777217e-01,1.775481748526366310e-01,1.658239607445001207e-01,3.646235519386729629e-01
1.200000000000000178e+00,8.711774243044142496e-01,1.714169221215193495e-01,1.620017260543187565e-01,3.585169208515130990e-01
1.300000000000000044e+00,8.890693098567735708e-01,1.663813007107666497e-01,1.597264967323736573e-01,3.538477746331236129e-01
1.400000000000000133e+00,9.050357299376003972e-01,1.623888420808637933e-01,1.563625142354935493e-01,3.503679098065937136e-01
1.500000000000000000e+00,9.195488214924848469e-01,1.606481099060015350e-01,1.552856521090347219e-01,3.497872646511046013e-01
1.600000000000000089e+00,9.375434068965120549e-01,1.606365210126553533e-01,1.544588988840041865e-01,3.500129355538378340e-01
1.700000000000000178e+00,9.571413613453387814e-01,1.620037677693663691e-01,1.533802883087848623e-01,3.515171608019300731e-01
1.800000000000000044e+00,9.778431812709807991e-01,1.644566885205831497e-01,1.553437575715082286e-01,3.564046441037180268e-01
1.900000000000000133e+00,9.979395749669942584e-01,1.674470463019396560e-01,1.568223886223826524e-01,3.622370453382136035e-01
2.000000000000000000e+00,1.015955881416411355e+00,1.705264468842384584e-01,1.587343007947351892e-01,3.670146641397777909e-01
2.100000000000000089e+00,1.036899491687325758e+00,1.725740256389196037e-01,1.594618409864232977e-01,3.701682090761902466e-01
