setting_0MTTK_1NHC,T_K,lag_lo_ps,lag_hi_ps,D_app_cm2_s,R2,log_log_alpha,intercept_A2
0.000000000000000000e+00,3.400000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,2.359287712058158087e-07,9.851252579650489061e-01,1.696822871663160315e-01,7.810387624371719628e-01
0.000000000000000000e+00,3.400000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+01,1.633442061051504744e-07,9.522293760785075500e-01,1.814741632376606906e-01,8.478512232351669287e-01
0.000000000000000000e+00,3.400000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,1.079556042286285227e-07,8.409232826708735731e-01,1.481868752218770680e-01,9.088511704742114894e-01
0.000000000000000000e+00,3.600000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,6.083513095049953803e-07,9.914802221156558959e-01,3.356279518387942362e-01,8.055560721557277759e-01
0.000000000000000000e+00,3.600000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+01,5.851861201433068259e-07,9.971099772233740222e-01,4.304576301300210295e-01,8.300064714126335064e-01
0.000000000000000000e+00,3.600000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,5.266207970490647203e-07,9.893596343954620398e-01,4.402185485843967960e-01,8.956695531802230104e-01
0.000000000000000000e+00,3.800000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,1.607293787816643590e-06,9.950232083953642892e-01,5.167569861574933254e-01,9.146628281266859783e-01
0.000000000000000000e+00,3.800000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+01,1.753847175643188931e-06,9.984238885169447464e-01,7.060788177220969075e-01,7.813372177106217009e-01
0.000000000000000000e+00,3.800000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,1.704843753530234122e-06,9.987349810291973329e-01,7.249414843457488988e-01,8.355917209256542577e-01
1.000000000000000000e+00,3.400000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,5.295959012179295447e-07,9.948151164931368085e-01,3.307158117352628768e-01,7.080409958790077063e-01
1.000000000000000000e+00,3.400000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+01,3.492507541535393490e-07,9.583993575094822415e-01,3.198417730894064226e-01,8.692871746678733080e-01
1.000000000000000000e+00,3.400000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,3.269961460045734474e-07,9.783952905353431317e-01,3.327823268749470209e-01,8.934305144496992312e-01
1.000000000000000000e+00,3.600000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,5.296719022409527312e-07,9.961826292263220584e-01,2.877766284154910648e-01,8.426563591386907470e-01
1.000000000000000000e+00,3.600000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+01,5.936250215255300978e-07,9.946818084070381261e-01,4.469094337704841435e-01,7.829573026507592459e-01
1.000000000000000000e+00,3.600000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,5.501152855567914974e-07,9.942478500906614114e-01,4.644028898434917063e-01,8.295389654413923841e-01
1.000000000000000000e+00,3.800000000000000000e+02,5.000000000000000000e+00,2.000000000000000000e+01,1.184050616456196728e-06,9.951556612772621824e-01,5.088499317855044168e-01,6.916529674101818959e-01
1.000000000000000000e+00,3.800000000000000000e+02,1.000000000000000000e+01,3.000000000000000000e+01,1.124326700366852355e-06,9.903330754776974443e-01,6.358826555823818838e-01,7.440101264227045874e-01
1.000000000000000000e+00,3.800000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,8.956841862001400963e-07,9.616104385520535258e-01,5.740976201202450113e-01,9.957155801696087050e-01
