time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
5.000000000000000278e-02,3.039119482699999821e+02,-4.501146993164062415e+00,1.327652877416666544e-01,2.219364025902132553e+00
1.000000000000000056e-01,2.958857814699999835e+02,-4.501006984570312675e+00,-3.846031754566666544e-02,2.215253112053140683e+00
1.500000000000000222e-01,3.079999620500000219e+02,-4.503825647460937276e+00,-1.868252447143333231e-02,2.209339183253854699e+00
2.000000000000000111e-01,2.749339488800000026e+02,-4.501298828515625239e+00,-5.894294612333333266e-02,2.206211617630299049e+00
2.500000000000000000e-01,2.840497443500000259e+02,-4.503576913281250427e+00,-1.072161580629666516e-01,2.209172801718206181e+00
3.000000000000000444e-01,2.815728041799999914e+02,-4.503757758398437616e+00,2.901508075100000042e-02,2.218966948562060892e+00
3.500000000000000333e-01,2.930765661099999875e+02,-4.504533561328124769e+00,7.194834856666666723e-02,2.227710600992877765e+00
4.000000000000000222e-01,3.026212066300000174e+02,-4.503474321484374876e+00,2.774312704633333238e-01,2.227661998209476746e+00
4.500000000000000111e-01,3.152203896699999746e+02,-4.503381875781250265e+00,2.172183135999999903e-02,2.214505549573245524e+00
5.000000000000000000e-01,2.984195433400000184e+02,-4.500700107421875096e+00,-2.931898128100000056e-01,2.198846839672279785e+00
5.500000000000000444e-01,2.950328784499999983e+02,-4.499863903710937585e+00,1.303840140333335784e-03,2.194291466531268942e+00
6.000000000000000888e-01,2.891702787599999738e+02,-4.498901841992187123e+00,-1.474897980000000053e-01,2.201970143560919357e+00
6.500000000000000222e-01,3.127750301699999795e+02,-4.501329678906249576e+00,1.507606053773333232e-01,2.218142145165912016e+00
7.000000000000000666e-01,3.079502333699999781e+02,-4.500847784570312093e+00,1.929943199073333171e-01,2.223235271152058434e+00
7.500000000000000000e-01,3.031876677999999856e+02,-4.501531698242187574e+00,4.546799620399999409e-02,2.217239368054186865e+00
8.000000000000000444e-01,2.925443299099999876e+02,-4.502348030273437551e+00,-1.440613197215999952e-01,2.207563125752787236e+00
8.500000000000000888e-01,2.900738639900000067e+02,-4.503124629687500047e+00,-5.988191945666665461e-02,2.204721177056376824e+00
9.000000000000000222e-01,2.900319060200000081e+02,-4.503218490820312780e+00,-1.677262723110000131e-01,2.206800670013921106e+00
9.500000000000000666e-01,2.934838960600000064e+02,-4.503422650976562913e+00,5.735353080333333020e-02,2.216145105775665591e+00
1.000000000000000000e+00,3.007931758899999863e+02,-4.503933280664062622e+00,1.173157092166666332e-01,2.224614400796816938e+00
1.050000000000000044e+00,2.930334743299999900e+02,-4.502806508007812347e+00,1.393445565589666590e-01,2.222610313692556794e+00
1.100000000000000089e+00,2.919922224700000015e+02,-4.502375577734374801e+00,2.298339286766666323e-01,2.209527236086004542e+00
1.150000000000000133e+00,2.871943832700000030e+02,-4.500963619726562115e+00,-4.316050858600000151e-01,2.191532174889148532e+00
1.200000000000000178e+00,3.128237325299999725e+02,-4.502958910937500114e+00,-2.679399640390000004e-01,2.193241432893255904e+00
1.250000000000000000e+00,3.076727975900000160e+02,-4.501244999609374631e+00,2.415127180146666719e-01,2.210158098962126783e+00
