time_ps,minimum_NN_A
1.000000000000000056e-01,1.303669450121011986e+00
2.000000000000000111e-01,1.308177857296212832e+00
3.000000000000000444e-01,1.283256496561568261e+00
4.000000000000000222e-01,1.290772002694688281e+00
5.000000000000000000e-01,1.276064618080307023e+00
6.000000000000000888e-01,1.282305628424883270e+00
7.000000000000000666e-01,1.303581869088456191e+00
8.000000000000000444e-01,1.293555813681696698e+00
9.000000000000000222e-01,1.293706154102445716e+00
1.000000000000000000e+00,1.306960585085207294e+00
1.100000000000000089e+00,1.307175344479463819e+00
1.200000000000000178e+00,1.319827289938084958e+00
1.300000000000000044e+00,1.316186259415252691e+00
1.400000000000000133e+00,1.310041437707578194e+00
1.500000000000000000e+00,1.310646630379354249e+00
1.600000000000000089e+00,1.299000039338461976e+00
1.700000000000000178e+00,1.307814643791369358e+00
1.800000000000000044e+00,1.299543857363641530e+00
1.900000000000000133e+00,1.315572882675372091e+00
2.000000000000000000e+00,1.310628287165803041e+00
2.100000000000000089e+00,1.310997568241925926e+00
2.200000000000000178e+00,1.307731560289714601e+00
2.300000000000000266e+00,1.294696434625412618e+00
2.400000000000000355e+00,1.294949719430259938e+00
2.500000000000000000e+00,1.315759518956445717e+00
2.600000000000000089e+00,1.289671004013099420e+00
2.700000000000000178e+00,1.311460212206164488e+00
2.800000000000000266e+00,1.314245237519078735e+00
2.900000000000000355e+00,1.311833102584526012e+00
3.000000000000000000e+00,1.307058455332115399e+00
3.100000000000000089e+00,1.302003100985745787e+00
3.200000000000000178e+00,1.291233177297957058e+00
3.300000000000000266e+00,1.298242848317692211e+00
3.400000000000000355e+00,1.290810858067961586e+00
3.500000000000000000e+00,1.306238523675738339e+00
3.600000000000000089e+00,1.320380252478152716e+00
3.700000000000000178e+00,1.323822232594177750e+00
3.800000000000000266e+00,1.333408858066740921e+00
3.900000000000000355e+00,1.336168042440474713e+00
4.000000000000000000e+00,1.313058543262940692e+00
4.100000000000000533e+00,1.300018340974528064e+00
4.200000000000000178e+00,1.297988502396474786e+00
4.299999999999999822e+00,1.309346585369355997e+00
4.400000000000000355e+00,1.317452302404158671e+00
4.500000000000000000e+00,1.321300820500555862e+00
4.600000000000000533e+00,1.338978552657167809e+00
4.700000000000000178e+00,1.328186614684893962e+00
4.800000000000000711e+00,1.323052827959643407e+00
4.900000000000000355e+00,1.290330907240406777e+00
5.000000000000000000e+00,1.283701019222356354e+00
5.100000000000000533e+00,1.296948205088807926e+00
5.200000000000000178e+00,1.314359265841097191e+00
5.300000000000000711e+00,1.327131499802218784e+00
5.400000000000000355e+00,1.327345875065437220e+00
5.500000000000000000e+00,1.311570689611728957e+00
5.600000000000000533e+00,1.307448038763490139e+00
5.700000000000000178e+00,1.297957657823781474e+00
5.800000000000000711e+00,1.296687262698351661e+00
5.900000000000000355e+00,1.298888493972117919e+00
6.000000000000000000e+00,1.334164379508335108e+00
6.100000000000000533e+00,1.335947287300887298e+00
6.200000000000000178e+00,1.328989225003446961e+00
6.300000000000000711e+00,1.306117851501772842e+00
6.400000000000000355e+00,1.311257711318504438e+00
6.500000000000000000e+00,1.314676527901355474e+00
6.600000000000000533e+00,1.313606330145743240e+00
6.700000000000000178e+00,1.311621877595092300e+00
6.800000000000000711e+00,1.326197448465143536e+00
6.900000000000000355e+00,1.330805244594291947e+00
7.000000000000000000e+00,1.335416965449028215e+00
7.100000000000000533e+00,1.319162458729059795e+00
7.200000000000000178e+00,1.306084386749280402e+00
7.300000000000000711e+00,1.294812452561482807e+00
7.400000000000000355e+00,1.301441786817846502e+00
7.500000000000000000e+00,1.298814683895864075e+00
7.600000000000000533e+00,1.304522152417416647e+00
7.700000000000000178e+00,1.304523936815912943e+00
7.800000000000000711e+00,1.304907269400725545e+00
7.900000000000000355e+00,1.308203061567068781e+00
8.000000000000000000e+00,1.312936439231995767e+00
8.099999999999999645e+00,1.294833713635288319e+00
8.200000000000001066e+00,1.305983729879985900e+00
8.300000000000000711e+00,1.328979566099227849e+00
8.400000000000000355e+00,1.326166769032641968e+00
8.500000000000000000e+00,1.326282318522072234e+00
8.599999999999999645e+00,1.301001850884316191e+00
8.700000000000001066e+00,1.302602612608742438e+00
8.800000000000000711e+00,1.289653536801007139e+00
8.900000000000000355e+00,1.296083732417049772e+00
9.000000000000000000e+00,1.322434151316311146e+00
9.099999999999999645e+00,1.318486137543571690e+00
9.200000000000001066e+00,1.311819490546566103e+00
9.300000000000000711e+00,1.306615985875993147e+00
9.400000000000000355e+00,1.283316689348278361e+00
9.500000000000000000e+00,1.279500682695105640e+00
9.600000000000001421e+00,1.291715984990843058e+00
9.700000000000001066e+00,1.320157955757838675e+00
9.800000000000000711e+00,1.320687773781145991e+00
9.900000000000000355e+00,1.319617703118868501e+00
1.000000000000000000e+01,1.330038551844383576e+00
1.010000000000000142e+01,1.308352260913477449e+00
1.020000000000000107e+01,1.299778113130189316e+00
1.030000000000000071e+01,1.287630571018652637e+00
1.040000000000000036e+01,1.311081048378136105e+00
1.050000000000000000e+01,1.332201559235675958e+00
1.060000000000000142e+01,1.329955864696271917e+00
1.070000000000000107e+01,1.328991511848574003e+00
1.080000000000000071e+01,1.311148417084375462e+00
1.090000000000000036e+01,1.302246814765536165e+00
1.100000000000000000e+01,1.304577215037532989e+00
1.110000000000000142e+01,1.306394121563320798e+00
1.120000000000000107e+01,1.300413412368516264e+00
1.130000000000000071e+01,1.292148949847071293e+00
1.140000000000000036e+01,1.309216346269101106e+00
1.150000000000000000e+01,1.309701719061006298e+00
1.160000000000000142e+01,1.309796797482736030e+00
1.170000000000000107e+01,1.307057953736676881e+00
1.180000000000000071e+01,1.289815336724408512e+00
1.190000000000000036e+01,1.293273690550045041e+00
1.200000000000000000e+01,1.279806814904899337e+00
1.210000000000000142e+01,1.310569697517752763e+00
1.220000000000000107e+01,1.300681694330031446e+00
1.230000000000000071e+01,1.325421361746469850e+00
1.240000000000000036e+01,1.329743048996810728e+00
1.250000000000000000e+01,1.321974305348292633e+00
1.260000000000000142e+01,1.320691459572003401e+00
1.270000000000000107e+01,1.303854053674416980e+00
1.280000000000000071e+01,1.284496151341392611e+00
1.290000000000000036e+01,1.276754221837361092e+00
1.300000000000000000e+01,1.295718095581400053e+00
1.310000000000000142e+01,1.315473953553638609e+00
1.320000000000000107e+01,1.339245921818681406e+00
1.330000000000000071e+01,1.337230640571646756e+00
1.340000000000000036e+01,1.335080467897913126e+00
1.350000000000000000e+01,1.329231663778985162e+00
1.360000000000000142e+01,1.296774758565440333e+00
1.370000000000000107e+01,1.285582624900726945e+00
1.380000000000000071e+01,1.270007004777312876e+00
