time_ps,T_K,PE_eV_atom,P_GPa,rho_g_cm3
5.000000000000000278e-02,2.785377481799999941e+02,-6.279107681612903669e+00,-1.290474934706666632e+00,2.405331297913649191e+00
1.000000000000000056e-01,2.846881657399999881e+02,-6.280655341854838980e+00,1.712465891400000162e+00,2.541523968957732027e+00
1.500000000000000222e-01,2.770385178999999880e+02,-6.281913724999999893e+00,2.655250555133333634e+00,2.591191506191055094e+00
2.000000000000000111e-01,2.717256775600000083e+02,-6.285747295967742510e+00,-3.531440972666662764e-02,2.536970421458853320e+00
2.500000000000000000e-01,2.522192825099999993e+02,-6.283350863870968084e+00,-9.096571323766666772e-01,2.485703859024377405e+00
3.000000000000000444e-01,2.452695274600000062e+02,-6.282692651290322061e+00,-1.327280812596666637e+00,2.479414486550134189e+00
3.500000000000000333e-01,2.440508545000000140e+02,-6.283151206935484012e+00,2.608130899833333571e-01,2.505436251803585090e+00
4.000000000000000222e-01,2.539754741499999966e+02,-6.284887890725806336e+00,2.868143159500000094e-01,2.526699293288492854e+00
4.500000000000000111e-01,2.626712850499999945e+02,-6.287020258870967382e+00,-3.577625430423332920e-01,2.516974351327328385e+00
5.000000000000000000e-01,2.251778426099999990e+02,-6.283899509516128745e+00,-3.119389906866666951e-01,2.499952631254164892e+00
5.500000000000000444e-01,2.247818819899999880e+02,-6.285829777177418975e+00,-7.518445728633333935e-01,2.495357722047227611e+00
6.000000000000000888e-01,2.177576471900000001e+02,-6.286106020241935433e+00,9.621220273333378273e-03,2.501524436803109541e+00
6.500000000000000222e-01,2.206435245399999872e+02,-6.286670374193549016e+00,-6.600301406619999423e-01,2.519523271161219213e+00
7.000000000000000666e-01,2.303741358400000081e+02,-6.286268352016128880e+00,8.729682005400000167e-01,2.535999438684357177e+00
7.500000000000000000e-01,2.545894678600000134e+02,-6.285866805403226287e+00,-1.616548670166666479e-01,2.519496627681387491e+00
8.000000000000000444e-01,2.618870048499999825e+02,-6.284339232096774808e+00,-6.291973448166666705e-01,2.495760092063686209e+00
8.500000000000000888e-01,2.538345810499999970e+02,-6.282178577580645573e+00,-1.779799914533333194e-01,2.482870389991489013e+00
9.000000000000000222e-01,2.612647911799999747e+02,-6.282066739435483882e+00,-1.099844411220000095e+00,2.484668716503668051e+00
